MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nVi ho portato qualcosa da mangiare, lady Veyle.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ヴェイル\nAaah! Zephia...\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cセレスティア\nUhm...\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ヴェイル\nAh, no. Sei Zelestia, vero? Fai come se non\navessi detto niente.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cセレスティア\nVi sentite bene? State sudando.\x0E\x04\x02\x00
MID_RELIANCE_C_#006	Se permettete, posso asciugarvi il sudore.\x0E\x04\x02\x00
MID_RELIANCE_C_#007	Ecco, non ci vuole niente.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ヴェイル\nAh, no! Non ti preoccupare, faccio da sola!\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cセレスティア\nVi prego, non mi costa niente. Ci tengo a\nprendermi cura di voi.\x0E\x04\x02\x00
MID_RELIANCE_C_#010	Potrei aiutarvi anche con i capelli. Sono\nbellissimi... immaginate come starebbero bene\ncon una bella acconciatura.\x0E\x04\x02\x00
MID_RELIANCE_C_#011	Ah, ecco! Potrei farvi delle trecce.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ヴェイル\nG-Grazie...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cセレスティア\n...\x0E\x04\x02\x00
MID_RELIANCE_C_#014	Com'è che si facevano le trecce agli altri?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ヴェイル\nCosa?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cセレスティア\nAh, ora ricordo! Se le facessi a me, metterei\nuna ciocca sopra l'altra, così...\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08ヴェイル\nAhia ahia! Mi fai male se tiri!\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cセレスティア\nChiedo scusa! Oh no, adesso si sono annodati...\nCome facciamo...\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08ヴェイル\nNon si districano più... beh non ti preoccupare,\nci penserò più tardi.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0E\x0Cセレスティア\nNon so come farmi perdonare, forse è meglio\nche me ne vada prima di peggiorare le cose.\x0E\x04\x02\x00
MID_RELIANCE_C_#021	Aaah... mi sono dimenticata di lasciarvi\nda mangiare.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0A\x08ヴェイル\nEheheh...\x0E\x04\x02\x00
MID_RELIANCE_C_#023	Zelestia è un po' troppo zelante...\nNon pensavo...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nSiete stanca, lady Veyle? Avete una brutta cera.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ヴェイル\nDavvero? Io mi sento bene.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cセレスティア\nVi siete ferita in combattimento?\nSentite dolore da qualche parte?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ヴェイル\nNon mi sono fatta male. Guarda, sana come\nun pesce, anche se il naso è un po'... Ecciù!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cセレスティア\nOh no, avete preso freddo. Dovete stare\nal caldo prima che vi buschiate un raffreddore.\x0E\x04\x02\x00
MID_RELIANCE_B_#006	Ma qui non c'è nessuna copertina. Allora, posso\nriscaldarvi con un abbraccio!\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ヴェイル\nCosa?!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cセレスティア\nI Draghi Magici hanno una temperatura\ncorporea più elevata. Vi assicuro che vi\nsentirete meglio.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ヴェイル\nM-Ma non voglio... lasciami... per favore...\x0E\x04\x02\x00
MID_RELIANCE_B_#010	Non ti avvicinare!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cセレスティア\n...!\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ヴェイル\nAh... scusami.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cセレスティア\nNo, sono io a essere stata maleducata e\ninvadente, anche se volevo solo rendermi utile.\x0E\x04\x02\x00
MID_RELIANCE_B_#014	Vi porgo le mie più sentite scuse.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ヴェイル\nÈ solo che somigli così tanto a qualcuno che\nconoscevo.\x0E\x04\x02\x00
MID_RELIANCE_B_#016	Posso spiegarti meglio, se hai un po' di tempo.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0E\x0Cセレスティア\nMa certo.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08ヴェイル\nTanto tempo fa avevo un'attendente.\nEra un Drago Magico, come te.\x0E\x04\x02\x00
MID_RELIANCE_B_#019	Mi trattava con gentilezza e mi ascoltava,\nproprio come fai tu.\x0E\x04\x02\x00
MID_RELIANCE_B_#020	Pensavo che saremmo potute diventare amiche,\nle volevo bene.\x0E\x04\x02\x00
MID_RELIANCE_B_#021	Ma poi fummo costrette a combattere su fronti\nopposti, e ciò segnò la fine della nostra amicizia.\x0E\x04\x02\x00
MID_RELIANCE_B_#022	So che non sei quella persona, ma le somigli\ntantissimo e non posso fare a meno di pensare\na lei.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cセレスティア\nCapisco. Grazie per avermi resa partecipe di\nuna storia così intima.\x0E\x04\x02\x00
MID_RELIANCE_B_#024	Proverò... a non essere così diretta in futuro.\x0E\x04\x02\x00
MID_RELIANCE_B_#025	Se un giorno vi andrà, vorrei che mi\nraccontaste ancora qualcosa.\x0E\x04\x00\x00
