MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nPrincipe Diamant, voglio vedere quanto sei\nbravo. Ti sfido a duello.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nUn duello? Sembra divertente.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nNon ci siamo mai allenati insieme io e te,\nvero?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06カゲツ\nPer fortuna è facile convincerti!\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nTi piace allenarti, eh? Anche io seguo\nun allenamento molto rigoroso.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cディアマンド\nHo appena finito di correre su e giù per tre\nmontagne della regione. Un duello è quello che\nci vuole per recuperare.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06カゲツ\nTre... montagne?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nForza, Kagetsu. Fammi vedere cosa sai fare!\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06カゲツ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06カゲツ\nIl duello è annullato.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nCosa? Perché?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06カゲツ\nNon vedevo l'ora di allenarmi con te, ma se non\nsei in forma perfetta non ha senso.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06カゲツ\nNon c'è soddisfazione a battere un avversario\nsfinito.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cディアマンド\nAllora non vuoi affrontarmi se non sono appena\nsceso dal letto? Una vittoria è sempre una\nvittoria, forza... non fare il prezioso!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06カゲツ\nNiente da fare.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06カゲツ\nDa dove vengo io, l'onore è la cosa più\nimportante. Certo, la vittoria conta, ma conta\ndi più come si vince.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06カゲツ\nNella vittoria e nella sconfitta, bisogna\nmantenere lealtà e dignità.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06カゲツ\nCome i boccioli di ciliegio, che fioriscono solo\nal momento giusto.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nCapisco... una filosofia di vita davvero\nammirevole. Allora consideriamo il nostro\nduello solo rimandato.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06カゲツ\nGrazie per la comprensione. So di essere stato\nio a sfidarti, mi dispiace.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0E\x0Cディアマンド\nLa prossima volta sarò riposato e in piena\nforma. E non ci andrò leggero, ti avverto.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x08\x06カゲツ\nSarà uno scontro memorabile.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nSei un valido avversario, principe Diamant.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06カゲツ\nLa tua forza supera le mie aspettative!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nAnche tu te la cavi bene, Kagetsu.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nContinua a mettere tutto te stesso in questo\nduello. Lo farò anche io.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nAllora, vuoi andare avanti?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06カゲツ\nHo combattuto con tutte le mie forze, e mi\nbasta. Preferisco non spingerci allo sfinimento.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nSono d'accordo! Sei davvero un osso duro!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06カゲツ\nGrazie per il duello. Mi dispiace di averti fatto\nperdere tutto questo tempo.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0E\x0Cディアマンド\nMi sono divertito, e spero che faremo presto\nun altro duello!\x0E\x04\x00\x00
