MBSID_None	Civile
MBSID_H_None	Le unità civili non hanno alcun\nvantaggio speciale in battaglia.
MBSID_Cooperation	Rinforzo
MBSID_H_Cooperation	Sferrano attacchi concatenati in\naiuto di un alleato che lotta contro\nun nemico nel raggio d'azione.
MBSID_Horse	Cavalleria
MBSID_H_Horse	La cavalleria ha un raggio\ndi movimento più ampio\ndelle altre unità.
MBSID_Covert	Furtivo
MBSID_H_Covert	Le unità furtive raddoppiano i\nbonus Scv dell'effetto del terreno.
MBSID_Heavy	Corazzato
MBSID_H_Heavy	Le unità corazzate annullano gli\neffetti breccia derivati dal vantaggio\ndell'arma.
MBSID_Fly	Volante
MBSID_H_Fly	Le unità volanti ignorano gli effetti\ndel terreno quando si spostano,\npassando anche sugli spazi "Cielo".
MBSID_Magic	Mistico
MBSID_H_Magic	Quando attaccano con la magia,\nle unità mistiche ignorano i bonus\nScv del terreno ricevuti dai nemici.
MBSID_Prana	Adepto qi
MBSID_H_Prana	Con la parata concatenata possono\ndeviare su sé stessi gli attacchi\ndiretti agli alleati adiacenti.
MBSID_Dragon	Drago
MBSID_H_Dragon	I draghi ottengono effetti\nsupplementari quando si\nuniscono a un emblema.
