MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nAmber. Vorrei scambiare due *parole*.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08アンバー\nTu? L'attendente della principessa ereditaria\ndi Elusia? Vuoi parlare con ME?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08アンバー\nTe lo dico fin da subito: se stai cercando\ninformazioni sul regno di Brodia, caschi male.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nNo, no. Non si tratta di *politica*.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ゼルコバ\nSi tratta di una faccenda più *personale*.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08アンバー\nOh, no. Cosa vuoi da me? Un duello? Non ti\nho fatto niente, che io sappia!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ゼルコバ\nMi serve della *lana* di alpaca.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08アンバー\nUh?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08ゼルコバ\nE in particolare la lana proveniente da un\nvillaggio *specifico*.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nMi risulta anche che tu abbia *familiarità* con\nquel luogo.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nSaprai quindi che la *lana* che proviene da\nlì è la migliore in circolazione.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08アンバー\nSì, è vero. Gli alpaca al mio villaggio hanno una\npelliccia morbida e soffice.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ゼルコバ\nMi serve quella lana, Amber. Dovrai\n*procurarmela*.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08アンバー\nBeh, potrei scrivere una lettera a casa. Me ne\npossono spedire un po' senza problemi... ma\na cosa ti serve?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nServirà alla nobile arte del *lavoro a maglia*.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08アンバー\nWoah. Lavori a maglia, Zelkov? Non lo avrei\nmai immaginato.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08ゼルコバ\nNon dovrebbe *sorprenderti* che io mi dedichi\na un'arte di cotanta grazia ed eleganza.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08ゼルコバ\nE al momento ho bisogno di lana di ottima\nqualità per completare il mio *capolavoro*.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08アンバー\nPerfetto! Se ti serve a questo, ti darò tutta la\nlana di cui hai bisogno. Non c'è problema.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08アンバー\nVoglio proprio vedere cosa ne ricaverai.\nScommetto qualcosa di strano.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0A\x08ゼルコバ\nGrazie per la *collaborazione*, Amber.\x0E\x04\x00\x00
