MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パネトネ\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06ユナカ\nBuongiorno, Panette! Yurrà!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08パネトネ\nBuongiorno, Yunaka. Sembrate di ottimo\numore, di grazia.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06ユナカ\nEh, sì, come sempre! È una delle poche qualità\nche mi contraddistinguono.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08パネトネ\nCapisco. Se permettete, avrei proprio\nuna domanda a tal riguardo.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08パネトネ\nCome mai fingete codesto sempiterno buon\numore?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ユナカ\nPensate sia una recita?! Mi credete così brava\nda poter fingere tutto il tempo?! Ma che onore!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08パネトネ\nSuvvia, non buggeratemi.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08パネトネ\nLa vostre false maniere non mi ingannano.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08パネトネ\nQuando entrai a servizio del capo, dovetti\nabbandonare il mio vernacolo in favore di\nun linguaggio più appropriato.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08パネトネ\nPertanto ne so qualcosa di parlate poco\nnaturali, di grazia.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06ユナカ\nAh... Immagino che tra menti simili ci\nsi capisca...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06ユナカ\nMa temo di non poter rispondere alla vostra\ndomanda.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06ユナカ\nD'altronde se vi svelassi tutto subito, che gusto\nci sarebbe?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08パネトネ\nMh. E sia.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08パネトネ\nPerdonate le mie intrusioni.\x0E\x04\x00\x00
