MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x08\x06ベレト\nLe battaglie saranno sempre più dure. Se pensi\nche per te sia troppo, appoggiati a me.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x0A\x08リュール\nGrazie, mi sento davvero fortunat\x0E\x0A\x00\x08\x02o\x02a ad avere\ncosì tanti amici che si prendono cura di me.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x0A\x08リュール\nOh, professore, salve! Lo so, non sono u\x0E\x0A\x00\x0A\x02n\x04na tu\x0E\x0A\x00\x08\x02o\x02a\nstudent\x0E\x0A\x00\x0E\x02e\x08essa, ma volevo vedere che effetto fa\nchiamarti così.\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x08\x06ベレト\nFai pure. In fondo, mi chiamano quasi tutti così.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x0A\x08リュール\nPrima di fare l'insegnante eri... un mercenario?\nCosa fanno i mercenari di preciso?\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x08\x06ベレト\nCombattono per denaro. Noi combattevamo\nguerre al servizio di paesi a cui non\nappartenevamo.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x08\x06ベレト\nCapitava anche che gli alleati in una battaglia\ndiventassero i nostri nemici nella successiva.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0A\x08リュール\nQueste cose, però, succedono anche per altri\nmotivi... Grazie per la lezione, professore.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x08\x06ベレト\nSembri sempre molto indaffarato, Vander.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x0C\nヴァンドレ\nHo tante cose da fare. E psicologicamente\npreferisco risolverle subito e non pensarci più.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x08\x06ベレト\nVander, posso aiutarti?\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x0C\nヴァンドレ\nNo, lasciate le faccende a questo povero\nvecchio. Voi occupatevi dei giovani soldati,\nprofessore.\x0E\x04\x00\x00
