MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0A\x08リュール\nRiesci sempre a tirarmi su di morale, Micaiah.\nCredo sia merito del tuo sorriso gentile.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x08\x06ミカヤ\nSorrido di più quando sono con te. C'è qualcosa\ndi dolce e confortante nella tua presenza.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0A\x08リュール\nTe lo chiedo solo per curiosità: ci sono draghi\nanche nel tuo mondo?\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x08\x06ミカヤ\nSì. Ci sono le viverne e anche degli umani che\nsi trasformano in draghi, ma non sono divini\ncome te.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0A\x08リュール\nA volte temo che il mio potere da solo non basti.\nMi leggeresti il futuro?\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x08\x06ミカヤ\nVedo un futuro radioso. Lo costruirai\ncon i tuoi amici al tuo fianco.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x08\x06ミカヤ\nMa non serve la chiaroveggenza per prevederlo.\nTu hai la forza di cambiare il destino.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0A\x08リュール\nGrazie. Forse dovrei smetterla di dubitare di me.\nCon il tuo aiuto, credo che ce la farò.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nCosa dobbiamo fare con quel Drago Divino?\nMette sempre prima gli altri, trascurando sé\nstess\x0E\x0A\x00\x08\x02o\x02a...\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x08\x06ミカヤ\nNon saprei... Alla fin fine questa dedizione è una\ndelle sue migliori qualità.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nVi piacciono le mele, lady Micaiah?\nIo ne vado matto.\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x08\x06ミカヤ\nMh, sembrano proprio buone! Vorrei tanto\nassaggiarne una, ma anche l'odore è delizioso.\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nVander, ti è caduto qualcosa! Ma cos'è?\nUn ferro da maglia?\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nAh, sì... È un po' imbarazzante.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x08\x06ミカヤ\nLavori a maglia? Ma che bel passatempo.\nDevi mostrarmi alcuni dei tuoi lavori!\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x0C\nヴァンドレ\nLo faccio solo per tenere queste vecchie\nmani un po' occupate, ma apprezzo molto\nil vostro entusiasmo.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nComincio a capire perché veneri il Drago Divino.\nHa un fascino unico.\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06クラン\nMi trovi d'accordo! Vorresti aiutarmi\na prendermi cura di l\x0E\x0A\x00\x0C\x04ui\x04ei?!\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06クラン\nTi ho vista nella foresta del Somniel l'altro\ngiorno, lady Micaiah. Cosa stavi facendo laggiù?\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x08\x06ミカヤ\nAscoltavo gli uccelli. Mi ricordano una mia\nvecchia conoscenza e mi rilassano molto.\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nSembri un po' giù, Clanne. Hai bisogno di aiuto?\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x08\x06クラン\nSto pensando al Drago Divino e sono molto\npreoccupato.\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x08\x06クラン\nImmagina di dormire a lungo e, quando ti svegli,\nsuccede una tragedia dietro l'altra...\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x08\x06ミカヤ\nSei dolce. Aiutiamol\x0E\x0A\x00\x08\x02o\x02a a mettere fine a questa\nguerra, così potremo tutti ritrovare un po' di\npace.\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nHai sempre l'aria di divertirti molto, Framme.\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x08\x06フラン\nEd è proprio così! Altrimenti come farei\na trasmettere allegria al Drago Divino?\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06フラン\nLady Micaiah, cosa apprezzi di più in una\nvalletta? Quali sono le qualità che ti lasciano\na bocca aperta?\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x08\x06ミカヤ\nOh Framme, non devi cambiare nulla, non\ntemere. Sono sicura che al Drago Divino vai\nbenissimo così come sei.\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06フラン\nLady Micaiah! Non importa cosa dicono gli altri.\nSono io la fan numero uno del Drago Divino!\nÈ chiaro?!\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x08\x06ミカヤ\nCome mai dici così, Framme?\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x08\x06フラン\nDi questi tempi sembra che vada di moda essere\nfan del Drago Divino. E se perdessi la mia\nposizione privilegiata?\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x08\x06ミカヤ\nMh, capisco. Perché non lasci che ti legga\nil futuro? Penso di poterti dare l'aiuto che\nti serve.\x0E\x04\x00\x00
MID_GR_Alfred_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nMi fa molto piacere combattere accanto a uno\ndegli emblemi che il mio regno ha custodito.\x0E\x04\x00\x00
MID_GR_Alfred_C_#002	\x0E\x03\x02\x08\x06ミカヤ\nAnche a me fa piacere. Mi chiedevo che aspetto\navessi e devo dire che non hai deluso le mie\naspettative.\x0E\x04\x00\x00
MID_GR_Alfred_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nHo sentito dire che sai leggere nella mente delle\npersone. Scommetto che con me non ci riesci!\nMi sono allenato!\x0E\x04\x00\x00
MID_GR_Alfred_B_#002	\x0E\x03\x02\x08\x06ミカヤ\nMh? Sembri molto sicuro di te. Che ne dici di\nfare una prova?\x0E\x04\x00\x00
MID_GR_Alfred_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nMi alleno allo sfinimento, eppure non riesco a\npotenziare i miei muscoli. Secondo te perché?\x0E\x04\x00\x00
MID_GR_Alfred_A_#002	\x0E\x03\x02\x08\x06ミカヤ\nMagari sei così di costituzione. Conosco\nqualcuno che aveva il tuo stesso problema.\x0E\x04\x00\x00
MID_GR_Alfred_A_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nPrima o poi troverò il modo di superare i miei\nlimiti, anche a costo di mobilitare tutte le forze\ndel regno!\x0E\x04\x00\x00
MID_GR_Alfred_A_#004	\x0E\x03\x02\x08\x06ミカヤ\nVedo che fai sul serio. Fai bene a impegnarti,\nma cerca di non esagerare.\x0E\x04\x00\x00
MID_GR_Boucheron_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0C\nブシュロン\nAh... Micaiah, dico bene? Potrei chiederti di\nleggermi il futuro?\x0E\x04\x00\x00
