MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nSaphir...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMi hanno detto che sei brava a cucinare il\npesce. È vero?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nザフィーア\nEh, sì. Ti hanno detto bene.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nザフィーア\nMio padre mi portava sempre a pesca da\nbambina. Ora i pesci non hanno segreti per me,\nin acqua come a tavola.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nザフィーア\nSe ha branchie, pinne o tentacoli, io te lo so\ncucinare.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMa che bello. Quindi te la cavi anche con\ncreature poco comuni.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nザフィーア\nCi puoi giurare! Una volta ho pescato un affare\ngigantesco, non so nemmeno che animale fosse.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nザフィーア\nMa l'ho cucinato lo stesso, eccome se l'ho\ncucinato! E ci ho sfamato tutto il villaggio!\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\nInteressante. Non ho dubbi sulle tue abilità\nin materia.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIl che significa... che dovrò annientarti.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nザフィーア\nCosa?! Ehi, calmina, da dove ti esce tutta\nquesta ostilità ora?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cゴルドマリー\nPerdonami, Saphir, ma in cucina non accetto\nrivali.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSul podio non c'è posto per due. Ed ecco\nperché... ti sfido a una gara di cucina!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nザフィーア\nUna gara?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cゴルドマリー\nHai capito bene. Lasciamo che siano i giudici\na decidere chi di noi è la migliore.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nザフィーア\nBeh, se proprio insisti... Va bene.\x0E\x04\x00\x00
