MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0A\x08ロサード\nEccoti qua, Goldmary! Mi puoi insegnare a\ncucinare?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cゴルドマリー\nBeh, sì... ma perché questo interesse\nimprovviso?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ロサード\nCosì, stavo pensando...\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ロサード\nIn quanto a bellezza ovviamente sono io quello\npiù carino...\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cゴルドマリー\nCome sarebbe a dire?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ロサード\nMa tu sei più brava di me in molte cose.\nAd esempio sai cucinare.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ロサード\nQuindi se voglio essere alla tua altezza, devo\nimparare anch'io. Non sarà poi complicato, no?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cゴルドマリー\nScusami tanto, ma sono rimasta alla parte dove\ndici che sei più carino di me. Non ho neanche\nsentito il resto.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08ロサード\nDavvero? Beh, possiamo tornare un altro giorno\nsu quel punto...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ロサード\nCiò che conta è che voglio imparare a cucinare\ne voglio che sia tu ad avere il piacere\ndi insegnarmi. Allora, cosa ne pensi?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSarai anche il mio amico più carino, ma non\nil più diplomatico.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMa visto che siamo amici... Va bene, ti insegnerò\na cucinare.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ロサード\nEvviva! Grazie, Goldmary!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ロサード\nCosì sarò carino e pieno di talenti!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cゴルドマリー\nÈ ancora tutto da vedere.\x0E\x04\x00\x00
