MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x0A\x08リュール\nEhi, Nel. Come stai? Hai problemi ad abituarti?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04エル\nFinora non ho avuto particolari difficoltà.\nE mi sento come prima del mio lungo sonno.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nBene, mi fa piacere. Ad ogni modo, se dovessi\navere bisogno di qualcosa, non esitare a\ndirmelo.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x06\x04エル\nPrima del nostro arrivo, Rafal mi ha informata\nsulle circostanze che hanno portato al mio\nrisveglio.\x0E\x04\x02\x00
MID_RELIANCE_C_#005	Sapevi come potermi risvegliare, ma non\neri sicur\x0E\x0A\x00\x08\x02o\x02a dell'esito.\x0E\x04\x02\x00
MID_RELIANCE_C_#006	Eppure parlavi del mio arrivo qui, dando per\nscontato il successo. Perché?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nÈ vero, non avevo certezze, ma ho scelto\ndi crederci.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x06\x04エル\nSpiegati meglio.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リュール\nHo scelto di avere fiducia. Sapevo che prima\no poi ci saremmo ritrovat\x0E\x0A\x00\x08\x02i\x02e, Nel.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x06\x04エル\nCapisco.\x0E\x04\x02\x00
MID_RELIANCE_C_#011	Sei davvero una persona piena di virtù,\nDrago Divino.\x0E\x04\x02\x00
MID_RELIANCE_C_#012	Mi auguro solo che la tua nobile indole non\nti spinga a riporre fiducia nelle persone\nsbagliate. Arrivederci.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nAhahah. Dovrei essermi abituat\x0E\x0A\x00\x08\x02o\x02a alle sue\nstrigliate, ormai.\x0E\x04\x02\x00
MID_RELIANCE_C_#014	Se non altro, mi fa piacere vederla di\nbuonumore.\x0E\x04\x02\x00
MID_RELIANCE_C_#015	Sei sempre la solita, Nel.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x06\x04エル\nDrago Divino, prima che ti ritiri nelle tue stanze,\navrei qualcosa da dirti.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nOh-oh. Che ho combinato questa volta?\x0E\x04\x00\x00
