MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nSalve, Nel. Vorrei scambiare due parole, se non\nti dispiace.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04エル\nNon v'è alcun problema. Speravo proprio di\nparlarti anch'io.\x0E\x04\x02\x00
MID_RELIANCE_C_#003	E non temere, sei libera di parlarmi tutte le volte\nche vorrai.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ヴェイル\nGrazie. Ecco, volevo sapere... Sei davvero la\nfiglia di papà, cioè... di Sombron?\x0E\x04\x02\x00
MID_RELIANCE_C_#005	Non ho fatto altro che domandarmelo, da\nquando ho scoperto che eri un Drago Maligno.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x06\x04エル\nSono sua figlia, sì. E nel mio mondo c'era\nanche un'altra figlia chiamata Veyle.\x0E\x04\x02\x00
MID_RELIANCE_C_#007	Mauvier diceva che era molto severa, ma anche\ngentile.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ヴェイル\nE così c'era un'altra versione di me, nel tuo\nmondo. Che strana sensazione.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x06\x04エル\nSono grata al destino che ci ha concesso\nl'opportunità di conversare.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ヴェイル\nI miei fratelli e sorelle sono morti... tranne un\x0E\x0A\x00\x08\x02o\x02a.\nNon avrei mai immaginato di trovare un\x0E\x0A\x00\x12\x02a\x0C'altra\nsorella, sembra quasi un sogno.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x06\x04エル\nQuindi mi consideri una sorella.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ヴェイル\nCerto che sì. Verrai pure da un altro mondo,\nma sei una figlia di mio papà tanto quanto me.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x06\x04エル\nDeduco che per te l'amicizia non sia sufficiente.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ヴェイル\nAh... Non vuoi essere mia sorella?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x06\x04エル\nLe tue parole mi allietano, ma non credo di\nessere pronta a tanto.\x0E\x04\x02\x00
MID_RELIANCE_C_#016	Il Sombron del mio mondo non è il tuo papà.\nInoltre, Rafal è stato il mio unico fratello per\nmolto tempo.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08ヴェイル\nHai ragione. Ho bruciato le tappe, vero?\x0E\x04\x02\x00
MID_RELIANCE_C_#018	Mi sono fatta prendere dall'entusiasmo e non\navrei dovuto. Forse è meglio lasciarci questa\nconversazione alle spalle, per ora.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nCiao, Nel. Perdonami per quello che ho detto.\nDovevo immaginare che non mi consideri una\nsorella.\x0E\x04\x02\x00
MID_RELIANCE_B_#002	Però, potrebbe farci bene passare un po' di\ntempo assieme. Ho anche portato qualcosa da\nmangiare.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x06\x04エル\nUn pasto in compagnia sembra un ottimo\nmodo per rinsaldare la nostra amicizia.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ヴェイル\nFantastico! Spero che il cibo piccante non sia\nun problema per te.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x06\x04エル\nTutt'altro. Si dà il caso che apprezzi\nparticolarmente il cibo piccante e salato.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ヴェイル\nOh, meno male! Allora, credo proprio che\nquesto ti piacerà.\x0E\x04\x02\x00
MID_RELIANCE_B_#007	Da quando sono qui, mi sembra che tutto abbia\nun sapore migliore. Soprattutto se mangiato in\ncompagnia.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x06\x04エル\nAnche io ho ricevuto un'ottima accoglienza da\ntutti, pur venendo da un altro mondo.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ヴェイル\nSì, sono così amichevoli.\x0E\x04\x02\x00
MID_RELIANCE_B_#010	E, dato che sono anch'io figlia di un Drago\nMaligno, voglio fare la mia parte nel darti un\ncaloroso benvenuto tra di noi.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x06\x04エル\nGrazie.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ヴェイル\nHai detto che Rafal è stato il tuo unico fratello\nper tanto tempo. Non ti sentivi sola?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x06\x04エル\nNaturalmente. La perdita di ciascuno dei miei\nfratelli e sorelle ha avuto un impatto su di me.\x0E\x04\x02\x00
MID_RELIANCE_B_#014	Avrei tanto voluto essergli più vicina, ma\npurtroppo eravamo concentrati a cercare\ndi sopravvivere.\x0E\x04\x02\x00
MID_RELIANCE_B_#015	Circondati da invidia, sfruttamento e\ntradimento. Talvolta anche violenza.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ヴェイル\nMa è terribile.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x06\x04エル\nMa ora ho l'occasione di trascorrere del tempo\nin tua compagnia, in pace e armonia. La cosa\nmi rincuora.\x0E\x04\x02\x00
MID_RELIANCE_B_#018	Spero che ora tu capisca come mai ho tutta\nquesta cautela all'idea di accettarti come\nsorella.\x0E\x04\x02\x00
MID_RELIANCE_B_#019	Quel tipo di relazione nella mia mente è\nsinonimo di rivalità e terrore.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08ヴェイル\nMa allora hai paura di me?\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x06\x04エル\nNon ti vedo come una minaccia, in quanto non\nsiamo sorelle. Non avremmo neppure dovuto\nincontrarci.\x0E\x04\x02\x00
MID_RELIANCE_B_#022	Ora, dato che siamo libere di definire il nostro\nrapporto come meglio crediamo, preferirei che\nfossimo amiche.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08ヴェイル\nHo capito. Grazie per essere stata così sincera\nriguardo ai tuoi sentimenti, Nel.\x0E\x04\x02\x00
MID_RELIANCE_B_#024	Mi auguro che avremo tante altre occasioni\nper conversare, sempre che per te non sia\nun problema.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nNel? Posso parlarti?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x06\x04エル\nHa l'aria di essere qualcosa di serio.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08ヴェイル\nCi ho riflettuto ancora, e sono giunta alla\nconclusione che preferirei che fossimo sorelle.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x06\x04エル\nNon voglio certo sminuire i tuoi sentimenti,\nVeyle, ma mi lasci un po' perplessa.\x0E\x04\x02\x00
MID_RELIANCE_A_#005	È evidente che l'amicizia non ti basta. Ma come\nmai?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ヴェイル\nSono contenta di essere tua amica e per un\ncerto periodo di tempo ero soddisfatta così.\x0E\x04\x02\x00
MID_RELIANCE_A_#007	Poi, quando mi hai raccontato cosa successe\ntra te e i tuoi fratelli, ho cambiato idea.\x0E\x04\x02\x00
MID_RELIANCE_A_#008	Non tutte le sorelle si tradiscono e feriscono.\nNon tutte le famiglie sono così.\x0E\x04\x02\x00
MID_RELIANCE_A_#009	Non possiamo semplicemente essere due\nsorelle che amano chiacchierare e condividere\nla passione per il cibo piccante?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x06\x04エル\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ヴェイル\nTi sto chiedendo troppo?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x06\x04エル\nNo. Non avrei mai creduto di dirlo, ma una\nfamiglia di questo tipo mi sembra piacevole.\x0E\x04\x02\x00
MID_RELIANCE_A_#013	Se è vero che tra sorelle si può avere un\nrapporto di fiducia così rilassato... potrei\nriconsiderare l'idea.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ヴェイル\nStai dicendo che...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x06\x04エル\nNon lo so, ho ancora i miei dubbi. La gioia di\naver trovato una sorella va di pari passo con la\npaura di perderla.\x0E\x04\x02\x00
MID_RELIANCE_A_#016	La prospettiva di distruggere questo nuovo\nlegame familiare sarebbe troppo spaventosa.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08ヴェイル\nNon diventerei mai tua nemica, Nel, te lo\nassicuro. Sarò sempre dalla tua parte.\x0E\x04\x02\x00
MID_RELIANCE_A_#018	E se anche questa guerra dovesse separarci\ncon la forza, il tempo passato assieme come\nuna famiglia resterebbe per sempre.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x06\x04エル\nCome una famiglia.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ヴェイル\nEsatto. Non dimenticherò mai il tempo trascorso\ncon te, e sono sicura che neanche tu lo farai.\x0E\x04\x02\x00
