MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x08\x06フラン\nLapis! Ehi, Lapis! Ho sentito che sei il terrore\ndegli orsi. È vero?!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x04\x03\x04
MID_RELIANCE_C_#003	\x0E\x04\x03\x04
MID_RELIANCE_C_#004	\x0E\x04\x03\x04
MID_RELIANCE_C_#005	\x0E\x04\x03\x04
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ラピス\nEcco... sì. Ma non dirlo a nessuno.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06フラン\nMa perché non dovrei? È qualcosa di grandioso!\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06ラピス\nEcco... non saprei.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06フラン\nLapis, ti prego. Portami a caccia di orsi.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06ラピス\nNon mi sembra che tu stia prendendo le cose\ncon serietà. Si dà il caso che gli orsi siano\npericolosi.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06フラン\nMa io sono seria! Più seria di così, si muore.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06フラン\nHo saputo che nella foresta qua vicino hanno\navvistato un orso. La gente è preoccupata, sai?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06フラン\nIo mi ero offerta come volontaria per scacciarlo,\nma Vander non vuole.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06フラン\nDice che non sono pronta. Che cattivo. Volevo\nsolo rendermi utile!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06ラピス\nSono sicura che Vander lo dice solo perché è\npreoccupato per te, Framme.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06フラン\nE invece no! Lo pensa davvero. Crede che io\nsia troppo distratta per poter affrontare un orso\nselvatico.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06フラン\nMa io voglio dimostrargli che si sbaglia. Allora,\nmi aiuteresti a liberarmi dell'orso, Lapis?\nPer favoooore...\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06ラピス\nOh, Framme...\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06ラピス\nE va bene. Se proprio ci tieni, ti aiuterò a\ncacciare l'orso.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06フラン\nOh, davvero?!\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x08\x06ラピス\nMa dovrai ascoltarmi bene e seguire tutte le\nistruzioni! Gli orsi selvatici sono pericolosi.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x08\x06フラン\nLo prometto! Qua la zampa, Lapis! Ihihih.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x00\x0C\x06フラン\x021
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06フラン\nEcco, qui dovrebbe essere dove hanno\navvistato quell'orso l'ultima volta.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ラピス\nResta in guardia, Framme. L'orso potrebbe\narrivare da qualsiasi direzione.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06フラン\nDavvero? Uh, d'accordo...\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ラピス\nLa cosa fondamentale è mantenere la calma.\nNon fare movimenti bruschi o rumori improvvisi.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06フラン\nRicevuto. E se l'orso mi attacca, mi fingerò\nmorta. È così che si fa, no?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06ラピス\nNo, non farlo. Se ti trovi davanti un orso,\nè meglio stare in piedi.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06フラン\nCaspita. Te ne intendi proprio di orsi.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06ラピス\nQuando abitavo in campagna gli orsi\nattaccavano spesso il villaggio. Dovetti\nimparare queste regole di sopravvivenza.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06ラピス\nCalpestavano e sradicavano i raccolti... mesi\ne mesi di lavoro se ne andavano così...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06ラピス\nIl mio villaggio non aveva grandi scorte di cibo,\nquindi quegli attacchi mettevano a rischio\nle nostre vite.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06フラン\nWow, Lapis. Non sapevo. Ora si spiega perché\nsei diventata così forte.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06ラピス\nNon mi piace che la gente sappia da dove\nvengo. Tieni queste confidenze tra me e te,\nva bene?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06フラン\nVe bene. Il tuo segreto è al sicuro. Sto\nimparando tante di quelle cose! Mi sento\ngià più fort-\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06フラン\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06ラピス\nFramme? Che succede?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06フラン\nOh. O-O-O...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06ラピス\nO?\x0E\x04\x00\x00
