MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x06\x04エル\nScambiamo due parole, Veronica. Siamo alleate\ne vorrei conoscerti meglio.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nCome vuoi, ma dovrai parlarmi di te a tua\nvolta.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nMi pare che tu sia molto unita ai Quattro Venti.\nInvidio il rapporto che avete.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x06\x04エル\nSiamo come una famiglia. Ma scommetto che\nanche tu hai qualcuno di così caro.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nTu e i Quattro Venti non avete legami di sangue.\nCome fai a trattarli come se foste una famiglia?\nTi viene così facile.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x06\x04エル\nI legami di sangue sono forti, certo. Tuttavia,\nnon credo siano fondamentali per sentirsi parte\ndi una famiglia.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x0C\nヴェロニカ\nAllora, forse potremo diventare anche noi due\nuna famiglia.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x06\x04エル\nProbabile. Siamo già sulla buona strada, se è\nper questo.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nラファール\nSei una principessa imperiale, o no? Il tuo\nportamento dovrebbe adeguarsi al tuo ruolo.\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nNon credo di aver capito. Spiegati meglio.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nTi invidio, Rafal. Hai forza, alleati... tutte cose\nche mancano a me.\x0E\x04\x00\x00
