MID_TUT_BMAP_EVIL_RULE_TITLE	Schieramento nei capitoli maligni
MID_TUT_BMAP_EVIL_RULE_0	Nelle battaglie dei capitoli maligni, gli alleati\nhanno classi e livelli predeterminati.
MID_TUT_BMAP_EVIL_RULE_1	Anche gli inventari sono predeterminati, ma\npotrai scambiare gli strumenti tra le unità\ncome sempre.
MID_TUT_BMAP_EVIL_RULE_2	Gli alleati che cadono in battaglia torneranno\nin seguito, indipendentemente dal livello di\ndifficoltà.
MID_TUT_BMAP_EVIL_GUEST_TITLE	Unità ospiti
MID_TUT_BMAP_EVIL_GUEST_0	Nei capitoli maligni appariranno unità alleate\nche si uniranno a te in battaglia come ospiti.
MID_TUT_BMAP_EVIL_GUEST_1	Nel è un potente drago. Nil supporterà gli alleati\ncon l'aiuto degli emblemi, ma non è adatto\na combattere nelle prime linee.
MID_TUT_BMAP_EVIL_GUEST_2	La perdita in battaglia di Nel o Nil risulterà\nin una sconfitta, quindi usa con cautela queste\nunità.
MID_TUT_BMAP_EVIL_FANG_CURSE_TITLE	Zanne maledette
MID_TUT_BMAP_EVIL_FANG_CURSE_0	Il morso di un lupo aberrante infligge lo stato\nchiamato "zanne maledette".
MID_TUT_BMAP_EVIL_FANG_CURSE_1	Ogni colpo andato a segno con le zanne\nmaledette ridurrà di 5 i PS massimi dell'unità.
MID_TUT_BMAP_EVIL_FANG_CURSE_2	L'effetto si accumula con ogni colpo andato\na segno e perdura fino alla fine della battaglia,\no finché non usi il bastone Ripristino.
MID_TUT_BMAP_EVIL_MELEE_TITLE	Tutti contro tutti
MID_TUT_BMAP_EVIL_MELEE_0	Alcune unità in questa battaglia sono\ncontrassegnate in giallo.
MID_TUT_BMAP_EVIL_MELEE_1	Si tratta di unità nemiche, ma esse lottano\nanche contro i nemici in rosso.
MID_TUT_BMAP_EVIL_MELEE_2	Cerca di sfruttare la situazione a tuo vantaggio,\nfacendo scontrare le due fazioni nemiche.
MID_TUT_BMAP_EVIL_POW_TITLE	\x0E\x06\x03\x00 in trappola!
MID_TUT_BMAP_EVIL_POW_0	Mentre è in trappola, \x0E\x06\x03\x00 non ha\narmi e non può contrattaccare.
MID_TUT_BMAP_EVIL_POW_1	Cerca di curarti quando necessario per non\nperdere la battaglia.
MID_TUT_BMAP_EVIL_SUMMON_TITLE	Vortici evocatori
MID_TUT_BMAP_EVIL_SUMMON_0	I rinforzi nemici appariranno su questi vortici\nall'inizio della successiva fase giocatore.
MID_TUT_BMAP_EVIL_SUMMON_1	Puoi evitare che appaiano nuovi nemici\nposizionando un'unità sullo spazio del vortice.
MID_TUT_BMAP_EVIL_RUSHMOVE_TITLE	Devastazione
MID_TUT_BMAP_EVIL_RUSHMOVE_0	Quando un sigillo maligno brilla, significa che\nNil maligno intende spostarsi lì dopo aver\ndistrutto l'area in cui si trova in quel momento.
MID_TUT_BMAP_EVIL_RUSHMOVE_1	Il colpo verrà sferrato alla fase nemici\nsuccessiva. Tutte le unità in quell'area,\nalleati e nemici, verranno sconfitte.
MID_TUT_BMAP_EVIL_RUSHMOVE_2	Più unità Nil maligno sconfigge in questo modo,\npiù crescerà il suo potere.
MID_TUT_DLG_E006_ADVICE	Gli alleati che vengono sconfitti nei capitoli\nmaligni torneranno al termine della battaglia.\nNon preoccuparti di perdere i tuoi alleati e\nscatenati senza paura per raggiungere la vittoria.
MID_TUT_BMAP_EVIL_ENCHANT_TITLE	Nuova classe: incantatore
MID_TUT_BMAP_EVIL_ENCHANT_0	Gli incantatori consumano strumenti e armi per\npotenziare sé stessi e gli alleati. Per passare a\nquesta classe serve lo strumento borsa mistica.
MID_TUT_BMAP_EVIL_ENCHANT_1	"Uso estremo" consuma uno strumento per\nconferire effetti speciali agli alleati in base\nallo strumento stesso.
MID_TUT_BMAP_EVIL_ENCHANT_2	"Eco d'armi" usa un'arma nel tuo inventario per\npotenziare tutte le armi con lo stesso nome,\ndi alleati e nemici, per il resto della battaglia.
MID_TUT_BMAP_EVIL_MAGECANON_TITLE	Nuova classe: mago artigliere
MID_TUT_BMAP_EVIL_MAGECANON_0	I maghi artiglieri sbaragliano i nemici da lontano\ncon un cannone portatile. Per passare a questa\nclasse serve lo strumento cannone magico.
MID_TUT_BMAP_EVIL_MAGECANON_1	Il loro potere d'attacco migliora in base alla\ndestrezza. La probabilità di andare a segno\ndipende da Forz, Cost e vicinanza al nemico.
MID_TUT_BMAP_EVIL_MAGECANON_2	Il comando "Scarica" consuma le bombe attive\nper sferrare un potente attacco su vasta area\nal turno successivo.
MID_TUT_BMAP_EVIL_MAGECANON_3	L'area di attacco dei maghi artiglieri viene\nvisualizzata in modo diverso dal solito.
MID_TUT_GMAP_EVIL_TITLE	Mappa del mondo (capitoli maligni)
MID_TUT_GMAP_EVIL_0	I capitoli maligni hanno una propria mappa del\nmondo, che dovrai percorrere per avanzare\nnella storia.
MID_TUT_GMAP_EVIL_1	Puoi usare il menu della mappa del mondo per\ntornare al mondo della storia principale o al\nSomniel.
MID_TUT_GMAP_EVIL_2	Puoi anche affrontare le scaramucce che\nappariranno nelle aree già completate.
MID_TUT_HUB_EVIL_START_TITLE	Capitoli maligni
MID_TUT_HUB_EVIL_START_0	Puoi accedere ai capitoli maligni dal\npozzo antico.
MID_TUT_HUB_EVIL_START_1	Non è necessario completarli tutti insieme.\nPuoi tornare alla storia principale tra un\ncapitolo e l'altro.
MID_TUT_HUB_EVIL_START_2	I capitoli maligni hanno anche un'impostazione\ndella difficoltà separata da quella del gioco\nprincipale.
MID_TUT_HUB_EVIL_START_NOTICE	C'è qualcosa di strano al pozzo antico.
MID_TUT_NAVI_E004_ADVICE_START	A causa del gran numero di nemici, le opzioni\n"Animazioni bastoni/danza" e "Animazioni di\ncombattimento" verranno impostate su "Unità\nalleate" per questa battaglia. Puoi modificare\nle opzioni quando vuoi nelle impostazioni.
MID_TUT_NAVI_E004_ADVICE_END	La modifica apportata alle opzioni "Animazioni\nbastoni/danza" e "Animazioni di combattimento"\nall'inizio di questa battaglia verrà ora resettata.
MID_TIPS_JOB_02	"Eco d'armi" potenzia anche qualsiasi arma con lo stesso nome che si trovi nei\nrifornimenti.
MID_TIPS_JOB_03	L'effetto di "Eco d'armi" termina se usi di nuovo "Eco d'armi" con un'arma diversa.
MID_TIPS_ITEM_21	L'abilità "Scarica" dei maghi artiglieri infligge con certezza uno stato alterato a tutti\ni nemici, tranne i più potenti.
