MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x0C\nエーティエ\nEhi, Lapis. Posso parlarti?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06ラピス\nSalve, Etie. Certo. Cosa c'è?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nエーティエ\nMi hanno detto che sei brava a costruire cose.\nÈ vero?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06ラピス\nUh? Come hai fatto a saperlo?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06ラピス\nComunque sì, posso costruire grossomodo\nqualsiasi oggetto, a patto di avere i materiali.\nMobili, giocattoli...\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ラピス\nUna volta costruii persino degli strumenti\nmusicali per un concerto. Fu divertente.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nエーティエ\nMa è fantastico. Ascolta, mi servirebbe\nun favore.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nエーティエ\nNon è che potresti costruirmi un macchinario\nper allenare i muscoli?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06ラピス\nUn macchinario per i muscoli? Non mi era\nmai capitata una richiesta del genere.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nエーティエ\nI muscoli sono tutto per me, sai.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nエーティエ\nHo provato ogni tipo di allenamento, ma ormai è\ndifficile ottenere i risultati che voglio.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06ラピス\nCapisco... Quando si raggiunge un certo livello\ni progressi non sembrano più così rapidi.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nエーティエ\nEsattamente! Sapevo che mi avresti capita al\nvolo.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06ラピス\nQuali muscoli vorresti allenare, di preciso?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nエーティエ\nUhm. Braccia, pettorali, addominali e schiena.\nNient'altro.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nエーティエ\nNaturalmente ti ripagherei per il favore. Allora,\npensi che si potrebbe fare?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06ラピス\nDirei che si può. Non sarà facile, ma mi\ninventerò qualcosa.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nエーティエ\nOttimo. Oooh, sento che verrà fuori qualcosa\ndi incredibile!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x0C\nエーティエ\nLapis! Allora come procede il lavoro? Hai\niniziato a costruire il macchinario?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06ラピス\nOh, salve Etie! Che tempismo. Stavo finendo\ndi dare gli ultimi ritocchi.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ラピス\nEcco qua. Il Mega Muscolatore III.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nエーティエ\nPerché "III"?\x0E\x04\x00\x00
