MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08ジェーデ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nLouis... ormai è da un po' che te ne stai lì a\nfissarmi. Ti serve qualcosa?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04ルイ\nChiedo perdono, cavaliera della Brodia. Non\nera mia intenzione metterti a disagio.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x06\x04ルイ\nLe mie azioni sono puramente dettate da un\nprofondo interesse nei tuoi confronti.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ジェーデ\nSi chiama "interesse" adesso?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x06\x04ルイ\nAdempi alle tue missioni con tale grazia, senza\nmai mettere in discussione gli ordini del\nprincipe.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x06\x04ルイ\nMa in battaglia sei spietata, tanto che taluni\nerroneamente ti etichettano come disumana.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ジェーデ\nBeh, questo non lo chiamerei un semplice\n"interesse". Che fai? Cerchi di essere carino\ncon me?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ジェーデ\nSe pensi che io sia pericolosa, non ti\ncontraddirò. Neanche io mi fido del tutto di te.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x06\x04ルイ\nPericolosa? Temo di averti di nuovo dato\nl'impressione sbagliata.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x06\x04ルイ\nMa ci sono certi aspetti di te che tieni\nnascosti, vero?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x06\x04ルイ\nAspetti che sono noti solo a una ristretta\ncerchia.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ジェーデ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x06\x04ルイ\nIo però li conosco tutti.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ジェーデ\nNon ho idea di cosa tu stia parlando.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x06\x04ルイ\nStai scrivendo un nuovo romanzo, vero?\nUna commedia piuttosto frivola, di preciso.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ジェーデ\nLouis, fammi il favore. Non parliamone più\ne io farò finta di non aver sentito.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x06\x04ルイ\nSono la discrezione fatta persona.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08ジェーデ\nSpero per te che sia vero. Altrimenti vedrai\nsulla tua pelle come sono spietata.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08ジェーデ\nPrenditi una pausa dai tuoi "interessi" e vivi\nuna vita serena e longeva badando ai fatti tuoi.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x06\x04ルイ\nD'accordo, Jade. Avvertimento ricevuto.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08ジェーデ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x06\x04ルイ\nHo un'idea per una storia: un gruppo di amici\nsi riunisce a chiacchierare animatamente.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ジェーデ\nChe diamine vai blaterando...?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x06\x04ルイ\nCredevo fossi a corto di idee. Sembravi\npreoccupata.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ジェーデ\nImmagino non ti si possa nascondere niente.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ジェーデ\nEbbene, hai ragione. Sto cercando di trovare\nun tema per il prossimo romanzo.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x06\x04ルイ\nPerfetto, allora eccolo qui. Scrivi una storia su\nuna combriccola affiatata.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ジェーデ\nQuanto affiatata? Intendi un gruppo di amiche\nche affrontano insieme un'esperienza nuova?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x06\x04ルイ\nCome preferisci... ma a me basterebbe\nleggere i loro chiacchiericci.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ジェーデ\nDelle persone che chiacchierano... E questo\nsarebbe tutto il contenuto del romanzo?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x06\x04ルイ\nNon ho dubbi che sarebbe la tua opera migliore.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ジェーデ\nLouis, forse ti sfugge il concetto, ma ai romanzi\nserve una trama.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x06\x04ルイ\nMa una trama è davvero più importante di\nqualche scena memorabile?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ジェーデ\nMh...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x06\x04ルイ\nUna bella scena sta in piedi da sola, anche\nsenza l'impalcatura di una trama.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ジェーデ\nUh...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08ジェーデ\nLa storia è ancora troppo semplice, ma forse\nvale la pena esplorare quella struttura narrativa\npiatta che suggerisci tu.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08ジェーデ\nLa tua idea ha del potenziale. Grazie, Louis,\nmi sei stato di aiuto.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x06\x04ルイ\nÈ un piacere rendermi utile.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x06\x04ルイ\nAttendo con ansia di poter leggere le allegre\nconversazioni scritte dalla tua mano esperta.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08ジェーデ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x06\x04ルイ\nSei di poche parole. C'è ancora qualcosa che\nnon va?\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08ジェーデ\nNo, Louis. Non si capiva, ma stavo ridendo.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08ジェーデ\nLa tua sfacciataggine è esilarante!\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x06\x04ルイ\nEheh, riesci sempre a vedere il lato comico delle\ncose.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08ジェーデ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nEhi, Louis. C'è qualcosa che voglio chiederti.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x06\x04ルイ\nDi che si tratta, gentile cavaliera?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08ジェーデ\nPerché cerchi di fare amicizia con me?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ジェーデ\nMi hai colto alla sprovvista. Senza contare che\nmi stavi osservando già da tempo.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x06\x04ルイ\nMmmh.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ジェーデ\nSai come fanno le spie? Incantano i nemici\ncon fiumi di parole.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ジェーデ\nCosì ottengono la loro fiducia e poi, appena\nquesti abbassano la guardia, carpiscono le\ninformazioni.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ジェーデ\nSiamo alleati, ma resti comunque un soldato\nfirenese. Non posso fidarmi ciecamente.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x06\x04ルイ\nComplimenti, Jade.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ジェーデ\nAllora avevo ragione...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x06\x04ルイ\nOh no, certo che no. Non sono una spia.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ジェーデ\nEh?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x06\x04ルイ\nMi complimentavo per la tua immaginazione.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x06\x04ルイ\nSolo una fervida fantasia può partorire delle\nstorie così interessanti.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ジェーデ\nEhi, stai evitando la mia domanda. Perché mi\nosservavi?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x06\x04ルイ\nPerché desideravo conoscerti.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08ジェーデ\nÈ tutto qui o mi nascondi qualcosa?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x06\x04ルイ\nÈ la semplice verità.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x06\x04ルイ\nTi ho osservata a lungo, in cerca di uno spunto\nper poter attaccare bottone.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x06\x04ルイ\nCredo che sia importante formare dei legami.\nVeniamo da nazioni diverse, con diversi valori.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x06\x04ルイ\nEppure dobbiamo accantonare le differenze e\nrischiare la vita in battaglia ogni giorno.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x06\x04ルイ\nPer questo è fondamentale che impariamo a\nconoscerci e a comprenderci.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ジェーデ\nNon hai tutti i torti.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08ジェーデ\nAlla fine conviene capirsi e potersi fidare,\nsoprattutto in battaglia.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x06\x04ルイ\nProprio così. I legami che formiamo ora\ndureranno anche a guerra finita.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08ジェーデ\nLouis, scusami se ho... dubitato di te.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08ジェーデ\nIn fondo non ci vedo nulla di male a conoscersi\nmeglio.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x06\x04ルイ\nAllora perché non lo facciamo davanti a una\ntazza del mio tè preferito?\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08ジェーデ\nCon piacere, Louis. A patto di poter prendere\nappunti per il mio libro. Mi servono spunti per\ndelle conversazioni bizzarre.\x0E\x04\x00\x00
