MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0C\nミスティラ\nAh, mi ci voleva proprio! Era da tanto che\nnon cavalcavamo insieme.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08パネトネ\nSì capo, niente eguaglia una corsa\nin groppa ai lupi, di grazia.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nミスティラ\nIo e te lo facevamo praticamente tutti i giorni.\nDove sono finiti quei bei tempi?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08パネトネ\nÈ la guerra. Il mondo è mutato completamente,\nahimè.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nミスティラ\nHai ragione... e tu sei cresciuta molto da allora.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08パネトネ\nChe cosa intendete, di grazia?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nミスティラ\nDai! Ti ricordi quando ci siamo conosciute?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nミスティラ\nAvevi legato una banda di ladri agli alberi\ne li stavi per dare in pasto ai lupi!\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08パネトネ\nMa volevo solo spaventarli! Non era mia\nintenzione darli in pasto ai...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nミスティラ\nPer non parlare di come ti esprimevi!\nDicevi cose tipo...\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nミスティラ\n"Avete fame, cagnoni? Venite a spolpare queste\ncostolette!"\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08パネトネ\nOh, vi prego non rammentatemi la mia\ninsolenza giovanile!\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nミスティラ\nEheheh...\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nミスティラ\nNon ti preoccupare, Panette. Ti volevo bene\nprima e ti voglio bene ancora adesso.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08パネトネ\nProvo gli stessi sentimenti per voi, capo.\nA parte quando mi prendete in giro...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nCapo, non avevate torto a dire che sono\ncambiata.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08パネトネ\nMa di questo, la responsabilità è vostra.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nミスティラ\nMia?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08パネトネ\nSì. Quando ci siamo conosciute, ero selvaggia,\nuna barbara.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08パネトネ\nLa mia vita familiare era... accidentata, se\nvogliamo, e ciò mi aveva riempita di rancore.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08パネトネ\nCosì ogni giorno andavo in città per attaccare\nbriga col primo che mi innervosiva.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08パネトネ\nSolo ora, guardando indietro, capisco che era un\ncomportamento futile.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08パネトネ\nMa era l'unico modo in cui sapevo comportarmi.\nFinché non vi incontrai, di grazia.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08パネトネ\nAll'inizio pensavo che foste selvaggia come me.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nミスティラ\nAhahah! Siamo andate d'accordo fin dall'inizio\nio e te, non è vero?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nミスティラ\nDi giorno a sbaragliare banditi, di sera a\ncavalcare i lupi...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08パネトネ\nSì, eravamo pappa e ciccia.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08パネトネ\nMa piano piano mi avete insegnato a puntare\nla mia rabbia in una direzione più... utile.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nミスティラ\nCome quelli che ti passano davanti nella fila.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08パネトネ\nÈ successo solo una volta! Mi riferivo a tutti\ni ladri e banditi che abbiamo sconfitto insieme.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08パネトネ\nMi avete insegnato a dominare la mia rabbia\nincontrollata e a usarla per qualcosa di buono.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nミスティラ\nBeh, sono contenta. Anche se in realtà non era\nquella la mia intenzione.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08パネトネ\nEbbene, lo immaginavo.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08パネトネ\nEppure, se non vi avessi mai incontrata, capo...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08パネトネ\n... quella rabbia mi avrebbe completamente\ninghiottita, rendendomi colma di risentimento.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08パネトネ\nAvrei sprecato il resto della mia vita a provare\namarezza per il trattamento subito in gioventù.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0C\nミスティラ\nPanette, hai detto che senza di me saresti\nrimasta sola e arrabbiata per tutta la vita.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nミスティラ\nMa non penso che sia vero.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08パネトネ\nE come potete dirlo, capo?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nミスティラ\nBeh, devo ammettere che eri selvaggia, ma\nc'era sempre una luce che sprigionava da te.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nミスティラ\nAnche quando lottavi contro la peggiore feccia,\nnon volevi far loro del male, volevi solo fermarli.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nミスティラ\nE dopo le nostre lunghe cavalcate, ti prendevi\ncura dei lupi, li nutrivi e spazzolavi...\x0E\x04\x00\x00
