MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nDrago Divino, spero di non disturbare. Volevo\nringraziarvi per avermi aiutata in battaglia,\nl'altro giorno.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nシトリニカ\nMi piacerebbe donarvi qualcosa in segno di\nringraziamento, se per voi va bene.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nUn dono? Non è necessario, Citrinne. Chiunque\nal mio posto avrebbe fatto lo stesso.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nシトリニカ\nAhah. Oh, Drago Divino. Quanta modestia!\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nシトリニカ\nAha! Mi è venuta l'idea per il regalo giusto.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nシトリニカ\nSo di qualcuno vicino alla famiglia reale\nbrodiana che ha messo in vendita un'isola\nprivata a prezzo stracciato!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nシトリニカ\nVi piacerebbe un'isola privata? Ve la offro io.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\nUn'isola intera? Non è proprio il caso...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nシトリニカ\nNon è abbastanza. Lo immaginavo. Volete anche\ni miei gioielli antichi? Hanno un paio di centinaia\ndi anni...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リュール\nNo! Citrinne, non ho bisogno di regali costosi.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nシトリニカ\nDavvero? E che tipo di regalo vi piacerebbe,\nallora?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リュール\nBeh, se proprio non riesco a farti desistere...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nDirei il tipo di regali che non si possono\nacquistare con il denaro.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nシトリニカ\nChe non si possono... acquistare?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08リュール\nLascia perdere le isole e i gioielli. Mi piacciono\ni regali che non sono quantificabili per il loro\nvalore in denaro.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リュール\nQuelli sono i doni migliori che si possa ricevere.\nCapito, ora?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nシトリニカ\nMh... devo rifletterci su. A presto, Drago Divino.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nRieccomi, Drago Divino. Ho riflettuto sulle\nvostre parole riguardo ai regali.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nシトリニカ\nAvete detto di preferire qualcosa che non si\npuò comprare con i soldi...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nシトリニカ\nPerdonate l'attesa. Vi ho tenut\x0E\x0A\x00\x08\x02o\x02a sulle spine\nper giorni, settimane, mesi addirittura!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\nNon è stata un'attesa così lunga...\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nシトリニカ\nPer me è durata un'eternità.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リュール\nAllora, hai avuto un'idea?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nシトリニカ\nSì, esatto. Spero che questo pegno della mia\ngratitudine sia di vostro gradimento. Ecco a voi!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08リュール\nOh. Ma è...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nシトリニカ\nUn sasso!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08リュール\nNon c'è dubbio. Sembra proprio un sasso.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nシトリニカ\nL'ho trovato a bordo strada e non ho pagato\nun centesimo per averlo! Fantastico, no?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nシトリニカ\nNon costa niente. Non ha valore. Praticamente\nil regalo perfetto per voi!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nシトリニカ\nQualcosa non va, Drago Divino?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リュール\nForse c'è stato un malinteso. Devo essermi\nspiegat\x0E\x0A\x00\x08\x02o\x02a male.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nProva a immaginare di aver trovato questo\nsasso molti anni fa e magari di essertici\naffezionata.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\nSe mi avessi donato quel particolare sasso,\nquello a cui sei affezionata, allora lo\nconsidererei un regalo meraviglioso.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nシトリニカ\nA cui... sono affezionata?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08リュール\nHai presente il valore sentimentale? Quel valore\nche viene dal cuore e non dal portamonete?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nシトリニカ\nUn valore che viene dal cuore...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nシトリニカ\nForse ho capito.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nシトリニカ\nLa prossima volta non vi deluderò.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nシトリニカ\nAncora un po' di pazienza e avrete il mio dono,\nDrago Divino!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nSalve di nuovo, Drago Divino. Vi ho portato...\nquesto.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nOh, Citrinne! Ma che bel mazzo di fiori!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nシトリニカ\nHo pensato a voi mentre li raccoglievo. Spero\npossa andare bene...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リュール\nLi hai raccolti per me? Ma che gesto gentile.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nシトリニカ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リュール\nCitrinne, cos'hai?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nシトリニカ\nUn tempo avevo un'amica che amava i regali\ne me ne chiedeva sempre di nuovi.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nシトリニカ\nEra così contenta. Ben presto i regali\ndiventarono una parte importante della nostra\namicizia.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nシトリニカ\nUn giorno le regalai un mazzo di fiori proprio\ncome questo. Lei, però, voleva un vestito...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nシトリニカ\nLe domandai se non le piacevano i fiori, ma\nrispose in malo modo. Mi accusò di essere\nstata... taccagna.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リュール\nMi dispiace. È per questo che volevi darmi\ntutti quei regali costosissimi?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nシトリニカ\nSì. Credo sia questa la ragione.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nNon è una vera amicizia se si basa solo su regali\ncostosi.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リュール\nQuesti fiori sono un regalo gradito, Citrinne.\nSono felicissim\x0E\x0A\x00\x08\x02o\x02a di averli ricevuti. Grazie\ndavvero.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nシトリニカ\nSono contenta che vi piacciano. Finalmente ho\ntrovato il modo per esprimere la mia gratitudine.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nシトリニカ\nSiamo in due a essere felicissim\x0E\x0A\x00\x08\x02i\x02e, Drago Divino.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0A\x08リュール\nCitrinne, dai un'occhiata a questo.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0C\nシトリニカ\nÈ un fiore secco? Ha un'aria familiare...\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\nEra nel mazzo che mi hai donato. Ho fatto\nseccare i fiori uno per uno, per usarli come\ndecorazione.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0C\nシトリニカ\nAh, quei fiori...! Mi fa piacere che li abbiate\nconservati con cura.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08リュール\nOgni volta che li guardo, penso a quanto\nsei buona, Citrinne.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0C\nシトリニカ\nChe belle parole. Grazie per avermelo confidato.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\nMa non volevo solo mostrarti questo fiore.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08リュール\nQuesta volta sono io ad avere un regalo per te.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0C\nシトリニカ\nPer me? Cosa sarà mai?\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08リュール\nEcco. L'anello del patto.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0C\nシトリニカ\nEh?!\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0C\nシトリニカ\nMa è un gioiello storico. Deve valere più di tutte\nle mie ricchezze messe assieme.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0C\nシトリニカ\nPerché volete darlo a me?\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\nAccetta questo anello, non per il suo valore\nmateriale, ma come pegno della nostra amicizia.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08リュール\nVorrei che fossi la mia confidente, Citrinne.\nAccetti di camminare e combattere per sempre\nal mio fianco?\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0C\nシトリニカ\nOh...\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0C\nシトリニカ\nCerto che accetto, Drago Divino.\nAccetto con gioia il vostro regalo.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\nGrazie, mi sento sollevat\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0C\nシトリニカ\nEheh, sapete... Di solito sono quella che fa i\nregali, non che li riceve...\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0C\nシトリニカ\nÈ bello una volta tanto ricevere un regalo,\nsoprattutto se viene dal cuore.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nProprio così.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0C\nシトリニカ\nGrazie, Drago Divino \x0E\x06\x03\x00...\nMi sento la persona più fortunata del mondo.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0C\nシトリニカ\nUn giorno, quando la pace sarà tornata,\nvorrei che andassimo a un ballo... Lo so che\nmanca ancora tanto tempo...\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nPerché aspettare? Possiamo ballare qui.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nNon sarà la stessa cosa, ma è un ballo per noi\ndue sol\x0E\x0A\x00\x08\x02i\x02e...\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0C\nシトリニカ\nMi piace l'idea.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0C\nシトリニカ\nD'ora in avanti ci faremo dono del sostegno\nreciproco. E questo non ha prezzo.\x0E\x04\x00\x00
