MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x06\x04エル\nUn tempo servisti un Drago Divino, e ora sei\nal fianco di un Drago Maligno. Strano, vero?\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x08\x06セリカ\nGià, a volte il destino prende pieghe inaspettate,\nnon trovi? Per me è fantastico.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06セリカ\nNon fa bene mangiare cibi aspri tutto il tempo.\nDovresti diversificare un po' la tua dieta.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x06\x04エル\nUn antico emblema senza tempo è l'ideale\nper dispensare consigli materni.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x06\x04エル\nHo notato che mi tratti come una bambina,\nper quanto io sia un drago.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x08\x06セリカ\nSai, cerco di giudicare le persone in base a chi\nsono, piuttosto che a cosa sono. Credi che sia\nsbagliato il mio approccio?\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x06\x04エル\nNo, tutt'altro. A dire il vero, è il motivo per cui\napprezzo così tanto la tua compagnia.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x08\x06セリカ\nNe sono lieta. Spero che il nostro rapporto\nprosegua ancora a lungo e che, col passare del\ntempo, la nostra conoscenza si approfondisca.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0C\nラファール\nMi affascina la tua abilità di teletrasporto.\nMettendocela tutta, riusciresti a teletrasportarti\nanche in un altro paese?\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x08\x06セリカ\nPenso di sì, ma non ne sono sicura. Se sei\ncurioso, perché non proviamo?\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06セリカ\nSono sicura che, nel profondo, nascondi un\nanimo gentile. Perché eviti di mostrarlo?\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x0C\nラファール\nCosa intendi dire? Il mio atteggiamento è solare,\nne converrai.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0C\nラファール\nPotrei sapere come mai cerchi sempre di\npersuadere il nemico a parole? Non vedi quanto\nsia futile?\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x08\x06セリカ\nNon puoi dire che è futile, finché non provi.\nSe c'è la possibilità di evitare una battaglia,\nvale la pena tentare.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x0C\nラファール\nPuò darsi, ma cerca di tenere a mente che,\nquando i negoziati falliscono, sono io a subire\ngli attacchi.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x08\x06セリカ\nHai ragione. Farò più attenzione, allora. E mi\nauguro che le nostre abilità personali ci rendano\nuna buona squadra.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nCelica, ammiro la tua forza. Specialmente la\ntua padronanza della magia del fuoco.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x08\x06セリカ\nOh, grazie, Zelestia. Era da tempo che non\nricevevo delle lodi così calorose.\x0E\x04\x00\x00
