MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\nEhilà, Amber. Dimmi un po'. In cosa consiste\ndi solito l'allenamento per un cavaliere\nbrodiano?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08アンバー\nCome mai ti interessa?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06メリン\nPura curiosità. Ho sempre ammirato i cavalieri\nbrodiani, a dire il vero.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06メリン\nUna nazione che si fa chiamare il "regno dei\nguerrieri", non può che avere dei metodi di\nallenamento speciali.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08アンバー\nCerto in Brodia non mancano i guerrieri forti,\nma credo dipenda dalla conformazione del\nterritorio...\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08アンバー\nLa Brodia è piena di scarpate e precipizi. Non\nè adatta all'agricoltura tradizionale.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08アンバー\nQuindi molti villaggi si sostentano grazie alle\nminiere. È naturale che la gente sia forte e\nrobusta.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06メリン\nInteressante! Quindi fa parte del loro\nallenamento quotidiano?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08アンバー\nDirei che per molti è così, sì! Io sono cresciuto\nin un allevamento di alpaca, quindi i miei\ncompiti quotidiani erano un po' diversi.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06メリン\nHai detto alpaca?! Quegli animali rari\ndi cui si parla tanto?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06メリン\nMa è fantastico! Io adoro le bestiole,\nspecialmente se sono rare!\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06メリン\nMa allora se lavoravi in una fattoria, saprai un\nsacco di cose. Dimmi tutto!\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08アンバー\nDunque gli alpaca sono dei batuffoli di pelo... E\nsoprattutto... sono carinissimi.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08アンバー\nCerto sputano anche. C'è da fare attenzione.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06メリン\nSputano... Ma che carini! Non mi importerebbe\nse mi sputassero addosso, dico davvero!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08アンバー\nCredimi, non ti piacerebbe. La puzza non va\npiù via. E i peli neanche.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08アンバー\nNon per vantarmi, ma sono un esperto a\nschivare gli sputi.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08アンバー\nYah! Waaah! Queste sono un paio di mosse\nbase...\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08アンバー\nWah... aaah, waaah!\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08アンバー\nUmpf. Accidenti, i sassi mi intralciano sempre\nquando faccio qualche mossa a effetto.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x08\x06メリン\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x08\x06メリン\nMa certo! Non mi aspettavo niente di meno da\nun cavaliere brodiano! Bel colpo.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x0A\x08アンバー\nEh?\x0E\x04\x00\x00
MID_RELIANCE_C_#024	\x0E\x03\x02\x08\x06メリン\nI cavalieri brodiani non sono solo forti, vedo. Ci\nvuole flessibilità per fare delle cadute così.\nComplimenti!\x0E\x04\x00\x00
MID_RELIANCE_C_#025	\x0E\x03\x02\x08\x06メリン\nMi piacerebbe che mi insegnassi i tuoi segreti\nuno di questi giorni.\x0E\x04\x00\x00
MID_RELIANCE_C_#026	\x0E\x03\x02\x0A\x08アンバー\nAh, ti è piaciuto? Era tutto programmato,\ncerto! Forza e agilità sono i miei soprannomi.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\nAmber, speravo che potessi insegnarmi il\nsegreto della forza brodiana.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08アンバー\nNon è un vero e proprio segreto. Come ti ho\ngià detto, dietro la mia forza ci sono le faccende\nquotidiane alla fattoria.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06メリン\nMmmh. Quindi ci vuole anche energia, vero?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08アンバー\nAh, ma certo. Più hai energia, più puoi\nallenarti!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06メリン\nCapisco... Interessante.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06メリン\nE cosa ancora più interessante è poter\nsviluppare resistenza lavorando a contatto con\ngli alpaca... Sembra un sogno!\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06メリン\nSe solo ci fossero degli alpaca nel mio paese...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08アンバー\nNon temere, Merrin. Ti insegnerò tutto io.\nDiventerai fortissima.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06メリン\nSul serio? Lo faresti?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08アンバー\nDa dove cominciamo? Vuoi fare una corsa?\nO degli esercizi per i muscoli?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06メリン\nPerché non facciamo un incontro per vedere\nquanta energia ho?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08アンバー\nOttima idea! Sarà bello avere una nuova\ncompagna d'allenamento.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06メリン\nNon sarò alla tua altezza, mi sa, ma farò del\nmio meglio. Spero di non fare brutte figure.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x04\x03\x04
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08アンバー\nOh, accipicchia...\x0E\x04\x00\x00
