MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0C\nスタルーク\nSeadall? Vi dispiace se vi chiedo una cosa?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08セアダス\nDitemi pure, principe Alcryst.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nスタルーク\nHo sentito dire che facevate parte di\nuna compagnia itinerante.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nスタルーク\nSono vere queste voci?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08セアダス\nSì. Tutto vero.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08セアダス\nMercanti, attori, ballerini... e chi più ne ha\npiù ne metta.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nスタルーク\nDeve essere stata un'esperienza incredibile!\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08セアダス\n"Incredibile"? Mi lusinga che la pensiate così.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nスタルーク\nIo non sono praticamente quasi mai uscito dalla\nBrodia. Ero impegnato con i miei doveri di\nprincipe...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08セアダス\nCapisco.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nスタルーク\nSono anche un po' timido, quindi ammiro\nmolto quelli che sono a proprio agio con\nle culture straniere.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08セアダス\nIl mondo è pieno di meraviglie. Ho visto delle\ncose... da lasciare senza fiato.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08セアダス\nSe vi interessano le mie avventure, potrei\nraccontarvi un paio di storie.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nスタルーク\nLo fareste? Mi piacerebbe sentirle!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08セアダス\nMa, naturalmente, se ve le racconto dovrò\ntralasciare le parti migliori.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08セアダス\nNon voglio essere responsabile di una vostra\nfuga dalle mura del regno in cerca di avventure.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nスタルーク\nOh, non c'è questo rischio. Non avrei mai il\ncoraggio di farlo. Ero in ansia già solo a farvi\nuna semplice domanda!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0C\nスタルーク\nFantastico! Vorrei tanto assistere a un rodeo\ndi lupi.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08セアダス\nSono sicuro che vi piacerebbe.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08セアダス\nMa la vera azione avviene tra gli spalti... non\nvi dico quante risse.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08セアダス\nIn Solm non mancano i divertimenti, ma niente\nbatte l'arena dei lupi.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nスタルーク\nChe vita affascinante la vostra, Seadall. E\nquante storie...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nスタルーク\nGrazie alle vostre vivide descrizioni mi sembra\nquasi di averle vissute anch'io!\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nスタルーク\nFate sembrare la vita da strada molto\ninteressante.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nスタルーク\nAndare dove si vuole quando si vuole, seguire\nle ispirazioni del momento...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nスタルーク\nSenza restrizioni e senza pensieri... e se ci si\nannoia basta cambiare aria!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nスタルーク\nUh... come mi piacerebbe aver avuto una vita\ncosì ricca...\x0E\x04\x00\x00
