MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nヴァンドレ\x022\n\x0E\x03\x00\x0A\x04チキ\x023\n\x0E\x03\x02\x0A\x08リュール\nEccoci qui... nell'arcipelago a sud del Firene.\nSento la presenza di un emblema, senza ombra\ndi dubbio.\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x0C\nヴァンドレ\nQuello laggiù sembra un altare.\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x0A\x08リュール\nE sopra c'è un bracciale. L'emblema che\npercepisco dev'essere al suo interno.\x0E\x04\x02\x00
MID_OP1_#004	Sì, ora sono cert\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x0C\nヴァンドレ\nCosa succede, Drago Divino?\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x0A\x08リュール\nMi è appena venuto in mente un sortilegio.\x0E\x04\x02\x00
MID_OP1_#007	Proverò a evocare l'emblema.\x0E\x04\x02\x00
MID_OP1_#008	Sogna, emblema dei Draghi!\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nヴァンドレ\x022\n\x0E\x03\x00\x0A\x04チキ\x023\n\x0E\x03\x02\x06\x04チキ\nMar-Mar? Ah, no... Scusa, ma tu chi sei?\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x03\x02\x0A\x08リュール\nSono il Drago Divino \x0E\x06\x03\x00. Siamo\nqui perché ho percepito la tua presenza.\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x02\x06\x04チキ\nSei un Drago Divino? Che coincidenza, anch'io!\nIo sono l'emblema Tiki.\x0E\x04\x02\x00
MID_OP2_#004	Ti ringrazio di avermi svegliata. Devo aver\ndormito per moltissimo tempo.\x0E\x04\x00\x00
MID_OP2_#005	\x0E\x03\x02\x0A\x08リュール\nSo bene cosa significhi, Tiki. Hai dei ricordi\nprecedenti al tuo lungo sonno?\x0E\x04\x00\x00
MID_OP2_#006	\x0E\x03\x02\x06\x04チキ\nUhm... Io e gli altri miei amici dei bracciali\neravamo in un luogo lontano lontano.\x0E\x04\x02\x00
MID_OP2_#007	Combattemmo tante battaglie, ma non ricordo\ncome finirono.\x0E\x04\x02\x00
MID_OP2_#008	Ricordo solo una persona gentile, che mi mise\na dormire. Chissà chi era, però...\x0E\x04\x00\x00
MID_OP2_#009	\x0E\x03\x02\x0A\x08リュール\nUna persona gentile, eh? Mmmh...\x0E\x04\x00\x00
MID_OP2_#010	\x0E\x03\x02\x06\x04チキ\nAnche nel mondo da cui provengo mi avevano\naddormentata per proteggermi, ma fu comunque\npauroso.\x0E\x04\x02\x00
MID_OP2_#011	Poi, Mar-Mar fece in modo che io non avessi\npiù bisogno di dormire!\x0E\x04\x00\x00
MID_OP2_#012	\x0E\x03\x02\x0A\x08リュール\nParli di Marth? Gli avvenimenti di cui parli\nrisalgono all'epoca del Re Eroico?\x0E\x04\x00\x00
MID_OP2_#013	\x0E\x03\x02\x06\x04チキ\nLo conosci?\x0E\x04\x00\x00
MID_OP2_#014	\x0E\x03\x02\x0A\x08リュール\nSì. L'emblema Marth è un guardiano dell'Elyos\nda molto tempo.\x0E\x04\x02\x00
MID_OP2_#015	Se vorrai lottare al suo fianco per difendere\nquesto mondo, te ne saremo infinitamente grati.\x0E\x04\x00\x00
MID_OP2_#016	\x0E\x03\x02\x06\x04チキ\nCerto, mi piacerebbe far parte del vostro\ngruppo. Sembra divertente viaggiare assieme\na tanti amici!\x0E\x04\x02\x00
