MAID_LueurWearM	Abito divino
MAID_H_LueurWearM	Abbigliamento quotidiano riservato all'erede del Drago Divino.\nTagliato su misura per stare a pennello.
MAID_LueurWearF	Abito divino
MAID_H_LueurWearF	Abbigliamento quotidiano riservato all'erede del Drago Divino.\nTagliato su misura per stare a pennello.
MAID_VandrWear	Abito formale
MAID_H_VandrWear	Abbigliamento quotidiano indossato da Vander, il 32º valletto del drago.\nPare che ne abbia parecchi, tutti uguali.
MAID_FramWear	Giacca rosa
MAID_H_FramWear	Abbigliamento quotidiano di Framme, la 33ª valletta del drago.\nHa una tasca segreta per nascondere merendine d'emergenza.
MAID_ClanWear	Giacca verde
MAID_H_ClanWear	Abbigliamento quotidiano di Clanne, il 33º valletto del drago.\nHa una tasca segreta per nascondere merendine d'emergenza.
MAID_AlfredWear	Divisa floreale
MAID_H_AlfredWear	Abbigliamento quotidiano di Alfred, principe ereditario di Firene. Punta\nsulla comodità e include un fiore fresco del Firene infilato nel taschino.
MAID_BoucheronWear	Veste robusta
MAID_H_BoucheronWear	Abbigliamento quotidiano di Boucheron, attendente di Alfred.\nSembra sempre che i bottoni stiano per scoppiare, ma finora hanno retto.
MAID_EtieWear	Blusa vezzosa
MAID_H_EtieWear	Abbigliamento quotidiano di Etie, attendente di Alfred. Decorato con\nfrappe su maniche e gonna. Gli orli ricordano il suo vestito da battaglia.
MAID_CelineWear	Abito da tè
MAID_H_CelineWear	Abbigliamento quotidiano di Céline, principessa di Firene. Gli eleganti\nfiocchi sono adatti per l'ora del tè e la gemma è di color miele.
MAID_LouisWear	Gilet epico
MAID_H_LouisWear	Abbigliamento quotidiano di Louis, attendente di Céline. Le maniche della\ncamicia si possono arrotolare, così da difendere meglio la principessa.
MAID_ChloeWear	Abito pegaso
MAID_H_ChloeWear	Abbigliamento quotidiano di Chloé, attendente di Céline. Lo indossa\nspesso quando va alle bancarelle, facendo attenzione a non sporcarlo.
MAID_DiamandWear	Abito ardente
MAID_H_DiamandWear	Abbigliamento quotidiano di Diamant, principe ereditario di Brodia.\nIl suo tessuto può sopportare ogni strapazzo nelle situazioni d'emergenza.
MAID_UmberWear	Giacca d'alpaca
MAID_H_UmberWear	Abbigliamento quotidiano di Amber, attendente di Diamant. I ricami sulla\nschiena e sul petto richiamano gli alpaca tanto amati da Amber.
MAID_JadeWear	Abito d'autrice
MAID_H_JadeWear	Abbigliamento quotidiano di Jade, attendente di Diamant. Lascia liberi\ni movimenti e ha un robusto cinturone per mantenere la postura.
MAID_StalukeWear	Abito cinereo
MAID_H_StalukeWear	Abbigliamento quotidiano di Alcryst, principe di Brodia. Ad Alcryst pare\ndel tutto diverso da quello di Diamant, ma in realtà sono abiti molto simili.
MAID_LapisWear	Grembiule
MAID_H_LapisWear	Abbigliamento quotidiano di Lapis, attendente di Alcryst. Decorato con\ndisegni floreali, è il suo grembiule preferito da tantissimo tempo.
MAID_CitrinicaWear	Giacca nobile
MAID_H_CitrinicaWear	Abbigliamento quotidiano di Citrinne, attendente di Alcryst. La giacca è di\nfinta pelle pregiata e dei portafortuna della sua casata adornano la cintura.
MAID_IvyWear	Abito mistico
MAID_H_IvyWear	Abbigliamento quotidiano di Ivy, principessa ereditaria di Elusia. L'ha\nprogettato lei stessa, rendendolo comodo e adatto anche al clima freddo.
MAID_ZelkovaWear	Gilet con cinte
MAID_H_ZelkovaWear	Abbigliamento quotidiano di Zelkov, attendente di Ivy. La funzione delle\ncinture del gilet non è chiara, ma la collana con la chiave è solo decorativa.
MAID_KagetsuWear	Abito onigiri
MAID_H_KagetsuWear	Abbigliamento quotidiano di Kagetsu, attendente di Ivy. Le decorazioni\nsono ispirate alle polpette di riso della sua patria e ai vari ingredienti.
MAID_HortensiaWear	Abito vistoso
