MID_CARD_KEYHELP_TURN_OVER	Gira carta
MID_CARD_KEYHELP_EDIT	Modifica
MID_CARD_KEYHELP_CARD_LIST	Lista carte
MID_CARD_KEYHELP_STAMP_LIST	Lista timbri
MID_CARD_KEYHELP_STAMP_SWITCHING	Modifica
MID_CARD_KEYHELP_DELETE	Elimina
MID_CARD_KEYHELP_END	Fine
MID_ProfileCard	Carta profilo
MID_ProfileCard_MyCard	La tua carta
MID_ProfileCard_MyCard_Description	Modifica il testo della tua carta\nprofilo e personalizzane l'aspetto.
MID_ProfileCard_Notes_Terms	Per i contenuti condivisi si applicano le linee\nguida relative alla community che puoi trovare\nsul sito Internet di Nintendo. Rispetta sempre\ni tuoi compagni di gioco.
MID_ProfileCard_Album	Altre carte
MID_ProfileCard_Album_Help	Guarda ed elimina altre carte.
MID_ProfileCard_Album_Description	Guarda le carte profilo che hai\nottenuto alla torre delle prove.
MID_ProfileCard_Photo	Foto
MID_ProfileCard_Photo_Description	Scatta una foto dei tuoi alleati\npreferiti per la tua carta profilo.
MID_ProfileCard_Photo_Warning	Solo foto all'aria aperta nel Somniel.
MID_ProfileCard_Setting	Privacy
MID_ProfileCard_Setting_Description	Puoi cambiare l'impostazione per\nla privacy della tua carta profilo.
MID_ProfileCard_Setting_Warning_Public	Impostazione attuale: pubblica
MID_ProfileCard_Setting_Warning_Private	Impostazione attuale: privata
MID_ProfileCard_Setting_Confirm	Scegli un'impostazione per la privacy della\ntua carta profilo. (Puoi modificare questa\nimpostazione in qualsiasi momento.\nNota: il cambio di impostazione non avrà\neffetto sulle carte già scambiate.)
MID_ProfileCard_Setting_Public	Rendila pubblica
MID_ProfileCard_Setting_Private	Rendila privata
MID_ProfileCard_ShowStamp	Impost. timbri
MID_ProfileCard_ShowStamp_Description	Puoi scegliere se visualizzare o\nnascondere i timbri delle carte\nprofilo che hai ottenuto.
MID_ProfileCard_ShowStamp_Warning_Show	Impostazione attuale: visualizza
MID_ProfileCard_ShowStamp_Warning_Hide	Impostazione attuale: nascondi
MID_ProfileCard_ShowStamp_Confirm	Scegli un'impostazione di visualizzazione\nper i timbri delle carte profilo.\n(Puoi modificarla in qualsiasi momento.)
MID_ProfileCard_ShowStamp_Show	Visualizza
MID_ProfileCard_ShowStamp_Hide	Nascondi
MID_ProfileCard_Settings_Cannot_Change	Questa impostazione è limitata dal filtro famiglia\ne non può essere modificata.
MID_ProfileCard_Card_PlayerInfo	Info giocatore
MID_ProfileCard_Card_TolalPlayTime	Tempo di gioco
MID_ProfileCard_Card_Birthday	Compleanno
MID_ProfileCard_Card_Difficulty	Difficoltà
MID_ProfileCard_Card_GameMode	Modalità
MID_ProfileCard_Card_FaivoriteCharacter	Personaggio preferito
MID_ProfileCard_Card_Relay	Prove Staffetta
MID_ProfileCard_Card_FavoriteMap	Mappa preferita
MID_ProfileCard_Card_PlayingCount	Partite
MID_ProfileCard_Card_Versus	Prove Altrotempo
MID_ProfileCard_Card_ThemeOfEditMap	Tema della mappa
MID_ProfileCard_Card_VersusRate	Class. battaglie personalizzate
MID_ProfileCard_Card_SortieCount	Unità schierate
MID_ProfileCard_Card_AchievementCount	Trofei ottenuti
MID_ProfileCard_MyCard_Help	Guarda e modifica la carta.
MID_ProfileCard_Edit	Modifica carta
MID_ProfileCard_Edit_Help	Scegli cosa modificare.
MID_ProfileCard_Edit_Title	Titolo
MID_ProfileCard_Edit_Title_Help	Scegli un titolo.
MID_ProfileCard_Edit_Title_Caption	Titoli disponibili
MID_ProfileCard_Edit_Comment	Frase
MID_ProfileCard_Edit_Comment_Help	Scegli tre elementi.
MID_ProfileCard_Edit_Comment_Caption	Crea frase
MID_ProfileCard_Edit_FavoriteCharacter	Personaggio preferito
MID_ProfileCard_Edit_FavoriteCharacter_Help	Scegli un personaggio.
MID_ProfileCard_Edit_FavoriteCharacter_Caption	Personaggi disponibili
MID_ProfileCard_Edit_FavoriteRelayMap	Mappa preferita
MID_ProfileCard_Edit_FavoriteRelayMap_Help	Scegli una mappa.
MID_ProfileCard_Edit_FavoriteRelayMap_Caption	Mappe disponibili
MID_ProfileCard_Edit_Bg	Sfondo
MID_ProfileCard_Edit_Bg_Help	Scegli un motivo.
MID_ProfileCard_Edit_Bg_Caption	Sfondi disponibili
MID_ProfileCard_Edit_Frame	Cornice
MID_ProfileCard_Edit_Frame_Help	Scegli un motivo.
MID_ProfileCard_Edit_Frame_Caption	Cornici disponibili
MID_ProfileCard_Edit_TextDeco	Sfondo testo
MID_ProfileCard_Edit_TextDeco_Help	Scegli un motivo.
MID_ProfileCard_Edit_TextDeco_Caption	Sfondi disponibili
MID_ProfileCard_Edit_TextColor	Colore testo
MID_ProfileCard_Edit_TextColor_Help	Scegli un colore.
MID_ProfileCard_Edit_TextColor_Caption	Colori disponibili
MID_ProfileCard_Edit_CharecterStamp	Icona
MID_ProfileCard_Edit_CharecterStamp_Help	Scegli un'icona.
MID_ProfileCard_Edit_CharecterStamp_Caption	Icone disponibili
MID_ProfileCard_Edit_Stamp	Timbri
MID_ProfileCard_Edit_Stamp_Help	Decora la carta.
MID_ProfileCard_Edit_Stamp_Count	Numero timbri
MID_ProfileCard_Edit_Stamp_ConfirmToClear	Vuoi eliminare tutti i timbri?\n(Questa azione è irreversibile.)
MID_ProfileCard_Edit_Stamp_ConfirmToClear_Yes	Elimina tutto
MID_ProfileCard_Edit_Stamp_ConfirmToClose	Hai terminato il lavoro con i timbri?
MID_ProfileCard_Edit_Stamp_SaveAndClose	Esci (salva modifiche)
MID_ProfileCard_Edit_Stamp_NoSaveAndClose	Esci (scarta modifiche)
MID_ProfileCard_Edit_Stamp_ContinueToEdit	Continua modifiche
MID_ProfileCard_Album_ConfirmToDelete	Vuoi eliminare la carta profilo\ndi \x0E\x01\x00\x00?
MID_ProfileCard_Album_Delete	Elimina
MID_ProfileCard_Possession	In possesso
MID_ProfileCard_Language_Attention	A causa di un cambiamento nell'impostazione\ndella lingua, la tua frase è stata resettata.
MID_ProfileCard_Net_Save_Confirm_Match	Vuoi salvare la carta profilo dell'avversario?
MID_ProfileCard_Net_Save_Confirm_Relay	Vuoi salvare le carte profilo dei giocatori\ndella prova Staffetta?
MID_ProfileCard_Net_Save_Done	Salvataggio completato.
MID_ProfileCard_Net_Overlimit_Title	Elimina carte
MID_ProfileCard_Net_Overlimit_Title_Help	Seleziona la carta da eliminare.
MID_ProfileCard_Net_Overlimit_Incomplete	Hai superato il limite di carte profilo che puoi\ntenere. Elimina le carte in eccesso.
MID_ProfileCard_Comment_CharacterFeeling	Personalità
MID_ProfileCard_Comment_FeaturePosition	Ruoli e armi
MID_ProfileCard_Comment_AdpositionConjection	Particelle e simboli
MID_ProfileCard_Comment_Tearms	Terminologia del gioco
MID_ProfileCard_Comment_ClassStyle	Classi e unità
MID_ProfileCard_Comment_PersonName	Personaggi
