MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x0A\x08リュール\nCiao, Rosado.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ロサード\nSalve, Drago Divino. Avete visto il mio nuovo\ndisegno?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nSì! Un vecchio pozzo nella foresta, un raggio\ndi sole a illuminare un fiore appena sbocciato...\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リュール\nHai trovato il perfetto equilibrio tra calore e\nsolitudine, luce e ombra... da mozzare il fiato.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ロサード\nL'avete capito subito, eh?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ロサード\nNon sapete quanto tempo ho passato nei\nboschi per trovare quell'immagine!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ロサード\nMa se voi l'avete compresa, ne è valsa la pena!\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\nTrovi qualcosa di bello e lo condividi con gli\namici che non hanno la possibilità di vederlo...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リュール\nÈ bellissimo quello che fai, Rosado. Non vedo\nl'ora di ammirare la tua prossima opera.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ロサード\nAaaah! Che belle parole!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ロサード\nMa se è così, devo cercare di migliorare\nsempre di più.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ロサード\nA proposito, potreste aiutarmi? C'è un punto\nche vorrei raggiungere, ma è un po' difficile.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ロサード\nMi farebbe comodo avere un po' di compagnia\nnei boschi.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リュール\nVolentieri!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ロサード\nOh, grazie mille!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ロサード\nAvete sete?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リュール\nGrazie...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\nFiuuu...\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リュール\nNe abbiamo fatta di strada. Ci siamo quasi?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ロサード\nPenso di sì. Sempre che le voci che girano in\ncittà siano vere.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リュール\nVoci? Siamo arrivati fin qui per delle voci?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ロサード\nBeh, sì, ma che voci!\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ロサード\nPare che questo posto sia così bello da valere\ntutta la fatica fatta per raggiungerlo.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ロサード\nNiente può impedirmi di raggiungerlo, né la sete,\nné la stanchezza, né la distanza!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リュール\nAmmiro la tua passione per l'arte, Rosado.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ロサード\nPiù che altro è passione per i "mi piace".\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\nI "mi piace"?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ロサード\nÈ così che chiamo i complimenti di chi apprezza\nle mie opere, i sorrisi, i commenti e così via.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ロサード\nPiù mi dicono che amano un quadro, più\nsono contento! E motivato ad andare avanti!\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nÈ una gran soddisfazione quando qualcuno\napprezza quello che facciamo.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08ロサード\nOooh! Ci siamo quasi!\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08ロサード\nIl disegno è importante, ma ancora di più lo\nè il viaggio che mi porta a quel disegno!\nGodiamoci il viaggio, insieme!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08リュール\nTi seguo, Rosado.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x0A\x08リュール\nRosado, il tuo ultimo panorama è fantastico.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nL'ho visto esposto nella mensa e sono sicur\x0E\x0A\x00\x08\x02o\x02a\nche abbia lasciato tutti a bocca aperta.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08ロサード\nSono così contento! È valsa la pena scarpinare\ncosì tanto, vero?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リュール\nDecisamente. Anche se sono quasi affogat\x0E\x0A\x00\x08\x02o\x02a\nattraversando il fiume.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リュール\nE quel branco di lupi che ci ha inseguiti?!\nPensavo davvero che saremmo morti...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リュール\nMa adesso possiamo riderci su. E il panorama\nche abbiamo trovato ci ha ripagati.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ロサード\nGrazie per essere venut\x0E\x0A\x00\x08\x02o\x02a con me.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ロサード\nNon avrei potuto dipingerlo senza il vostro\naiuto.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リュール\nVolevo chiederti una cosa... la tua passione per\nl'arte viene davvero solo dai "mi piace"?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ロサード\nCosa?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リュール\nMentre ti guardavo dipingere, ho sentito che c'è\nqualcos'altro che ti spinge, oltre al desiderio di\nammirazione.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ロサード\nForse... avete ragione.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ロサード\nAl mondo c'è così tanta bellezza che la\nmaggior parte della gente non vedrà mai.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リュール\nÈ vero, non è possibile vedere tutto il mondo\ndi persona.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ロサード\nMi sembra un tale spreco, capite?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ロサード\nCi sono forme di bellezza per cui non esiste\nnemmeno un nome, tutte uniche e preziose.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08ロサード\nSe posso mostrare alla gente anche solo una\npiccola parte di questa varietà che ci offre il\nmondo, sarò felice.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ロサード\nVorrebbe dire che ho contribuito a plasmare\nuna realtà in cui le persone accettano le\ndifferenze reciproche.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リュール\nAprire le menti, mostrando mondi nuovi.\nNon sapevo che fossi così riflessivo.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ロサード\nAhah! Sto solo esagerando un po'.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リュール\nNon è vero, ho grande rispetto per te, Rosado.\nE adesso ancora di più.\x0E\x04\x00\x00
