MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06マロン\x021\n\x0E\x03\x02\x08\x06マロン\nI tuoi piani e i tuoi intrighi sono solo al suo\nservizio. Combatterai per la sua felicità?\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x08\x06モーヴ\nIl tuo affetto e le tue attenzioni sono rivolti\nsolo a quella persona. Vuoi che sia solo tua?\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x08\x06マロン\nLa nazione rocciosa si è sbriciolata.\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x08\x06モーヴ\nIl paese dei fiori è appassito.\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x08\x06マロン\nQuel che è stato è stato.\nUna persona conosce la verità.\x0E\x04\x02\x00
MID_OP1_#006	Non esiste la pietà in questo mondo.\nNon esistono le mie brame.\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\n青リュール\x021\n\x0E\x06\x00&\n青リュール\x18MPID_Unknown\n\x0E\x03\x00\x14\x0EE001_エル\x022\n\x0E\x03\x02\x0C\n青リュール\nNel! Nel!\x0E\x04\x02\x00
MID_OP2_#002	Guarda. Sono sbocciati gli anemoni.\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x02\x10\x0EE001_エル\nChe belli. Questa vista è rinvigorente, persino\nnel pieno della guerra.\x0E\x04\x00\x00
MID_OP2_#004	\x0E\x03\x02\x0C\n青リュール\nPortiamone un mazzo agli altri. Possiamo\nprenderne uno blu, uno rosso...\x0E\x04\x00\x00
MID_OP2_#005	\x0E\x03\x02\x10\x0EE001_エル\nNon è giusto strappare dei fiori. Invitiamo gli\naltri qui a vederli, piuttosto.\x0E\x04\x00\x00
MID_OP2_#006	\x0E\x03\x02\x0C\n青リュール\nHai ragione, è molto meglio come dici tu.\x0E\x04\x02\x00
MID_OP2_#007	Sei sempre così attenta nei confronti di tutti,\nNel.\x0E\x04\x00\x00
MID_OP2_#008	\x0E\x03\x02\x10\x0EE001_エル\nSeguo solo il tuo esempio.\x0E\x04\x02\x00
MID_OP2_#009	Eheh...\x0E\x04\x02\x00
MID_OP2_#010	\x0E\x03\x00\x14\x0EE004_エル\x022\n\x0E\x03\x02\x10\x0EE004_エル\n...\x0E\x04\x02\x00
MID_OP2_#011	Era un sogno.\x0E\x04\x02\x00
MID_OP2_#012	Ormai... quei sentimenti non fanno più parte\ndi me.\x0E\x04\x02\x00
MID_OP2_#013	...\x0E\x04\x02\x00
MID_OP2_#014	È pura follia. Devo togliermi questi pensieri dalla\ntesta.\x0E\x04\x00\x00
MID_OP3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x14\x0EE004_エル\x021\n\x0E\x03\x00\x14\x0EE004_イル\x022\n\x0E\x03\x00\x0E\x08リュール\x023\n\x0E\x03\x00\x1A\x14E004_グレゴリー\x024\n\x0E\x03\x02\x10\x0EE004_イル\nFa decisamente freddo in Elusia.\x0E\x04\x00\x00
MID_OP3_#002	\x0E\x03\x02\x0A\x08リュール\nGià. Ammetto che sono quasi delus\x0E\x0A\x00\x08\x02o\x02a: rispetto\nalla Brodia è molto più facile attraversare il\nconfine.\x0E\x04\x00\x00
MID_OP3_#003	\x0E\x03\x02\x16\x14E004_グレゴリー\nFin troppo, se posso dire la mia. Come mai la\nfrontiera era sguarnita? C'è qualcosa che non\nmi torna...\x0E\x04\x02\x00
MID_OP3_#004	Comincio a preoccuparmi, onestamente.\x0E\x04\x00\x00
MID_OP3_#005	\x0E\x03\x02\x10\x0EE004_イル\nIn effetti è strano che abbiamo incrociato così\npoche guardie. Cosa ne pensi, Nel?\x0E\x04\x00\x00
MID_OP3_#006	\x0E\x03\x02\x10\x0EE004_エル\n...\x0E\x04\x00\x00
MID_OP3_#007	\x0E\x03\x02\x0A\x08リュール\nStai bene? Hai l'aria stanca, non hai dormito\nabbastanza.\x0E\x04\x02\x00
MID_OP3_#008	Ti ho sentita rientrare tardi ieri notte.\x0E\x04\x00\x00
