MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x10\nスフォリア\x023\n\x0E\x03\x00\x10\nミスティラ\x024\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nRegina Seforia!\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x0E\x0Cオルテンシア\nEra ora! Ce ne avete messo di tempo.\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x0C\nミスティラ\nLasciala andare.\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x0E\x0Cオルテンシア\nScordatelo. E non osare fare un passo in più.\x0E\x04\x02\x00
MID_OP1_#005	Ho un anello dell'emblema. Non ci metterei\nniente a farla fuori.\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x0C\nミスティラ\n...\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x0C\nスフォリア\nPerdonatemi. Non avevo capito che fosse\nancora dalla parte dell'Elusia.\x0E\x04\x00\x00
MID_OP1_#008	\x0E\x03\x02\x0A\x08リュール\nNon vedo soldati. Ti sei intrufolata qui da sola?\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x0E\x0Cオルテンシア\nGià. Ho detto alle guardie che non trovavo più\nIvy e mi hanno fatta entrare senza problemi.\x0E\x04\x02\x00
MID_OP1_#010	E ora la scelta è solo vostra. Datemi gli\nanelli, o dite pure addio alla regina.\x0E\x04\x00\x00
MID_OP1_#011	\x0E\x03\x01\x0C\nミスティラ\n\x0E\x03\x00\x0E\x08アイビー\x024\n\x0E\x03\x02\x0A\x08アイビー\nHortensia. Non farlo.\x0E\x04\x00\x00
MID_OP1_#012	\x0E\x03\x02\x0E\x0Cオルテンシア\nIvy! È un po' che non ci vediamo. Ho anche\ncreduto che fossi morta.\x0E\x04\x02\x00
MID_OP1_#013	Ero sollevata di saperti viva.\nMa adesso che fai? Stai con loro?\x0E\x04\x00\x00
MID_OP1_#014	\x0E\x03\x02\x0A\x08アイビー\nBeh...\x0E\x04\x00\x00
MID_OP1_#015	\x0E\x03\x02\x0E\x0Cオルテンシア\nDa quando nostro padre si è sacrificato,\nl'Elusia agisce d'accordo con lord Sombron.\x0E\x04\x02\x00
MID_OP1_#016	E tu invece? Mi hai abbandonata e ora te ne vai\nin giro col nemico.\x0E\x04\x02\x00
MID_OP1_#017	Sei una lurida traditrice, ecco cosa sei, Ivy!\x0E\x04\x00\x00
MID_OP1_#018	\x0E\x03\x02\x0A\x08アイビー\nNon è vero, non ho tradito nessuno. Hortensia,\nti prego, ascoltami.\x0E\x04\x00\x00
