MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06アンナ\nYaaaaaaah!
MID_RELIANCE_C_#002	\x0E\x03\x00\x0A\x04ボネ\x021\n\x0E\x03\x02\x06\x04ボネ\nEhi, ottimo taglio.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x06\x04ボネ\nHai tagliato quel tronco in due parti uguali.\nAmmiro la tua abilità.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06アンナ\nEheheh, sono contenta che tu l'abbia notato.\nSono piuttosto brava a tagliare la legna.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06アンナ\nLa uso per costruire oggetti o intagliare\ndecorazioni... da vendere, ovviamente.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x06\x04ボネ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x06\x04ボネ\nAnna, avrei un favore da chiederti.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06アンナ\nOh, suvvia, ormai siamo in confidenza. Puoi\nchiamarmi signorina Anna.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x06\x04ボネ\nAhah, signorina Anna... Potrei avere un po'\ndi questa legna?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06アンナ\nNon c'è problema... Anche tu ti diletti con\ni lavoretti in legno?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x06\x04ボネ\nNo, a dire il vero è per i miei fornelli.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x06\x04ボネ\nCon dei pezzi così uniformi mi verrebbe\npiù facile controllare la temperatura.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x06\x04ボネ\nIn altre parole... la mia cucina ne gioverebbe\nenormemente.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x06\x04ボネ\nDammene un po', ti prego.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06アンナ\nAh, è così che funziona? Beh, se ci tieni tanto,\npossiamo trovare un accordo.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06アンナ\nOvviamente dovrai pagarmi.\nIo non regalo niente.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x06\x04ボネ\nMpf... sei proprio un bel tipo.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06アンナ\nDevo esserlo, se voglio farcela con le mie sole\nforze.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x06\x04ボネ\nComunque ti pagherò tutto quello che vuoi.\nQuella legna vale la spesa.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06アンナ\nYaaaaaaaah!
MID_RELIANCE_B_#002	\x0E\x03\x00\x0A\x04ボネ\x021\n\x0E\x03\x02\x06\x04ボネ\nOttimo taglio, come sempre.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06アンナ\nFammi indovinare: vuoi altra legna?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x06\x04ボネ\nProprio così.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x06\x04ボネ\nLa tua legna brucia che è un piacere.\nÈ perfetta per controllare il calore dei fornelli.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x06\x04ボネ\nIl risotto che ho preparato ieri era delizioso,\nanche per i miei standard elevati.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06アンナ\nSe il cliente è soddisfatto, lo sono anch'io.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x06\x04ボネ\nMa dimmi, come hai fatto a diventare così\nbrava a tagliare la legna, signorina Anna?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06アンナ\nUhm...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06アンナ\nQuando vivevo a casa con la mia famiglia\ntoccava sempre a me questo lavoro.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x06\x04ボネ\nCapisco... hai lavorato sodo per tutta la vita, eh?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06アンナ\nMi hai fatto tornare in mente la mia famiglia...\nLa zuppa di salmone che mangiavamo insieme\nera così buona.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06アンナ\nAaah...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x06\x04ボネ\nC'è qualcosa che non va?\x0E\x04\x00\x00
