MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x06\x04ボネ\nMerrin! Non potevi arrivare in un momento\nmigliore! Prego, accomodati.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06メリン\nDi che si tratta?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x06\x04ボネ\nVoglio che tu sia la prima ad assaggiare\nla mia nuovissima ricetta.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06メリン\nAh... per un libro di ricette?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x06\x04ボネ\nIn verità per un ristorante. Voglio ricostruire\nil ristorante dei miei, appena finita la guerra.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x06\x04ボネ\nSto pensando a delle nuove creazioni nel\nmio tempo libero.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06メリン\nMa che bella cosa! E che c'è di buono oggi?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x06\x04ボネ\nStufato di pollo.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06メリン\nWoaaa! La presentazione è spettacolare.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x06\x04ボネ\nGrazie. Ho trovato un tipo di gallina molto rara\ne l'ho fatta sobbollire per giorni.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x06\x04ボネ\nPoi ho aggiunto una gran varietà di spezie,\nalcune anche con un effetto riscaldante.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x06\x04ボネ\nDai, assaggia.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06メリン\nVolentieri! Sentiamo un po'...\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06メリン\nMmmh!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06メリン\nIncredibile... La carne è così tenera che si\nscioglie in bocca.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06メリン\nI sapori si mescolano sulla mia lingua, ma ogni\ningrediente resta ben distinguibile.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06メリン\nLe spezie non sovrastano il gusto delicato del\npollo... i sapori convivono in perfetta armonia.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x06\x04ボネ\nNessuno ha mai descritto i miei piatti in un\nmodo così bello.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06メリン\nUn pasto artistico merita una descrizione\nartistica.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06メリン\nDevo dire che ci sai fare davvero.\nQuesto piatto deve avere un posto nel menu.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x06\x04ボネ\nSono lieto di sentirtelo dire. Vuol dire che\nè valsa la pena di tutta quella fatica.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x06\x04ボネ\nGrazie per aver assaggiato il mio piatto, Merrin.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x08\x06メリン\nGrazie a te per il pasto delizioso, è stata\nuna bella sorpresa.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x08\x06メリン\nEhi, Bunet. Ho sentito dire che ti piacciono\ngli animali rari.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x06\x04ボネ\nScusa?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06メリン\nNo perché piacciono anche a me, sai?\nE so dove trovarne di incredibili.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06メリン\nTi va di andarci insieme? Sarebbe un modo per\nringraziarti del pasto delizioso.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x06\x04ボネ\nEhm...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x06\x04ボネ\nGrazie per l'offerta, ma sono costretto\na rifiutare.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06メリン\nDavvero? Non ti piace osservare la natura?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x06\x04ボネ\nNon è per quello...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06メリン\nE perché, allora?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06メリン\nAspetta un attimo...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06メリン\nAh! Non mi dire che...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x06\x04ボネ\nEh?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06メリン\nNon ti piace osservare la natura selvaggia,\nma solo mangiarla! È così?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x06\x04ボネ\nCosa?!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06メリン\nCucinare con la carne normale è noioso, quindi\nhai cominciato a cercare altre bestioline.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06メリン\nAspetta! Che c'era in quello stufato? Non è che\nmi hai fatto mangiare un animale raro?!\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x06\x04ボネ\nMa certo che no! Ti ho detto che era pollo!\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06メリン\nBugiardo! E scommetto che sei venuto da me\nsolo per scoprire dove trovare altre bestie!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x06\x04ボネ\nAscolta...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06メリン\nNo, ascoltami TU. Prova a toccare uno di quegli\nanimali, e dovrai vedertela con me.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06メリン\nAnzi, prova anche solo a PENSARE di far del\nmale a quelle povere creature, e vedrai.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x06\x04ボネ\nMerrin, abbi pazienza. C'è un malinteso.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x08\x06メリン\nTi spenno e ti faccio alla griglia con le mie mani,\nhai capito?\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x01\x08\x06メリン\n\x0E\x03\x02\x06\x04ボネ\nSigh... nessuno mi batte quando si tratta di\nnon farsi capire.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x08\x06メリン\nAllora, Bunet, eccomi qui. Cosa volevi dirmi?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06メリン\nSe provi a servirmi un fenicottero in casseruola,\nvedi che ti faccio!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x06\x04ボネ\nNon hai capito... ti prego, stammi a sentire.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06メリン\nEh?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x06\x04ボネ\nNon mi interessano quelli che tu chiami\n"animali rari".\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x06\x04ボネ\nMi interessi... tu...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06メリン\n...!\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06メリン\nChe cosa?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x06\x04ボネ\nAnche se siamo entrambi al servizio della casa\nreale, non siamo mai diventati amici.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x06\x04ボネ\nDevo ammettere che ero un po' intimidito da te.\nSei così sicura ed estroversa.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x06\x04ボネ\nSempre a parlare di bestie rare a chiunque\nti ascolti.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x06\x04ボネ\nCosì, speravo di poter fare amicizia con\nla Guardabestie.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x06\x04ボネ\nÈ il soprannome che ti ho dato.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06メリン\nOooh.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06メリン\nLa Guardabestie?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x06\x04ボネ\nSo quanto ami le creature della natura\nselvaggia.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x06\x04ボネ\nÈ un soprannome sciocco, scusami...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06メリン\nSciocco?! È il miglior soprannome che abbia\nmai sentito! La Guardabestie... così eroico!!!\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x06\x04ボネ\nAha, sì.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06メリン\nScusa, Bunet. Non avevo idea che volessi\ndiventare mio amico.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06メリン\nMi ero completamente sbagliata su di te.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x06\x04ボネ\nNon c'è bisogno di scusarsi, sono abituato\na essere frainteso.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x06\x04ボネ\nSono sempre stato quello strano... fin da\nbambino.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06メリン\nBeh, anche io sono una stramba certificata,\nquindi ti capisco!\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06メリン\nAllora da oggi saremo amici! Gli strambi\ndevono farsi forza.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x06\x04ボネ\nBisogna festeggiare. Ti va di provare la mia\nultima creazione culinaria?\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x06\x04ボネ\nSe vuoi puoi anche dare un nome al piatto.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x08\x06メリン\nCosa? Io?! Vuoi che decida il nome che apparirà\nnel menu?\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x06\x04ボネ\nSì. La tua descrizione del piatto dell'altra volta\nmi ha impressionato. Scegli il nome che vuoi tu.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x08\x06メリン\nBenissimo! Vediamo, come potrei chiamarlo?\nMagari posso ispirarmi a qualche bestia rara...\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x06\x04ボネ\nEhm, forse è meglio evitare... Qualcuno\npotrebbe fraintendere...\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x08\x06メリン\nAh! Hai ragione!\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x06\x04ボネ\nNon c'è fretta. Prenditi tutto il tempo che serve\ne lasciati ispirare.\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x08\x06メリン\nSarà un piacere!\x0E\x04\x00\x00
