MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x02\x08\x06フラン\nUhm... Uhmmmm...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x00\x12\x0Cディアマンド\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nChi vince la gara di sguardi? Tu o il libro di\nstoria?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06フラン\nAh! Principe Diamant! Che sgarbata, non vi\navevo visto entrare!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nNon ti devi scusare, Framme. Ti vedo agitata,\nposso aiutarti in qualcosa?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06フラン\nHo fatto di nuovo un pasticcio nel mio incarico\ndi valletta, così Vander mi ha ordinato di\nstudiare.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06フラン\nContinuava a ripetere: "Non prendi mai\nseriamente il tuo incarico". E: "Almeno fatti\nun po' di cultura!"\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nAllora te l'ha dato Vander quel libro. Non\nsembra che ti appassioni più di tanto, eh?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06フラン\nLa storia è così noiosa! Solo guerre, territori\nrivendicati, guerre, patti e altre guerre...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06フラン\nPerché tutti vogliono sempre fare la guerra?\nPerché non si rilassano e vivono in pace?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nLa storia è un susseguirsi di guerre, è vero...\nFin dalla prima guerra con il Drago Maligno.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nMa non è solo battaglie e spargimenti di sangue.\nPer esempio...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cディアマンド\nI miei antenati riuscirono a fondare il regno di\nBrodia grazie alla continua protezione di\nLumera, non alla guerra.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nSi imparano tante cose studiando la storia.\nVander ha avuto una buona idea.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06フラン\nSe lo dite voi...\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nContinua a leggere e ti prometto che non\ntroverai solo date e nozioni. Ci sono storie\ndi persone vere.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06フラン\nAvete ragione... non sono riuscita a leggere\nmolto finora, la lettura mi sfianca.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nTi capisco, non è facile leggere di guerre\nmentre ne stiamo vivendo una. Ma tranquilla...\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nTi do la mia parola, quando io sarò re di Brodia,\nci sarà la pace.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06フラン\nDite sul serio?\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06フラン\nUna promessa dal principe ereditario di Brodia!\nNon chiedo altro!\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0E\x0Cディアマンド\nEheh... sono serio. Puoi fidarti di me.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x08\x06フラン\nNon ne dubito! E adesso questo libro non mi\nsembra nemmeno più così noioso!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x02\x08\x06フラン\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x00\x12\x0Cディアマンド\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nCiao, Framme. Oggi non leggi il libro di storia?\nO l'hai già finito?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06フラン\nHo... smesso di studiare storia.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nHai smesso? Che è successo? Pensavo che\nfinalmente avessi imparato ad apprezzarla...\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06フラン\nPrincipe Diamant... Avete detto di voler portare\nla pace nel mondo...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06フラン\nMa è davvero così?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nCerto che lo è. Non mentirei mai su una cosa\ndel genere.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06フラン\nE allora perché la Brodia continua ad attaccare\nl'Elusia?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0E\x0Cディアマンド\nBeh...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06フラン\nHo letto la storia di entrambi i regni. Molti\nabitanti dell'Elusia vivono nel terrore degli\nattacchi della Brodia...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06フラン\nQuando dite di voler porre fine alla guerra,\nintendete conquistando l'Elusia? È forse pace\nquella?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cディアマンド\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06フラン\nPiù leggevo quel libro, meno riuscivo a capire\nil mondo. Tutto ciò mi spaventa.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06フラン\nPer questo ho smesso. Basta, non ne voglio\npiù sapere niente.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nLa Brodia... è un regno di guerrieri, e ha\nuna storia infausta di aggressioni territoriali.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nEd è vero che alcuni abitanti dell'Elusia hanno\nsofferto per colpa della Brodia e la odiano.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nCiò fa parte indubbiamente del nostro passato,\nma non permetterò che faccia parte anche\ndel nostro futuro.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nNon sarà facile, ma lo dico sul serio.\nLe cose cambieranno.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06フラン\nNel vostro regno, volete dire?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nSì, ti prego di credermi.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06フラン\nNon so... l'ultima volta che abbiamo parlato\navete glissato sulle parti più cruente della\nstoria della Brodia.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nNon era mia intenzione nasconderti nulla.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cディアマンド\nMa forse... inconsciamente ho un senso di\ncolpa per tutto ciò.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0E\x0Cディアマンド\nCapisco da dove venga la tua rabbia nei miei\nconfronti.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x08\x06フラン\nNo, no... non sono arrabbiata, è solo che...\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x08\x06フラン\nNon so, forse mi sto facendo influenzare troppo\nda questa storia... è così pesante...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x02\x08\x06フラン\nUhm... Uhmmmmm...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x00\x12\x0Cディアマンド\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nChe sorpresa! Hai riaperto quel libro,\neh, Framme?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nPensavo che avessi detto basta.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06フラン\nBeh...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06フラン\nVolevo chiedervi scusa, principe Diamant.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06フラン\nAvete intenzione di fermare la guerra nel vostro\nregno, per quanto sia difficile... vero?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06フラン\nCi ho pensato su a lungo e ho capito una cosa\nimportante.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06フラン\nNon devo lasciarmi spaventare dalla storia. Anzi,\nè una ragione in più per continuare a leggere!\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06フラン\nOra sto leggendo questo libro per capire come\nsi possano fermare conflitti e guerre.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nFramme... ciò ti fa davvero onore.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06フラン\nBeh, non ho ancora trovato nessuna buona\nidea, eh.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0E\x0Cディアマンド\nNon importa, anche se non hai avuto idee,\nl'importante è che tu abbia deciso di agire.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06フラン\nGià... non possiamo cambiare il passato, ma\nil presente sì. E sperare in un futuro migliore.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0E\x0Cディアマンド\nIo voglio che la mia impronta nella storia sia\nun'impronta di speranza.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06フラン\nÈ una promessa?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nÈ una promessa, Framme.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06フラン\nBene. Allora continuerò a studiare e farò\ntutto il possibile per aiutarvi.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nE allora io ti aiuterò con i tuoi studi.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06フラン\nVoi aiuterete me? Ma cosa dite?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06フラン\nSiete un principe ereditario. Siete troppo\noccupato per perdere tempo con i "compiti\na casa di Vander".\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cディアマンド\nAnche se forse non si direbbe, sono sempre\nstato uno studente piuttosto bravo.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06フラン\nConoscendovi, "piuttosto bravo" significherà\n"perfettamente perfetto".\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0E\x0Cディアマンド\nDiciamo "abbastanza bravo". Sono sicuro che\nVander sarà d'accordo ad affiancarti un\ncompagno di studi.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0E\x0Cディアマンド\nAllora, ci mettiamo al lavoro sui libri\ne cominciamo a buttare giù il nostro\npiano per la pace?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06フラン\nMi avete convinta, principe Diamant! Grazie!\nGià vedo un futuro più sereno davanti a me.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06フラン\nDiventerò una valletta saggia e potrò vantarmi\ndi aver studiato con il re di Brodia!\x0E\x04\x00\x00
