MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nYunaka, cosa pensavi di fare alla prossima\nassemblea della Brodia?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06ユナカ\nPotreste ripetere, per favore? Ero distratta.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nシトリニカ\nSo che stai andando in giro a cercare\ninformazioni sull'assemblea dei funzionari\nbrodiani.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06ユナカ\nUhm, come?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nシトリニカ\nIl regno di Brodia e tutto il popolo brodiano\nsono preziosi per me... Se stai tramando contro\ndi loro dovrai vedertela con me.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ユナカ\nEhi, ehi, stiamo calme. Sicuramente c'è\nstato un fraintendimento.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nシトリニカ\nOh, ma davvero? Io lo chiamerei "inganno".\nStai nascondendo la tua vera identità, o sbaglio?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06ユナカ\nNo... Io...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nシトリニカ\nNon negarlo, non serve. Hai già ingannato molta\ngente, ma non inganni me. So qual è il tuo\nlavoro.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nシトリニカ\nSei un'assassina.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06ユナカ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nシトリニカ\nNon pensavi che una come me potesse scoprirti,\neh?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nシトリニカ\nFa parte dei miei doveri nobiliari proteggere il\nmio popolo. Ho subito capito che razza di\npersona eri.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nシトリニカ\nHo fatto le mie indagini. E se non confessi, le\nrivelerò a tutti.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06ユナカ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06ユナカ\nE va bene, è vero. Ero un'assassina brodiana.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06ユナカ\nMa giuro che quella vita non mi appartiene più.\nMi sono lasciata il passato alle spalle.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nシトリニカ\nInutile, non mi convinci.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06ユナカ\nMa è la verità! Ascoltatemi, almeno. Vi spiegherò\ntutto.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0C\nシトリニカ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0C\nシトリニカ\nE va bene. Allora incontriamoci un'altra volta,\ncosì mi racconti tutto.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0C\nシトリニカ\nMa ricorda: per proteggere la Brodia sono\ndisposta a fare qualsiasi cosa. Non ho pietà.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x08\x06ユナカ\nLo terrò a mente.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nAllora, sentiamo un po' cos'hai da dire. Ma se\nti scappa anche solo una menzogna...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06ユナカ\nComincerò dall'inizio. E no, non mentirò.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ユナカ\nLa protagonista di questa storia non si chiama\nYunaka, ma Larimar.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06ユナカ\nNasce da un'umile famiglia della costa brodiana.\nI genitori l'abbandonano a sé stessa.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ユナカ\nQuesto prima che sia grande abbastanza\nda capire cosa significhi. Viene presa in custodia\nda un uomo... che lavora come assassino.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nシトリニカ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06ユナカ\nLui le dice che ha bisogno di una piccola\naiutante.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06ユナカ\nDa lui impara a uccidere.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nシトリニカ\nA quale scopo?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06ユナカ\nSoldi facili.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nシトリニカ\nQuindi fu quest'uomo a importi questo lavoro?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06ユナカ\nCorretto.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nシトリニカ\nCosì è questo il tuo passato...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nシトリニカ\nMa per quanto tragico, non hai conquistato\nla mia compassione.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06ユナカ\nNon cerco compassione. E non ho ancora\nfinito il racconto.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nシトリニカ\nVa bene. Continua pure.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06ユナカ\nUn momento... sta arrivando qualcuno.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nシトリニカ\nE quindi?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06ユナカ\nSarà meglio se continuiamo un'altra volta.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nシトリニカ\nMolto bene.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nYunaka, ora siamo sole. Continua la tua storia.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06ユナカ\nD'accordo.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06ユナカ\nLa ragazza esegue gli ordini. È stata addestrata\na farlo. Uccidere è solo un lavoro come un altro,\nnulla di personale.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06ユナカ\nFinché un giorno, l'assassino che l'ha allevata\nsi ammala.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06ユナカ\nUna malattia incurabile che gli lascia poco\ntempo da vivere.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06ユナカ\nCosì rivela alla ragazza la ragione per cui l'ha\nallevata: perché prendesse il suo posto.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06ユナカ\nPoi le offre tutto il denaro guadagnato insieme\ne le affida un ultimo incarico.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nシトリニカ\nOh...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06ユナカ\nLei lo disprezza, ma sa anche che senza\nil suo intervento, non sarebbe viva.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06ユナカ\nQuindi decide di onorare le sue ultime volontà.\nMettere fine alle sue sofferenze.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nシトリニカ\n...!\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06ユナカ\nE così arriviamo al punto in cui Larimar\nabbandona la carriera da assassina e prova ad\nandare avanti con la sua vita.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06ユナカ\nCambia nome in Yunaka ed eccola qua. Una\nnuova persona.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nシトリニカ\nOh...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06ユナカ\nE ora, a proposito dell'assemblea dei pezzi\ngrossi brodiani.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nシトリニカ\nEcco, sì, dimmi. Non ho ancora accantonato\ni miei sospetti.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06ユナカ\nStavo ponendo le basi di un progetto.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nシトリニカ\nE che progetto sarebbe?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06ユナカ\nEcco, volevo istituire un fondo per aiutare\ni bambini svantaggiati.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06ユナカ\nL'assemblea era un punto d'inizio. Speravo di\nriuscire a proporre la mia idea lì.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nシトリニカ\nAh!\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nシトリニカ\nMa allora è per questo che chiedevi a tutti\ndi quest'assemblea...\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06ユナカ\nProprio così. Mi piacerebbe fare in modo che\nnessun bambino subisca cosa ho dovuto\npassare io.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nシトリニカ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nシトリニカ\nChe idiota che sono stata.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06ユナカ\nMa no. Avevate ogni ragione di sospettare di\nme. Lo capisco, sapete?\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nシトリニカ\nYunaka, lascia che ti dia qualcosa per quella\nraccolta fondi. Consideralo un modo per farmi\nperdonare.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x08\x06ユナカ\nLo fareste davvero?\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0C\nシトリニカ\nIl conflitto peggiora di giorno in giorno e il\nnumero di bambini che rimangono orfani\nsta aumentando a vista d'occhio.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0C\nシトリニカ\nIl popolo brodiano è segnato. Molti nobili sono\nimpazienti di rendersi utili in qualche modo.\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0C\nシトリニカ\nCome vedi ho le mie connessioni. Lascia che ti\naiuti. Ho agito in mala fede e ora voglio solo\nfarmi perdonare.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x08\x06ユナカ\nVoi non avete niente da farvi perdonare!\nAvete tutta la mia gratitudine, davvero...\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x0C\nシトリニカ\nMeno male...\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x0C\nシトリニカ\nQuello che stai facendo è un gesto nobile.\nMi assicurerò che dia i suoi frutti.\x0E\x04\x00\x00
