MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0A\x08リンデン\nGaaaah!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x02\x0A\x08ジェーデ\nSer Lindon? Cosa state facendo?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リンデン\nAh, Jade! Guarda chi si vede.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リンデン\nStavo cuocendo dei dolci con l'incantesimo\ndel tuono. Mi piace prepararli... in un lampo.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リンデン\nOh! Ma guarda un po'...\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08リンデン\nChe libro è quello?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リンデン\nCredevo di aver letto tutti i libri esistenti al\nmondo, ma quella copertina non mi è familiare.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ジェーデ\nMi stupirei del contrario.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08ジェーデ\nÈ un romanzo che ho scritto io.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リンデン\nPer tutti i fulmini! Ma è fantastico! Allora,\ndesidero leggerlo, se posso.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ジェーデ\nVolete leggere il mio romanzo? Vi avverto,\ni toni sono molto più scanzonati rispetto alle\nvostre letture abituali...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リンデン\nUna commedia, eh? Bene, bene... Non fa che\naumentare la mia curiosità.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リンデン\nMi ci vorrebbe proprio qualcosa di più leggero.\nPosso convincerti in qualche modo\na prestarmelo?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リンデン\nTi andrebbe una torta? Uno scambio equo,\ninsomma.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ジェーデ\nOh, non ce n'è bisogno. Apprezzo l'offerta, ma\nsarei già più che soddisfatta di poter sentire\nla vostra opinione.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ジェーデ\nA meno che sia proprio negativa. In tal caso,\nmeglio fare finta di niente.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リンデン\nAh! Ma allora posso leggerlo? Grazie tante,\nJade!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0A\x08リンデン\nPer tutti i fulmini, Jade! Mi sono scompisciato\ndalle risate, dico davvero.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リンデン\nHai un grande talento per le commedie.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ジェーデ\nDetto da voi è un vero complimento,\nser Lindon.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リンデン\nI personaggi hanno un grande spessore...\nsembrano quasi saltare fuori dal libro!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リンデン\nSono basati su persone reali? Non nego\nche alcuni di loro mi hanno fatto venire\nin mente certe nostre conoscenze...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ジェーデ\nPotrebbero esserci alcuni riferimenti a fatti\no a persone reali, in effetti.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リンデン\nSi vede che hai un ottimo spirito\ndi osservazione... e non ti mancano\nle doti descrittive.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08リンデン\nUn grandissimo romanzo, ecco cos'è. E grazie\nper aver condiviso questa tua passione con me.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ジェーデ\nGrazie a voi di averlo letto.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08リンデン\nTi dirò che anch'io ho scribacchiato qualcosa.\nHo messo nero su bianco alcuni avvenimenti\ndella mia gioventù.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ジェーデ\nDavvero?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リンデン\nProprio così, anche se non sono in molti a\nsaperlo.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ジェーデ\nMi piacerebbe molto leggere i vostri ricordi,\nse per voi non è un problema.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リンデン\nOhohoh! Bene! Proprio quello che speravo\ndi sentire.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リンデン\nAh, che emozione. Una scrittrice nei nostri\nranghi. Da non crederci!\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リンデン\nSe e quando avrai tempo, mi piacerebbe anche\nconfrontarci sulle nostre commedie preferite.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08ジェーデ\nMa certo, con piacere!\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リンデン\nChe incontro fortunato. Non si finisce mai di\nstupirsi, nella vita!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0A\x08リンデン\nChe piacevole sorpresa, Jade!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リンデン\nNon avevo ancora finito il capitolo di prima,\nche già mi hai portato quello nuovo.\x0E\x04\x00\x00
