MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x0C\nエーティエ\nEhi, Yunaka. Mi faresti un favore?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06ユナカ\nDitemi pure, mia cara.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nエーティエ\nStai ferma immobile. Avrei bisogno di fare\nun'ispezione corporale.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06ユナカ\nEh? E perché mai? Cosa cercate? E se trovate\nqualcosa cosa pensate di fare?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nエーティエ\nQuante domande. Vedrai, ci vorrà solo\nun secondo.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ユナカ\nUmpf...\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06ユナカ\nNon ho dato il mio consenso. Credete che abbia\ncommesso un furto?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nエーティエ\nHai indovinato. Come hai fatto a capirlo?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06ユナカ\nQuesta poi! Ma io scherzavo! Non ho rubato\nniente!\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nエーティエ\nSo perfettamente cosa hai fatto.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06ユナカ\nAh sì?! Beh, se pensate di potervela cavare\ncon questa perquisizione vi sbagliate! Quel\nche è troppo è troppo!\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nエーティエ\nCalma, calma. Nessuno è nei guai.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06ユナカ\nAh no? Quindi posso andarmene?!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06ユナカ\nPerfetto, allora vado!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x01\x08\x06ユナカ\n\x0E\x03\x02\x0C\nエーティエ\nEhi, aspetta! Yunaka!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x0C\nエーティエ\nScusami per l'altra volta, Yunaka. Temo che non\nci siamo capite.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06ユナカ\nUn'incomprensione?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nエーティエ\nVoglio dire... Qualcosa lo hai rubato, certo.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nエーティエ\nE ciò che hai rubato è...\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ユナカ\nSentiamo...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nエーティエ\nLa mia curiosità.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06ユナカ\nCome, prego?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nエーティエ\nHai il fisico perfetto. Non posso fare a meno\ndi ammirarlo.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nエーティエ\nEcco il motivo di quell'ispezione ravvicinata.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06ユナカ\nUn equivoco evitabilissimo...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nエーティエ\nQuindi scusami per il mio comportamento.\nSono stata maleducata.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06ユナカ\nTralasciamo per un momento questa situazione\ndelirante. Ma come mai sarei il vostro ideale?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06ユナカ\nIl vostro fisico è ineguagliabile. Io di sicuro non\nsono all'altezza.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nエーティエ\nÈ gentile quello che dici. Ma tra me e te, sei tu\nquella più forte.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nエーティエ\nCerto, io sono in forma, ma solo perché\nmi alleno in continuazione.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nエーティエ\nTu invece hai quel tipo di muscolatura che\nsolo la natura può dare.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nエーティエ\nIl tuo metabolismo deve essersi stabilizzato\ncosì da quando eri bambina.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nエーティエ\nSolo chi è esposto alla forza degli elementi\nsviluppa un fisico così.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nエーティエ\nNaturalmente non posso esserne sicura al cento\nper cento, ma mi fido del mio intuito.\x0E\x04\x00\x00
