MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x08\x06ベレト\nSi direbbe che covi un certo risentimento\nnei confronti del Drago Divino, lady Nel.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x06\x04エル\nLe apparenze ingannano, ma farò in modo\ndi cambiare la percezione che do di me.\nTi ringrazio per l'appunto.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x06\x04エル\nHai un'aria misteriosa, Byleth. Ti sarà capitato\nche qualcuno abbia frainteso le tue intenzioni.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x08\x06ベレト\nProbabile. Quando accadono queste cose, la\nchiave è parlarsi in modo onesto e franco.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x06\x04エル\nNonostante mi sforzi, mi capita di rivolgermi\nal Drago Divino in modo brusco.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x08\x06ベレト\nPer comunicare i propri sentimenti senza\nimbarazzo ci vuole tempo. Parlo per esperienza\npersonale.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x08\x06ベレト\nMa ho scoperto che più parlavo ai miei studenti,\npiù mi veniva facile esprimermi.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x06\x04エル\nForse ho solo bisogno di socializzare di più.\nGrazie dei consigli, Byleth. Proverò a seguirli.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x0C\nラファール\nCosa mi sai dire di questo mondo? Per certi\nversi è simile al mio, ma la cultura è molto\ndiversa.\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x08\x06ベレト\nCi sono ancora molte cose che non so,\nma ti parlerò di ciò che conosco.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x0C\nラファール\nSapevi che il cibo più dolce di questo mondo\nsono dei dolcetti solmici ricoperti di miele?\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x08\x06ベレト\nInteressante! Purtroppo non posso mangiarli,\nma mi farebbe piacere vederli.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x08\x06ベレト\nNon so cosa tu stia mangiando, ma sembrano\nbuoni.\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x0C\nラファール\nMe li ha regalati qualcuno che li trovava troppo\ndolci, ma secondo me vanno bene come sono.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x08\x06ベレト\nMeno male, dai! Mi ricordi un po' un vecchio\namico.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\nMa adesso ci sono io qui. Parla con me, invece\ndi pensare al passato.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nByleth, grazie a te me la cavo molto meglio\nin battaglia. Continuiamo a combattere,\nil nostro legame non può che crescere.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x08\x06ベレト\nMi fa piacere. Conto su di te, Zelestia.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nQuando vedo il Drago Divino, mi sento in colpa\nper non aver protetto quello del mio mondo.\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x08\x06ベレト\nConosco quella sensazione. Io non riuscii\na salvare mio padre... Da quel momento\nnon ho più smesso di fare questi pensieri.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nByleth, hai detto di aver perso tuo padre.\nCome hai fatto a superare la sua perdita?\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x08\x06ベレト\nGrazie al sostegno dei miei studenti.\nSenza di loro, dubito che mi sarei ripreso.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x08\x06ベレト\nNon avere paura di appoggiarti agli altri,\nZelestia. Ricorda che non sei sola.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nGrazie, sai come farmi sentire meglio.\nMi conforta sapere di avere così tanto sostegno.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x0C\nグレゴリー\nLa tua espressione non cambia mai, nemmeno\nquando combatti. Ah, scusa. Non volevo essere\nmaleducato.\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x08\x06ベレト\nNon preoccuparti. Me lo dicono in molti...\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x0C\nグレゴリー\nHo sentito che eri un mercenario prima\ndi diventare insegnante. Un cambio di carriera\nfortunato.\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x08\x06ベレト\nPiù che fortunato, direi che era destino... o\ncosì mi era stato detto. Una cosa è certa: mi\npermise di incontrare tanti fantastici studenti.\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x0C\nグレゴリー\nMi dispiace, non faccio che scappare...\nTu sei così forte... sicuramente mi disprezzi.\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x08\x06ベレト\nNon c'è da vergognarsi a fuggire, se ti permette\ndi restare in vita.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x08\x06ベレト\nLa ritirata è una tattica saggia, spesso e\nvolentieri. Non sai quanti alleati ho perso,\nperché non hanno colto l'occasione di scappare.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x0C\nグレゴリー\nUna tattica saggia... Sono stupito che la pensi\ncosì. Comunque, ora che ho te al mio fianco\nnon sarò più così pavido.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x08\x06ベレト\nAnche ieri non ti sei risparmiata e ti sei allenata\nfino a tardi. Ti ammiro, ma non esagerare.\x0E\x04\x00\x00
