MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x08\x06モーヴ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nグレゴリー\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06モーヴ\nTu sei... Gregory.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nグレゴリー\nGià.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06モーヴ\nAbbiamo un compito da portare a termine.\nQueste armi non si puliscono da sole.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nグレゴリー\nGiusto, giusto...\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06モーヴ\nLa tua indolenza è uguale a quella della tua\ncontroparte di questo mondo.\x0E\x04\x02\x00
MID_RELIANCE_C_#008	Sei abile sul campo di battaglia, ma non ho\nancora capito se ci si possa fidare di te.\x0E\x04\x02\x00
MID_RELIANCE_C_#009	Forse ti metto a disagio. In questo caso,\npuoi anche andare, basto io qui.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nグレゴリー\nN-No, non voglio lasciare tutto il lavoro sulle\ntue spalle.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06モーヴ\nMpf...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nグレゴリー\nS-Scusa... voglio dire, sì, voglio restare qui.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06モーヴ\nÈ tutto inutile. I tuoi propositi restano\nun mistero.\x0E\x04\x02\x00
MID_RELIANCE_C_#014	Se vogliamo fare dei progressi, dobbiamo\nparlare francamente.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nグレゴリー\nParlare?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06モーヴ\nCominciamo con uno scambio di informazioni,\ncosì sappiamo a che punto siamo.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nグレゴリー\nAspetta... Mauvier, stai dicendo davvero che\nvuoi parlarmi?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06モーヴ\nHai qualcosa in contrario?\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0C\nグレゴリー\n...\x0E\x04\x02\x00
MID_RELIANCE_C_#020	Sigh...\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x08\x06モーヴ\nTi vedo turbato.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0C\nグレゴリー\nTurbato? No. Anche io volevo parlarti.\nMa temevo che non mi avessi perdonato!\x0E\x04\x02\x00
MID_RELIANCE_C_#023	Ti ho abbandonato e pensavo che non\nvolessi più vedermi. Mi dispiace tanto...\x0E\x04\x00\x00
MID_RELIANCE_C_#024	\x0E\x03\x02\x08\x06モーヴ\nNon capisco cosa stai dicendo, ma almeno\nhai parlato.\x0E\x04\x00\x00
MID_RELIANCE_C_#025	\x0E\x03\x02\x0C\nグレゴリー\nMauvier... non ti lascerò mai più da solo, te lo\nprometto. Resterò sempre accanto a te!\x0E\x04\x00\x00
MID_RELIANCE_C_#026	\x0E\x03\x02\x08\x06モーヴ\nNe vedremo delle belle...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0C\nグレゴリー\nSenti, Mauvier...\x0E\x04\x02\x00
MID_RELIANCE_B_#002	Anche se adesso parliamo, ho l'impressione che\nnon ti fidi ancora di me.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06モーヴ\nDavvero? Non lo faccio apposta.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nグレゴリー\nOh... Capisco. Volevo dirti che il Mauvier del mio\nmondo mi ha affidato il suo ruolo.\x0E\x04\x02\x00
MID_RELIANCE_B_#005	Ti fidavi di me. Cioè, non tu, ma lui.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06モーヴ\nIo mi fido di te, anzi potrei mettere la mia vita\nnelle mani di una persona come te.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nグレゴリー\nCom'era il me stesso di questo mondo?\nEravate insieme nei Quattro Segugi, vero?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06モーヴ\nSei sicuro di volerlo sapere?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nグレゴリー\nSì, beh... mi dispiace non sapere niente di lui.\nIo ti ho parlato del mio Mauvier.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06モーヴ\nSì, e con sentimento, direi.\x0E\x04\x02\x00
MID_RELIANCE_B_#011	E va bene, se insisti... ma ti avverto, la mia\nstoria non è piacevole. Tieniti pronto.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nグレゴリー\nStai cercando di spaventarmi...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06モーヴ\nQuello che ti sto per dire non è stato\nconfermato da lui, ma è la verità per come\nla conosco io.\x0E\x04\x02\x00
MID_RELIANCE_B_#014	La tua controparte, dopo essere stata\nabbandonata dai genitori, fu accolta dalla\nchiesa del Drago Maligno.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nグレゴリー\nE fin qui è la mia stessa storia...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06モーヴ\nDiversamente da te, lui scoprì presto di\nprovare piacere nel dolore, sia ricevuto che\ninflitto.\x0E\x04\x02\x00
MID_RELIANCE_B_#017	Secondo alcuni, considerava il proprio dolore\ncome qualcosa di spirituale, un'offerta al\nDrago Maligno.\x0E\x04\x02\x00
MID_RELIANCE_B_#018	Fu grazie a quel fanatismo che attirò\nl'attenzione di Zephia, che lo invitò a unirsi\nai Quattro Segugi.\x0E\x04\x02\x00
MID_RELIANCE_B_#019	A quel tempo, era quasi incapace di sostenere\nuna conversazione. Era un vero reietto.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nグレゴリー\nNon mi stupisce! Chi vorrebbe essere amico\ndi qualcuno a cui piace il dolore?\x0E\x04\x02\x00
MID_RELIANCE_B_#021	E che mi dici dei Quattro Segugi? Andavate\nd'accordo?\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06モーヴ\nNon molto. Il nostro legame sottile fu spezzato\ndalla morte di un membro.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nグレゴリー\nLa morte di un membro... Si tratta di me?\nZelestia? Madeline?\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x08\x06モーヴ\nSigh...\x0E\x04\x02\x00
MID_RELIANCE_B_#025	Marni, la Madeline di questo mondo, fu uccisa\ndalla controparte di Zelestia.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0C\nグレゴリー\nCosa?\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x08\x06モーヴ\nDissero che la sua morte era uno spreco\ne ci risero sopra. Non potei perdonarli, così\nme ne andai dal gruppo.\x0E\x04\x02\x00
MID_RELIANCE_B_#028	Quando ti guardo, vedo la sua faccia.\nForse è per questo che non sono riuscito\na fidarmi completamente di te.\x0E\x04\x00\x00
MID_RELIANCE_B_#029	\x0E\x03\x02\x0C\nグレゴリー\nNon posso biasimarti. Se ha fatto una cosa\ntanto orribile, beh... ora capisco il tuo\natteggiamento.\x0E\x04\x02\x00
MID_RELIANCE_B_#030	Scusami... ora smetto di importunarti.\nGrazie, ehm... grazie per avermi parlato.\x0E\x04\x00\x00
MID_RELIANCE_B_#031	\x0E\x03\x02\x08\x06モーヴ\nUhm...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x08\x06モーヴ\nSembri sconvolto. Stai bene?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nグレゴリー\nSì, tutto a posto.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06モーヴ\nÈ normale che tu sia turbato dopo quello\nche ti ho detto.\x0E\x04\x02\x00
MID_RELIANCE_A_#004	Forse ho esagerato. Ti chiedo perdono, avrei\ndovuto essere più delicato.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nグレゴリー\nNon ti preoccupare, davvero. Te l'ho chiesto io.\x0E\x04\x02\x00
MID_RELIANCE_A_#006	E dopo tutto il male che ha fatto quello, è ovvio\nche tu non ti fidi di me.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06モーヴ\nLe circostanze sono cambiate. So che non\nsaresti capace di commettere quelle azioni\nterribili.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nグレゴリー\nMa certo! Non sono come lui.\x0E\x04\x02\x00
MID_RELIANCE_A_#009	Non ucciderei mai un alleato e... non lo\nabbandonerei nemmeno!\x0E\x04\x00\x00
