MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nEccoci giunti nel regno di Firene.\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x0A\x08リュール\nÈ un luogo meraviglioso.\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nVero? A quanto pare da queste parti non ci\nsono stati attacchi dalle aberrazioni.\x0E\x04\x02\x00
MID_OP1_#004	È stato un viaggio molto lungo, attraverso il\nmare dal lontano Lythos. Sei stanc\x0E\x0A\x00\x08\x02o\x02a?\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x0A\x08リュール\nIo sto bene.\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nBene... e mi dispiace davvero averti costrett\x0E\x0A\x00\x08\x02o\x02a\na venire fin qui.\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x0A\x08リュール\nHo deciso io di venire qui, non devi scusarti\ndi niente.\x0E\x04\x02\x00
MID_OP1_#008	Puoi parlarmi un po' del Firene prima che\nraggiungiamo il castello?\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x0E\x0Cアルフレッド\nCerto, volentieri.\x0E\x04\x02\x00
MID_OP1_#010	Il mio regno si trova a sud-ovest, ed è una delle\nquattro nazioni dell'Elyos.\x0E\x04\x02\x00
MID_OP1_#011	Il Firene è governato da mia madre, la regina\nÈve, ed è conosciuto per essere una terra fertile\ne rigogliosa.\x0E\x04\x02\x00
MID_OP1_#012	Il nostro popolo apprezza la pace,\ne non vediamo una guerra da secoli.\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x0A\x08リュール\nSicuramente è grazie alla guida illuminata\ndei vostri sovrani.\x0E\x04\x00\x00
MID_OP1_#014	\x0E\x03\x02\x0E\x0Cアルフレッド\nSei molto gentile. La pace non è facile da\nconquistare.\x0E\x04\x02\x00
MID_OP1_#015	Mia madre è riuscita a far sottoscrivere\nun triplice accordo di non aggressione\ncon i regni confinanti.\x0E\x04\x02\x00
MID_OP1_#016	Quindi non ci sarà mai guerra tra noi, il regno\ndi Solm e il regno di Brodia.\x0E\x04\x00\x00
MID_OP1_#017	\x0E\x03\x02\x0A\x08リュール\nAh, ricordo... il Solm, regno di libertà, e\nla Brodia, regno di guerrieri.\x0E\x04\x00\x00
MID_OP1_#018	\x0E\x03\x02\x0E\x0Cアルフレッド\nProprio così. Il Solm è un paese di mentalità\naperta e ha sempre avuto ottime relazioni con\nil Firene.\x0E\x04\x02\x00
MID_OP1_#019	Per l'alleanza con la Brodia, tuttavia, è stata\nnecessaria non poca capacità persuasiva da\nparte di mia madre. Il loro re è molto ambizioso.\x0E\x04\x02\x00
MID_OP1_#020	Ancora oggi la Brodia continua ad attaccare\nil regno di Elusia, per allargare il proprio\nterritorio.\x0E\x04\x00\x00
MID_OP1_#021	\x0E\x03\x02\x0A\x08リュール\nElusia... loro non fanno parte dell'accordo?\x0E\x04\x00\x00
MID_OP1_#022	\x0E\x03\x02\x0E\x0Cアルフレッド\nNo, il loro regno è molto lontano dal nostro,\ne così sappiamo ben poco di loro.\x0E\x04\x02\x00
MID_OP1_#023	Sappiamo che il paese è coperto da una coltre\ndi neve, a causa dei lunghi inverni, e che alcuni\ndi loro venerano il Drago Maligno.\x0E\x04\x00\x00
MID_OP1_#024	\x0E\x03\x02\x0A\x08リュール\nIl Drago Maligno?\x0E\x04\x00\x00
MID_OP1_#025	\x0E\x03\x02\x0E\x0Cアルフレッド\nÈ una questione complessa, ma in fondo credo\nche ognuno sia libero di venerare chi vuole.\x0E\x04\x02\x00
MID_OP1_#026	Scusa, non stavo cercando di metterti contro\nil popolo dell'Elusia.\x0E\x04\x00\x00
MID_OP1_#027	\x0E\x03\x02\x0A\x08リュール\nNon ho nulla contro di loro. La mia ira è rivolta\nsolamente al Drago Maligno e a colui che ha\nucciso mia madre.\x0E\x04\x02\x00
MID_OP1_#028	Puoi dirmi di più sull'anello custodito dal\nFirene?\x0E\x04\x00\x00
MID_OP1_#029	\x0E\x03\x02\x0E\x0Cアルフレッド\nCerto. È chiamato anello della Premurosa.\nHa uno stile molto sobrio.\x0E\x04\x02\x00
MID_OP1_#030	Finché non ho incontrato te e Marth, pensavo\nche gli emblemi fossero solo una leggenda.\x0E\x04\x02\x00
MID_OP1_#031	Mia sorella sarà molto sorpresa quando verrà\na sapere che esistono davvero.\x0E\x04\x00\x00
MID_OP1_#032	\x0E\x03\x02\x0A\x08リュール\nHai una sorella?\x0E\x04\x00\x00
MID_OP1_#033	\x0E\x03\x02\x0E\x0Cアルフレッド\nSì, si chiama Céline ed è la principessa\ndi Firene. Ora è al castello con nostra madre.\x0E\x04\x00\x00
