MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\nAaah!\nQuesta sì che è stata una bella sudata.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nザフィーア\nAdesso mi lavo che sono lercia... e poi\na sfondarmi di cibo.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x00\x0E\x08パネトネ\x021\n\x0E\x03\x02\x0A\x08パネトネ\nSaphir, perdonate di grazia, ma dobbiamo\nfar qualcosa per la vostra parlata sgraziata.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nザフィーア\nIn che senso, Panette?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08パネトネ\nAnche se proveniamo da nazioni diverse, siamo\nnondimeno entrambe al servizio di reali.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08パネトネ\nNella nostra posizione dobbiamo parlare e\ncomportarci impeccabilmente. Sempre.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nザフィーア\nImpeccabilmente, eh?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nザフィーア\nBeh, parlo così da quando sono nata, se fosse\nun problema me ne sarei accorta.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08パネトネ\nMa dovete capire che il portamento di una\nsignora riflette il portamento del paese.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08パネトネ\nAnche il più piccolo errore può restare\nimpresso come una vergogna nazionale!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nザフィーア\nCapisco...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nザフィーア\nVuoi dire che se faccio quello che mi pare,\ngli altri potrebbero farsi un'idea sbagliata del\nmio regno.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08パネトネ\nProprio così. Sono lieta che riconosciate\nla gravità della situazione.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08パネトネ\nMa non temete, carissima Saphir!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08パネトネ\nVi istruirò debitamente per rifinire il vostro\nlinguaggio e le vostre maniere!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nザフィーア\nE dovrei essere... contenta?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08パネトネ\nMa certo! Comincio subito a organizzare un\nprogramma! Preparatevi a studiare come se\nne andasse della vostra vita!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パネトネ\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nザフィーア\nQuanto tempo devo ancora perdere dietro a\nquesti stupidi inchini?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08パネトネ\nAhah... moderate il linguaggio, Lorsignora.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nザフィーア\nDi grazia, Lorsignora... quanto impegno debbo\nancor riserbare... a questi stupidi inchini?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08パネトネ\nSolo un'ora ancora.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08パネトネ\nUna cortigiana che si rispetti deve riuscire\na inchinarsi almeno così a lungo.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nザフィーア\nUn'ora?\nEhm... un'ora, di grazia?\x0E\x04\x00\x00
