MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0A\x08リュール\nMi aiuterai a ristabilire la pace in questo mondo\nal più presto?\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x08\x06セリカ\nCerto. Non mi riposerò finché non ce l'avremo\nfatta.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0A\x08リュール\nCosa stai facendo, Celica?\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x08\x06セリカ\nSto pregando Mila. Puoi unirti a me, se lo\ndesideri.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06セリカ\nIl marchio sulla mia mano destra mostra\nche appartengo alla famiglia reale di Zofia.\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x0A\x08リュール\nÈ un disegno semplice, ma grazioso.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x08\x06セリカ\nHo sentimenti contrastanti a riguardo, ma siamo\nalleat\x0E\x0A\x00\x08\x02i\x02e e ci tenevo a mostrartelo.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0A\x08リュール\nTi ringrazio per avermelo mostrato. Farò\nil possibile per essere degn\x0E\x0A\x00\x08\x02o\x02a della tua fiducia.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nAmmetto che, in vita mia, non avrei mai\nimmaginato di combattere accanto agli emblemi.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x08\x06セリカ\nÈ affascinante come le nostre vite seguano\nstrade che non sapevamo di percorrere.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06セリカ\nUn giorno mi piacerebbe portare dei fiori sulla\ntomba di Lumera. Mi aiuteresti a raccoglierli?\x0E\x04\x00\x00
