MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06アンナ\nEhi, sei tu Lapis? Ti stavo cercando!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06アンナ\nHo sentito che sai costruire cose interessanti\npartendo da quello che trovi in giro.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06ラピス\nUhm, sì. Sono io.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06アンナ\nEvvai! Sento odore di guadagni facili.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06アンナ\nPuoi chiamarmi signorina Anna. Sono una\nmercante abile a tagliare la legna e anche\ni costi!\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ラピス\nOh. Uh, bene. Piacere di conoscerti, Anna.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06アンナ\nOh, non c'è bisogno di essere formali! Signorina\nAnna va bene.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06アンナ\nComunque, Lapis, dovremmo metterci\nin società.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06ラピス\nAh. Non credo di avere capito.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06アンナ\nNon c'è niente da capire! Tu ti occuperai della\ncatena di produzione e io della vendita.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06アンナ\nBam! Una squadra perfetta. Contenta io,\ncontenta tu, contenti i clienti. Meglio di\ncosì non si può!\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06アンナ\nNaturalmente avrai una quota dei guadagni,\nper ripagarti della manodopera. Allora, che ne\ndici? Non vorrai far piangere una bambina...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06ラピス\nCalma, calma. Innanzitutto che tipo di prodotti\ndovrei preparare?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06アンナ\nDunque, io vengo da un villaggio che si chiama\nIberno. Qualcosa sul tema invernale andrebbe\nbene!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06ラピス\nQuindi vuoi qualcosa che richiami alla mente\nil tuo paese natale.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06アンナ\nTu ti occupi dello sviluppo e della produzione.\nQuando il prodotto è pronto, subentrerò io con\nle mie abilità promozionali e di vendita.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06ラピス\nSe lo dici tu...\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06アンナ\nNon mi credi? Pensi che non sia in grado di\nfarlo solo perché sono una bambina?\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06アンナ\nAllora facciamo un patto: se riesco a vendere\nqualsiasi cosa tu costruisca, ti darò un miliardo\nd'oro!\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06アンナ\nMi sembra un'ottima proposta, no?\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x08\x06ラピス\nE va bene. Allora comincio a pensare a cosa\nposso costruire.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06ラピス\nSignorina Anna? Credo di aver creato\nun prodotto che riflette appieno lo spirito\ndel tuo villaggio.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06アンナ\nDi già?! Che velocità!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ラピス\nSì. Ho raccattato dei pezzi qua e là e ho creato\nun pupazzo di neve versione bambolotto.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06アンナ\nMa che carino!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ラピス\nE non è tutto. Vedi la campana in mano al\npupazzo? Prova a girarla.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06アンナ\nCosì?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06アンナ\nWow! Parte una musichetta! Ma come hai\nfatto?!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06ラピス\nQualcuno aveva buttato via un carillon!\nCosì ho pensato di incorporarlo al pupazzo.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06ラピス\nOh, e se lo guardi da diverse angolazioni brilla\nanche.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06ラピス\nHo attaccato delle pietruzze luccicanti.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06アンナ\nGeniale! Ho occhio per scovare talenti, io!\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06アンナ\nE poi grazie ai materiali di scarto che hai usato,\ni costi di produzione sono praticamente nulli!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06アンナ\nCosì possiede le mie due qualità preferite:\nè carino e gratis!\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06ラピス\nSono contenta che ti piaccia! E grazie per\nl'occasione di mettere in mostra le mie abilità\nmanuali.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06アンナ\nCredimi, sono io quella che deve ringraziarti.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06アンナ\nE aspetta solo che arrivino i primi profitti.\nSarà un successone!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06ラピス\nSignorina Anna, sei riuscita a vendere\nil pupazzo?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06アンナ\nOh, ecco... A dire il vero...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06ラピス\nChe c'è? Perché piangi?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06アンナ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06ラピス\nNon sei riuscita a venderlo, è così?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06アンナ\nNo. Mi dispiace, davvero.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06アンナ\nLo stavo portando in giro per farlo vedere ai\nclienti, ma mi è caduto. E ora... non ne rimane\nmolto.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06ラピス\nOh. Ho capito.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06アンナ\nPatetico, eh? Dopo che mi ero tanto vantata\ndi poterlo vendere facilmente.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06アンナ\nComunque ti darò il miliardo d'oro che ti avevo\npromesso. Spero solo che mi perdonerai...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06ラピス\nNon ce n'è bisogno, signorina Anna. Non voglio\ni tuoi soldi.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06アンナ\nNon vuoi... i soldi? Davvero?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06ラピス\nNon voglio un compenso. Voglio solo costruire\nqualcos'altro per te.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06アンナ\nCome mai?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06ラピス\nMi sono divertita a costruire quel pupazzo!\nNon voglio che quella resti la nostra unica\ncollaborazione.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06ラピス\nE poi... da bambina ho sempre sentito parlare\ndel tuo villaggio.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06ラピス\nUno sperduto villaggio dell'Elusia dove\ni mercatini durano tutto l'anno. Per me\nè sempre stato un luogo da sogno.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06アンナ\nE così il mio villaggio è conosciuto anche\ncosì lontano, eh?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06ラピス\nSì! A dire il vero credevo fosse solo una storia\ndella buonanotte. Invece esiste davvero!\nChi l'avrebbe mai detto?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06ラピス\nPer me è stato un onore produrre qualcosa\nche celebrasse questo luogo meraviglioso...\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06ラピス\nAllora che ne dici? Ci riproviamo? Non importa\nquanti tentativi serviranno!\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06アンナ\nCosì mi piaci.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06アンナ\nAllora riproviamo! E questa volta andrà tutto\nalla perfezione!\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06ラピス\nIn che senso?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06アンナ\nDovremmo usare dei veri materiali di qualità\ne non degli scarti.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06ラピス\nUh... Non so cosa dire. Di solito non uso\nmateriali nuovi.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06アンナ\nVedrai, non sarà complicato!\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x08\x06ラピス\nAllora farò del mio meglio per creare qualcosa\nche si venda bene!\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x08\x06アンナ\nPerfetto!\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x08\x06アンナ\nE una volta che la nostra attività avrà\ningranato... Bam! Faremo una fortuna e\npotremo andare in pensione ancora giovani!\x0E\x04\x00\x00
