MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0A\x08リュール\nEccoti, Rafal. Ti stavo cercando.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nラファール\nChe c'è?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nNiente, volevo solo esprimere la mia\ngratitudine, visto che finora non ho potuto\nfarlo come si deve.\x0E\x04\x02\x00
MID_RELIANCE_C_#004	Grazie per essere venuto nel Somniel.\nSono content\x0E\x0A\x00\x08\x02o\x02a che tu ci abbia raggiunti.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nラファール\nTi avevo promesso che ci saremmo incontrati\ndi nuovo, se mia sorella si fosse svegliata e mi\navesse perdonato.\x0E\x04\x02\x00
MID_RELIANCE_C_#006	Se non avessi tenuto fede alla parola data,\navrei insozzato quel dono miracoloso.\x0E\x04\x02\x00
MID_RELIANCE_C_#007	Per questo sono qui. Non c'è alcun bisogno\ndi ringraziarmi.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\nIl tuo continuo sostegno significa molto per me.\nPosso ringraziarti almeno per quello.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nラファール\nSei proprio stran\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x02\x00
MID_RELIANCE_C_#010	Fidarti di me dopo tutto quello che ho fatto.\nTrattarmi così amichevolmente... è assurdo\noltre ogni limite.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リュール\nE se volessi solo che tu fossi felice dopo tutto\nquello che hai passato? Che ci sarebbe di male?\x0E\x04\x02\x00
MID_RELIANCE_C_#012	Non potevo abbandonare te e Nel come se\nniente fosse. Mi si sarebbe spezzato il cuore.\x0E\x04\x02\x00
MID_RELIANCE_C_#013	So che in fondo sei una brava persona.\nDevo ammettere che mi piaci.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nラファール\nTi piaccio?\x0E\x04\x02\x00
MID_RELIANCE_C_#015	Le persone si dicono davvero queste cose?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リュール\nPerché no? Che c'è di male?\x0E\x04\x02\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nラファール\nAdesso basta! Non hai nient'altro di cui\noccuparti? Lasciami in pace!\x0E\x04\x02\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08リュール\nEhi, aspetta!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0A\x08リュール\nChe bel tempo oggi, vero Rafal?\nPerfetto per una lunga camminata.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nラファール\nTi sei scordat\x0E\x0A\x00\x08\x02o\x02a tutto quello che ti ho detto?\x0E\x04\x02\x00
MID_RELIANCE_B_#003	Non ti avevo chiesto di lasciarmi in pace?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\nMe lo ricordo, ma ho così tante cose di cui\nvorrei parlarti.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nラファール\nPotresti almeno dirlo con un tono meno\ncompiaciuto. Non mi piace questa cosa.\x0E\x04\x02\x00
MID_RELIANCE_B_#006	E va bene... di cosa vuoi discutere?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リュール\nTi stavo per chiedere cosa ti piace e non ti\npiace, ma se devo scegliere solo un argomento...\x0E\x04\x02\x00
MID_RELIANCE_B_#008	Vorrei sapere come hai passato il tempo mentre\naspettavi che Nel si svegliasse.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nラファール\nC'è poco da dire. L'ho passato da solo.\x0E\x04\x02\x00
MID_RELIANCE_B_#010	Se proprio vuoi sapere i dettagli, le ho tenuto\nla mano e ho pregato affinché si svegliasse.\x0E\x04\x02\x00
MID_RELIANCE_B_#011	Ho chiesto una seconda opportunità di farle\nda fratello, un vero fratello questa volta.\x0E\x04\x02\x00
MID_RELIANCE_B_#012	Volevo una possibilità di renderla felice, e\nsoprattutto volevo dirle il mio vero nome.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\nCapisco...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nラファール\nA parte questo, i miei pensieri erano molto\nsemplici. Pensavo sempre: se non si sveglia\noggi, forse si sveglierà domani.\x0E\x04\x02\x00
MID_RELIANCE_B_#015	Senza che me ne sia accorto, sono passati\nmille anni.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nL'esperienza di mia madre deve essere stata\nsimile.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nラファール\nIl tempo non aveva alcun significato per me.\nI ricordi dei giorni precedenti al suo risveglio\nsono offuscati nella mia testa.\x0E\x04\x02\x00
MID_RELIANCE_B_#018	Ma non scorderò mai come mi ha sorriso\nquando ha aperto gli occhi.\x0E\x04\x02\x00
MID_RELIANCE_B_#019	Comunque non c'è altro da dire. Si è svegliata,\nsiamo venuti qui e il resto lo sai.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08リュール\nLo dici come se un'attesa di mille anni fosse\nuna sciocchezza. Ma non tutti ne sarebbero\nin grado.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nラファール\nLe tue lodi non sono richieste. Le mie\nmotivazioni erano del tutto egoistiche, te lo\nassicuro.\x0E\x04\x02\x00
MID_RELIANCE_B_#022	D'altra parte, non penso che l'avrei fatto se non\nfosse stato per ciò che mi dicesti prima di\nandartene.\x0E\x04\x02\x00
MID_RELIANCE_B_#023	Da quel punto di vista, sei responsabile per\nil ritorno di Nel quanto lo sono io. E per questo\nti ringrazio.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08リュール\nEheh... mi è sembrato di sentire Nel, per un\nattimo.\x0E\x04\x02\x00
MID_RELIANCE_B_#025	A questo punto, oserei dire che vi assomigliate\ncome due fratelli.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0C\nラファール\nAdesso mi prendi anche in giro?\nNon avremmo dovuto proprio parlare.\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x0A\x08リュール\nNo, Rafal... non volevo...\x0E\x04\x00\x00
MID_RELIANCE_B_#028	\x0E\x03\x02\x0C\nラファール\nAdesso basta! Addio!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0C\nラファール\nEhi, tu. Prendi questo.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nEh? Che cos'è? Oh, ma sono... dei dolcetti!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nラファール\nMi hanno tenuto in ostaggio in cucina finché\nnon ho preparato questi dolci. Non ho potuto\nesimermi.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リュール\nLi hai fatti tu? Per me? Sembrano deliziosi,\nRafal! Grazie!\x0E\x04\x02\x00
MID_RELIANCE_A_#005	Ti dispiace se ne mangio subito uno?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nラファール\nFai come ti pare, ma c'è qualcosa che dovresti\nsapere.\x0E\x04\x02\x00
MID_RELIANCE_A_#007	I dolcetti sono di due tipi. Uno è del tutto\nnormale, l'altro ha un sapore speciale.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リュール\nSono così curios\x0E\x0A\x00\x08\x02o\x02a. Ma penso che mi terrò\nquello speciale per ultimo, quindi prima\nprovo quello normale.\x0E\x04\x02\x00
MID_RELIANCE_A_#009	Coff coff! Che dolce! Troppo dolce!\nMi brucia la gola... è normale?!\x0E\x04\x02\x00
MID_RELIANCE_A_#010	Anf... anf... e questo lo chiami normale?!\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nラファール\nAhahah! Ne è valsa la pena, per vedere la tua\nfaccia.\x0E\x04\x02\x00
MID_RELIANCE_A_#012	Avrei dovuto specificare che si tratta di un\nsapore normale per me. Meno dolce di così,\ne io non sento niente.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nHo un po' paura all'idea di come possa essere\nun sapore speciale per te. Non so se ho il\ncoraggio di assaggiarlo.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nラファール\nSe la paura è troppa, puoi anche regalarli\na qualcun altro o semplicemente buttarli.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08リュール\nNon farei mai una cosa del genere.\nE va bene, mi butto!\x0E\x04\x02\x00
MID_RELIANCE_A_#016	Oooh... questo è fantastico... Tutti i miei sapori\npreferiti in un equilibrio perfetto...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nラファール\nHo pensato al tuo palato sensibile e ho usato\nuna piccola quantità di ogni sapore.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リュール\nEcco cosa intendevi quando hai detto "speciale".\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nラファール\nTi consiglio di gustarti lentamente questi dolci,\nperché non ne farò mai più.\x0E\x04\x02\x00
MID_RELIANCE_A_#020	Non mi pento della fatica che ho fatto.\nCome dicono qui, i fatti sono un ringraziamento\npiù potente delle parole.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リュール\nÈ stata un'esperienza incredibile. Grazie.\nSi sente che ci hai messo davvero tutto il cuore.\x0E\x04\x02\x00
MID_RELIANCE_A_#022	Ma c'è un problema, Rafal.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nラファール\nDi che si tratta?\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08リュール\nCome faccio a fare posto nella pancia per\nla cena?!\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nラファール\nEheheh... Con una bella passeggiata, Drago\nDivino.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0A\x08リュール\nGrazie per avermi dato una mano con i\nrifornimenti. Senza di te non ce l'avrei fatta.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0C\nラファール\nNon ho fatto niente di speciale, avevo del tempo\nlibero.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\nCome non hai fatto niente? Hai sollevato quasi\ntutti i carichi pesanti.\x0E\x04\x02\x00
MID_RELIANCE_S_#004	Per ringraziarti... che ne dici se ti preparo una\nbella tazza di tè caldo, più tardi?\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0C\nラファール\nLa tua gentilezza mi lascia perplesso. Come fai\na restare così affettuos\x0E\x0A\x00\x08\x02o\x02a nel bel mezzo di una\nguerra?\x0E\x04\x02\x00
MID_RELIANCE_S_#006	Sapere che in questo mondo sei un Drago\nMaligno mi ha sconvolto un po'.\x0E\x04\x02\x00
MID_RELIANCE_S_#007	Nel mio mondo, il tuo buon cuore ti avrebbe\ncondannato a una morte rapida.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08リュール\nEheh... spiegami quello che provi.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0C\nラファール\nNon è quello che provo. Sono fatti concreti.\x0E\x04\x02\x00
MID_RELIANCE_S_#010	Sei esageratamente disponibile, incurante dei\ntuoi stessi bisogni e pericolosamente curios\x0E\x0A\x00\x08\x02o\x02a.\nInsomma, sei folle.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\nEppure tu sembri apprezzare la compagnia\ndei folli, ultimamente.\x0E\x04\x02\x00
MID_RELIANCE_S_#012	Sei venuto qui da un altro mondo, mettendo\na rischio la tua vita per quest\x0E\x0A\x00\x08\x02o\x02a folle... e sappi\nche te ne sono estremamente grat\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0C\nラファール\nPensala come ti pare.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\nLo farò. Perché, anche se non lo ammetterai\nmai, so che ascolti e ti preoccupi anche tu.\x0E\x04\x02\x00
MID_RELIANCE_S_#015	Adesso mi è tutto chiaro.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0C\nラファール\nMpf...\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nMa come hai detto tu, le azioni esprimono la\ngratitudine meglio delle parole, Rafal.\x0E\x04\x02\x00
MID_RELIANCE_S_#018	È da un po' di tempo che ci sto pensando,\ne ho deciso di darti questo.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0C\nラファール\nÈ quello che penso?\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nÈ l'anello del patto. Il simbolo di un legame\nprofondo e speciale.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0C\nラファール\nAvrò anche un certo fascino superficiale, ma\ndarmi questo anello sarebbe una follia anche\nper te.\x0E\x04\x02\x00
MID_RELIANCE_S_#022	Anzi, sarebbe proprio sbagliato. Non ho fatto\nniente per meritarmelo.\x0E\x04\x02\x00
MID_RELIANCE_S_#023	Il tuo compagno dovrebbe essere una persona...\npura.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nSono un Drago Maligno proprio come te,\nricordi? Lo hai detto tu stesso.\x0E\x04\x02\x00
MID_RELIANCE_S_#025	E anche io combattevo per Sombron un tempo.\nSono "impur\x0E\x0A\x00\x08\x02o\x02a" non meno di te.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0C\nラファール\nPerò...\x0E\x04\x00\x00
