MID_H_INFO_WLV_Bullet	Bomba
MID_MSG_LOST_ITEM	Hai perso: \x0E\x01\x00\x00\x0E\x01\x01\x00.
MID_DLC_News_Patch2_Title	Ver. 1.3.0
MID_DLC_News_Patch2	Pass di espansione\n\n・ Sono stati aggiunti l'emblema Chrom (con Daraen)\n　 e l'emblema Veronica. Si uniranno al tuo gruppo\n　 quando avrai completato i rispettivi capitoli divini.\n\nContenuto gratuito\n\n・ È stato aggiunto il pozzo antico nel Somniel.\n　 Puoi usarlo per scambiare gli oggetti che non ti servono\n　 con altri oggetti.\n\n・ Ora puoi ereditare abilità anche nell'arena, oltre che nella\n　 sala degli emblemi.
MCID_G003_PREFIX	Capitolo divino
MCID_G003	L'Erede Solitaria
MCID_G003_PLACE	Santuario degli eroi
MCID_G003_OUTLINE	Hai scoperto l'esistenza di un\nbracciale su un'isola che fluttua\nnel cielo.
MCID_G006_PREFIX	Capitolo divino
MCID_G006	L'Eletto
MCID_G006_PLACE	Altare del destino
MCID_G006_OUTLINE	Hai scoperto l'esistenza di un\nbracciale nelle profondità di un\ntempio solenne.
MID_RULE_G003_WIN	Sconfiggi l'emblema Veronica.
MID_RULE_G006_WIN	Sconfiggi gli emblemi Chrom e Daraen.
MTID_StartupTile	Attivatore
MTID_MagicWall	Muro magico
MTID_Pond	Stagno
MPID_PhantomWolf	Creatura
MPID_H_PhantomWolf	Mostro senza anima, creato con una\ntecnica segreta. Non ha volontà\npropria ed esegue soltanto gli ordini.
MPID_Veronica	Veronica
MPID_H_Veronica	L'emblema degli Eroi. Principessa\nin grado di controllare eroi di altri\nmondi.
MPID_Chrom	Chrom
MPID_H_Chrom	L'emblema dei Legami. Un principe\nEletto che si fida dei suoi alleati\ne vuole cambiare il destino.
MPID_Reflet	Daraen
MPID_H_Reflet	L'emblema dei Legami. Uno\nstratega che ha perduto la memoria,\nma non la sua abilità tattica.
MGID_Veronica	Veronica
MGID_H_Veronica	L'emblema degli Eroi. Possiede\ngrandi poteri magici e combatte\ncon tomi e bastoni.
MGID_H_EnemyVeronica	Un emblema risvegliatosi dal\nbracciale dell'Erede Solitaria.
MGID_Chrom	Chrom
MGID_H_Chrom	L'emblema dei Legami. Annienta\ni nemici con la forza della spada\ne dei legami con i suoi alleati.
MGID_H_EnemyChrom	Un emblema risvegliatosi dal\nbracciale dell'Eletto.
MGID_Reflet	Daraen
MGEID_Veronica	Eroi
MGEID_Chrom	Legami
MJID_MageCannon	Mago artigliere
MJID_H_MageCannon	Un soldato di fanteria armato di\ncannone portatile. Lancia attacchi\na lungo raggio.
MJID_PhantomWolf	Lupo illusorio
MJID_H_PhantomWolf	Lupo che si muove agilmente.\nConfonde il nemico e lo assale\ncon zanne maledette.
MIID_Trahison	Représailles
MIID_H_Trahison	Lancia da battaglia che emana\nun'aura ultraterrena.
MIID_Levanche	Revanche
MIID_H_Levanche	Ascia da battaglia che emana\nun'aura ultraterrena.
MIID_Chocolate	Lama fondente
MIID_H_Chocolate	Spada dal dolce profumo. Se usata\ncome strumento, svanisce facendo\nrecuperare PS.
MIID_SoftCream	Gelancia
MIID_H_SoftCream	Lancia dal dolce profumo. Se usata\ncome strumento, svanisce facendo\nrecuperare PS.
MIID_Lollipop	Mozzalecca
MIID_H_Lollipop	Ascia dal dolce profumo. Se usata\ncome strumento, svanisce facendo\nrecuperare PS.
MIID_Croissant	Arcornetto
MIID_H_Croissant	Arco dal dolce profumo. Se usato\ncome strumento, svanisce facendo\nrecuperare PS.
MIID_Tiramisu	Tiramistero
MIID_H_Tiramisu	Tomo dal dolce profumo. Se usato\ncome strumento, svanisce facendo\nrecuperare PS.
MIID_Dango	Lamamella
MIID_H_Dango	Coltello dal dolce profumo. Se usato\ncome strumento, svanisce facendo\nrecuperare PS.
MIID_Cupcake	Dolcinferno
MIID_H_Cupcake	Bastone dal dolce profumo.\nFa recuperare PS a un alleato.
MIID_Rollcake	Pergamenta
MIID_H_Rollcake	Pergamena dal dolce profumo. Se\nusata come strumento, svanisce\nfacendo recuperare PS.
MIID_Bullet_Power	Bomba normale
MIID_H_Bullet_Power	Bomba normale. Non ha attacco\ndoppio. Clp ridotto da lontano.
MIID_Bullet_Magic	Bomba magica
MIID_H_Bullet_Magic	Bomba magica. Non ha attacco\ndoppio. Clp ridotto da lontano.
MIID_Bullet_Freeze	Bomba gelata
MIID_H_Bullet_Freeze	Bomba magica con 50% probabilità\ndi congelare il nemico. No attacco\ndoppio. Clp ridotto da lontano.
MIID_Bullet_Silence	Bomba silente
MIID_H_Bullet_Silence	Bomba magica con 50% probabilità\ndi silenziare il nemico. No attacco\ndoppio. Clp ridotto da lontano.
MIID_Bullet_Collapse	Bomba breccia
MIID_H_Bullet_Collapse	Bomba magica con 50% probabilità\ndi fare breccia al nemico. No attacco\ndoppio. Clp ridotto da lontano.
MIID_Bullet_Poison	Bomba velenosa
MIID_H_Bullet_Poison	Bomba magica che avvelena il\nnemico. No attacco doppio.\nClp ridotto da lontano.
MIID_Bullet_Slayer_Fly	Bomba tornado
MIID_H_Bullet_Slayer_Fly	Bomba con la magia del vento.\nNo attacco doppio. Clp ridotto da\nlontano. Efficace contro volanti.
MIID_Bullet_Slayer_Armor	Bomba corazzata
