MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x08\x06メリン\nComincia la lezione di canto.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06メリン\nOggi ci eserciteremo con la nuova composizione\ndella principessa, "Tripletta Lupestre".\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06メリン\nDobbiamo essere pronte in tempo per\nle prove insieme a lei.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08パネトネ\nOrbene, Lorsignora...\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06メリン\nC'è qualcosa che non va? Sembri giù di morale.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08パネトネ\nIn verità vi dico che lo sono. Ho udito qualcosa\nche mi ha perplessa.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06メリン\nE che hai sentito?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08パネトネ\nQualcuno che ci ha chiamate col poco adulante\nnome di Frastuono solmico.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06メリン\nOh.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06メリン\nE "frastuono" sarebbe la nostra voce, immagino.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08パネトネ\nCosì parrebbe.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06メリン\nAccidenti.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06メリン\nBeh, fin da piccola mi hanno sempre detto\nche sono stonatissima.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06メリン\nMa la principessa ha detto che la mia voce è\nunica... Così pensavo di essere migliorata.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08パネトネ\nHa detto le medesime cose a me, per di più.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06メリン\nUgh. Questo ci complica un po' le cose.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08パネトネ\nForse dovremmo cantare... a bassa voce?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06メリン\nForse è una buona idea.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08パネトネ\nE ordunque, che si dia inizio alla musica.\nA one, a two, a one, two, three...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x08\x06メリン\nEhi, che si dice in giro?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08パネトネ\nA cosa vi riferite, di grazia?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06メリン\nSai, le critiche alle nostre lezioni di canto...\nCi sono state altre lamentele?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08パネトネ\nOrbene, non v'è ragione di corrucciarsi.\nNon ho udito altra parola di malignità.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06メリン\nAah... ero preoccupata.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06メリン\nAspetta.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06メリン\nÈ tutto sbagliato.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08パネトネ\nCosa intendete, Lorsignora?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06メリン\nCantare a bassa voce per non farci affibbiare\nnomignoli? Non possiamo abbassarci così!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06メリン\nNo, dobbiamo imparare a cantare meglio,\ninvece.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08パネトネ\nCome darvi torto, di grazia...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08パネトネ\nNascondendo le nostre voci per l'onta,\nmacchieremmo il nome del capo!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08パネトネ\nSe il capo lo venisse a sapere, piangerebbe\ndall'imbarazzo.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06メリン\nOh no, no, non potrei sopravvivere al pensiero\ndi aver fatto piangere la principessa.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08パネトネ\nIo neppure!\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08パネトネ\nLa domanda è, come fare a migliorare? Uhm...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06メリン\nForse possiamo chiedere consiglio alla\nprincipessa.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08パネトネ\nOrbene, così pensate?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06メリン\nMa questa volta le chiederemo di essere sincera!\nNiente aggettivi vaghi come "unica".\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08パネトネ\nOttima idea! Orsù, che si cerchi la pura,\nimmacolata verità.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x08\x06メリン\nI consigli di canto della principessa erano\nun po'... difficili da interpretare.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08パネトネ\nInvero.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06メリン\n"Merrin, prendi tutto quel glu glu dentro di te\ne concentralo nell'ombelico!"\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08パネトネ\nMisteriose parole. Cosa sarà mai il "glu glu" e\ncome si farebbe a metterlo nell'ombelico?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06メリン\nLa cosa bella è che mi sembra quasi di aver\ncapito.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06メリン\nQuando mi concentro nel punto appena sotto\nl'ombelico, la mia voce diventa più sicura.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08パネトネ\nNonostante il consiglio del capo fosse ben\nfumoso, l'avete seguito con destrezza! Brava.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06メリン\nAhahah, grazie, Panette. E invece a te che\naveva detto la principessa?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08パネトネ\nHa detto: "Tu sei una WA WA WA. Mi devi\narrivare a du du du!"\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08パネトネ\nEro obnubilata dalla confusione.\nProprio obnubilata!\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08パネトネ\nMa quando ho provato a mettere in pratica il\nsuo consiglio, è successo un fatto inesplicabile.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08パネトネ\nHa funzionato, di grazia!\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06メリン\nPerfetto! Così nessuno oserà più chiamarci\nFrastuono solmico.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08パネトネ\nNo di certo. Regaleremo sorrisi per tutto\nil regno.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06メリン\nInvece di buchi nei timpani!\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08パネトネ\nA questo punto, presto dovremmo essere\npronte per un concerto, di grazia.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06メリン\nUn concerto?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08パネトネ\nIl pubblico sarà così affascinato che ci\nchiameranno le Sirene del Solm!\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06メリン\nOooh! Sarebbe bellissimo! Mi piacerebbe\nfarmi chiamare sirena.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08パネトネ\nFremo di emozione! Orbene, ricominciamo\nsubito la lezione!\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06メリン\nGiusto. Dobbiamo padroneggiare "Tripletta\nLupestre" in tempo per lo spettacolo.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08パネトネ\nSì. E le nostre voci si fonderanno in un'armonia\nangelica che renderà orgoglioso il capo!\x0E\x04\x00\x00
