MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06カムイ\nTrascorsi la mia infanzia all'interno di un\ncastello. Quando uscivo mi sembrava tutto\nnuovo.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x0A\x08リュール\nTi capisco. Sembra che le nostre vicissitudini\nnon siano state poi così diverse.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x0A\x08リュール\nSpesso, in battaglia, le scelte che mi trovo di\nfronte sono così difficili che rimango paralizzat\x0E\x0A\x00\x08\x02o\x02a\ndalla paura.\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x08\x06カムイ\nCapisco come ti senti. Spesso mi domando cosa\nsarebbe successo se avessi fatto altre scelte.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x0A\x08リュール\nTi capita mai di metterti in discussione dopo\naver preso una decisione importante?\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x08\x06カムイ\nC'è una decisione a cui penso sempre. Qualsiasi\nstrada avessi intrapreso, avrei fatto del male\nalle persone amate.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x08\x06カムイ\nMa non ho rimorsi. Ho scelto cosa fosse meglio\nper il bene delle persone di cui mi fidavo di più.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0A\x08リュール\nGrazie. Pensare alle persone di cui mi fido è\nun buono spunto quando devo prendere una\ndecisione difficile.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nIl vostro stile di combattimento è stupefacente.\nCiononostante, vedendovi in forma umana, mi\nscopro preoccupato per voi.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x08\x06カムイ\nAh, davvero? Mi ricordi il mio allenatore.\nMi teneva sempre d'occhio.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06カムイ\nMi piace molto combattere al tuo fianco,\nVander. Mi fai sentire come se fossi io quella\nprotetta.\x0E\x04\x00\x00
