MID_WU_C_1_IN_#001	È mattina!\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	Ah!\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	Sei già svegli\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	È ora di colazione!\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	Ma come, non ti svegli neanche così?\nHai il sonno davvero pesante.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	Ma non per molto, sappilo.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	Il tuo sonno finisce qui. Preparati.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#004	SVEGLIA!\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	Ti sei svegliat\x0E\x0A\x00\x08\x02o\x02a!\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	Ora metti qualcosa nello stomaco.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	Ti consiglio la zuppa di miso.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#004	E anche il riso, naturalmente.\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	Preparati!\x0E\x04\x00\x00
MID_WU_C_2_IN_#002	Kagetsu in carne e ossa è qui per svegliarti!\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	Buongiorno! O è sera?\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	Ah!\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	Anche io ho bisogno di qualcuno che mi svegli!\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	Scusami per il ritardo.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	Ho dormito fino a tardi!\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	Ormai si è fatta sera!\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	Spero che non avessi impegni urgenti!\x0E\x04\x00\x00
