MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x08\x06カゲツ\nChe fame. Magari mi mangio un onigiri al volo.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04ボネ\nKagetsu.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06カゲツ\nOh, mamma! Bunet! Mi hai spaventato.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x06\x04ボネ\nQuesti triangolini. Onigiri, li hai chiamati?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x06\x04ボネ\nNon li ho mai visti. Con che sono fatti?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06カゲツ\nAssaggia tu stesso. Tieni, prendi il mio.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x06\x04ボネ\nPosso? Grazie, allora.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x06\x04ボネ\nMmmh... Ma è buonissimo.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x06\x04ボネ\nUna polpetta di riso avvolta nelle alghe. Con un\nripieno... di pesce grigliato, giusto?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06カゲツ\nSalmone al sale!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x06\x04ボネ\nSembra un cibo così semplice, eppure è\nun tripudio di sapori.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x06\x04ボネ\nInsegnami a prepararli.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06カゲツ\nMi piacerebbe insegnarti... ma sono l'attendente\ndella principessa Ivy e ho i miei doveri da\ncompiere.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06カゲツ\nSe li trascurassi, lei si arrabbierebbe.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x06\x04ボネ\nAh. Che peccato. Capisco, però.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x06\x04ボネ\nVisto che le cose stanno così, ci proverò\nda solo.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06カゲツ\nPerò, che spirito caparbio! Se ti vengono bene\nfammeli assaggiare, mi raccomando.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x06\x04ボネ\nNon mancherò. Mi serve la tua opinione per\ncapire se avrò azzeccato la preparazione.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x06\x04ボネ\nKagetsu! È il momento.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06カゲツ\nDi cosa?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x06\x04ボネ\nMa come? Ti sei già dimenticato?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x06\x04ボネ\nNon ho fatto altro che preparare onigiri,\ndall'ultima volta che ci siamo visti.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x06\x04ボネ\nHo fatto vari esperimenti con gli ingredienti\ne la densità del riso... Sono rimasto assorbito\nper giorni e giorni.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x06\x04ボネ\nE ora, dopo molte prove, posso finalmente\nmostrarti il risultato.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06カゲツ\nWow, sembra appetitoso.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06カゲツ\nMa per gli onigiri, ciò che conta è il ripieno.\nCosa ci hai messo?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x06\x04ボネ\nDei datteri, raccolti a mano. Sono tipici del\nSolm, vengono dalle palme da datteri.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06カゲツ\nI frutti della palma? Curioso... Non pensavo si\npotessero usare negli onigiri.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x06\x04ボネ\nBeh, che aspetti? Assaggia...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06カゲツ\nVediamo un po'!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06カゲツ\nGnam, gnam...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06カゲツ\nMa pensa... questo ripieno dolce è una piacevole\nsorpresa! Sta bene con il riso.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x06\x04ボネ\nVero? Ho dovuto fare molti tentativi prima di\ntrovare il ripieno giusto.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06カゲツ\nQuesto onigiri è davvero buono! Però...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06カゲツ\nDal gusto lo chiamerei più un ohagi.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x06\x04ボネ\nUn che?!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x06\x04ボネ\nStai dicendo che esiste già qualcosa del genere?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06カゲツ\nEsatto. Gli ohagi si fanno con del riso dolce, poi\nvengono ricoperti di marmellata di fagioli.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x06\x04ボネ\nOh...\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x06\x04ボネ\nQuindi questo non è un onigiri...\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x08\x06カゲツ\nMa non buttarti giù! La forma c'è tutta!\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x06\x04ボネ\nPerò sa di ohagi.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x06\x04ボネ\nGrazie per i complimenti, ma non sono uno\nche fa le cose approssimative.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x06\x04ボネ\nHo ancora molte lacune. Potrebbero esserci\nun'infinità di altri piatti che non conosco...\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x06\x04ボネ\nVado a documentarmi. Ciao.\x0E\x04\x00\x00
MID_RELIANCE_B_#028	\x0E\x03\x02\x08\x06カゲツ\nQuell'onigiri che ha preparato era buono,\neppure non è ancora soddisfatto...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x08\x06カゲツ\nBunet, posso chiederti perché vuoi imparare\na cucinare sempre nuovi piatti?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x06\x04ボネ\nVedi, io ambisco a diventare un poeta della\ntavola.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x06\x04ボネ\nE per esprimermi al meglio, ho bisogno di un\nvocabolario di sapori il più ampio possibile.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x06\x04ボネ\nCredevo di essere già a buon punto, ma ahimè...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x06\x04ボネ\nNon conoscevo gli ohagi.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06カゲツ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06カゲツ\nBunet, io e te siamo simili, sai?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x06\x04ボネ\nAh, sì? Perché?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06カゲツ\nIo volevo conoscere il mondo con tutto me\nstesso. Sono addirittura scappato di casa\nper farlo.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06カゲツ\nIncontrare nuovi avversari è stato il mio modo\ndi esplorare il mondo.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06カゲツ\nMa poi persi un duello in Elusia. Lì scoprii\nper la prima volta la sconfitta.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06カゲツ\nTutti gli avversari contro cui mi ero battuto non\nerano che una frazione di tutto quello che\nesiste. Il mondo pullula di persone forti.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x06\x04ボネ\nCapisco. In effetti quello che dici mi suona\nfamiliare.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x06\x04ボネ\nSolo che tu vuoi diventare il combattente\npiù bravo del mondo, e io il cuoco.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06カゲツ\nIl destino mi ha portato a diventare l'attendente\ndella principessa Ivy. E questo lavoro mi sta\ninsegnando molte cose.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06カゲツ\nOra so che non c'è bisogno di incontrare tutti\ngli avversari possibili.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06カゲツ\nCerto è bello imparare cose nuove e fare nuove\nesperienze, ma non si può sapere tutto\nnella vita.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x06\x04ボネ\nChe parole sagge. Mi domando se riuscirò mai\nad avere questa attitudine che hai tu.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06カゲツ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06カゲツ\nD'accordo, Bunet, ti insegnerò quello che so.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06カゲツ\nI piatti della mia terra natale non avranno\npiù segreti per te.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06カゲツ\nLe Sabbie Ceree sono un luogo parecchio\nisolato, quindi sei fortunato ad avermi qui.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x06\x04ボネ\nSarebbe bello imparare queste cose... ma non\ndicevi che avevi troppi impegni?\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06カゲツ\nMa tu sei mio amico, troverò di sicuro del tempo\nper te!\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x06\x04ボネ\nGrazie, Kagetsu.\x0E\x04\x00\x00
