MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06アンナ\nSalve, Zelkov! Sono Anna, ma chiamami pure\nsignorina Anna, per semplicità. Piacere!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nMa che *tenera* bambina. Hai bisogno di\nqualcosa?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06アンナ\nMh?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nDimmi pure, cosa ti *serve*... Hai abbastanza\nda mangiare?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06アンナ\nSappi che non accetto caramelle dagli\nsconosciuti, se erano queste le tue intenzioni.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ゼルコバ\nNon avere *paura* di me. Non era\nassolutamente mia intenzione spaventarti.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06アンナ\nE chi ha detto che ho paura? Una mercante\ncome me ne ha vista di gente!\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06アンナ\nComunque se volessi delle caramelle, me le\ncomprerei da sola.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08ゼルコバ\nHo *capito*. Molto bene...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06アンナ\nE questo ci riporta al motivo per cui sono qui.\nVoglio venderti qualcosa.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nMa certo. *Mostrami* pure la tua mercanzia.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06アンナ\nAffare fatto!\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ゼルコバ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06アンナ\nNon mi piace il tono del tuo sospiro...\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nTemo che qui non ci sia *nulla* di mio interesse.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06アンナ\nMa come?!\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08ゼルコバ\nSono affranto di rivolgermi così a una bambina,\nma queste merci non mi *attirano*.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06アンナ\nFermo un attimo! Cosa c'è che non va in quello\nche vendo?!\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08ゼルコバ\nSe proprio vuoi saperlo... te lo *dirò*. Ma mi\npiange il cuore.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08ゼルコバ\nLa tua merce manca di *passione*.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x08\x06アンナ\nCosa te lo fa pensare?\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0A\x08ゼルコバ\nSe non *comprendi* questo concetto, è ovvio\nche tu sia portata a vendere merce di questo\ntipo.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x08\x06アンナ\nChiedo scusa?!\x0E\x04\x00\x00
MID_RELIANCE_C_#024	\x0E\x03\x02\x0A\x08ゼルコバ\nUn prodotto ha bisogno di mostrare\nla *passione* di chi l'ha creato. Altrimenti\nè privo di valore.\x0E\x04\x00\x00
MID_RELIANCE_C_#025	\x0E\x03\x02\x08\x06アンナ\nE quale sarebbe la differenza tra un prodotto\nfatto con passione e uno senza?! Avanti, fammi\nvedere!\x0E\x04\x00\x00
MID_RELIANCE_C_#026	\x0E\x03\x02\x0A\x08ゼルコバ\nCome vuoi. Possiedo *un'infinità* di quelle\nmeraviglie. Te le mostro con piacere.\x0E\x04\x00\x00
MID_RELIANCE_C_#027	\x0E\x03\x02\x08\x06アンナ\nSpero che ne valga la pena...!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06アンナ\x022
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06アンナ\nQuindi sono questi i prodotti speciali di cui\nparlavi, eh?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ゼルコバ\nProprio così. Hai davanti agli occhi le mie\n*creazioni*. Quadri, sculture, candele... Non\nmanca proprio *nulla*.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nCiascuno di questi pezzi è stato *creato* con\namore da me medesimo. Scegli pure cosa\npreferisci.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ゼルコバ\nNaturalmente ciascuna delle mie opere\nti garantirebbe un *notevole* guadagno.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06アンナ\nEeeh...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06アンナ\nMh. Mi spiace dirlo, ma non credo che ci sia\nnulla di vendibile qua in mezzo.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ゼルコバ\nChiedo *scusa*? Per quale motivo?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06アンナ\nCerto non sono malaccio, non fraintendermi.\nMa si vede da lontano che sono troppo\ndettagliati.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06アンナ\nUn buon prodotto deve essere semplice. Solo\ncosì è vendibile.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ゼルコバ\n*Sciocchezze*.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nLa *passione* di chi lo crea è ciò che dà valore\na un oggetto. I clienti cercano quello.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06アンナ\nNon sono d'accordo. Hai delle idee un po'\nantiquate al riguardo, mi sa.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06アンナ\nLa mia generazione ha gusti diversi.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nUmpf. Che *umiliazione*...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nE va bene. Preparerò *qualcosa* che\nti lascerà di stucco.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08ゼルコバ\nRimarrai senza *parole*.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06アンナ\nAhah. Se la metti così, provaci pure. Aspetto\ndi vedere cosa hai da mostrarmi.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nReggiti forte. Stai per assistere alla mia abilità\nartistica in tutta la sua *semplicità*.\x0E\x04\x00\x00
