MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nスタルーク\nUah! Principe Fogado!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nフォガート\nEhi! Che si dice, principe Alcryst? Non stavi\nmica dandotela a gambe?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nスタルーク\nPerdonatemi. Siete sempre così di buon umore...\nche temevo di deprimervi con la mia presenza.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nフォガート\nMa dai! Ci vai giù pesante con te stesso, eh?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nフォガート\nE poi abbiamo parecchio in comune.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nフォガート\nTu sei il secondo discendente del tuo regno, e\npure io sono secondo in linea di discendenza,\npur essendo il fratello maggiore. Vedi?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nスタルーク\nForse avete ragione, dopotutto...\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nスタルーク\nMmmh...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nフォガート\nQualcosa ti preoccupa?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nスタルーク\nProveniamo da situazioni molto simili. Eppure...\ncome facciamo a essere così diversi?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nスタルーク\nVoi siete socievole e senza pensieri... mentre\nio sono un orrendo fardello per tutti quelli che\nhanno la sfortuna di incrociare il mio cammino.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nフォガート\nE ci risiamo. Sei sempre così negativo.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nフォガート\nNon che questo tuo atteggiamento mi\nindisponga. Anzi, è una delle ragioni per\ncui mi piaci.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nスタルーク\nE come è possibile?! Oh, non merito tanta\ngentilezza!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nスタルーク\nNon va bene. Se continuate così, mi troverò in\nuna situazione molto pericolosa...\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nフォガート\nMh? Cosa c'è di pericoloso in me?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nスタルーク\nEcco cosa! Quel sorriso ben disposto e quegli\nocchi gentili! Non guardatemi così, vi prego!\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nスタルーク\nMi sento sotto esame. Il vostro cuore ricco di\npurezza scoprirà che razza di scarto umano io\nsia!\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0C\nスタルーク\nMeglio se... vado!\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0C\nスタルーク\nScusatemi, scusatemi davvero!\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x01\x0C\nスタルーク\n\x0E\x03\x02\x0C\nフォガート\nAhahah. Che sagoma.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nEhilà, principe Alcryst! Domanda al volo:\npotresti raccontarmi la tua infanzia?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nスタルーク\nMh? Perché vi interessa?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nフォガート\nVedi, stavo ripensando alla nostra\nconversazione troncata dell'altro giorno.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nフォガート\nRicordi, di come proveniamo da situazioni\nsimili, ma abbiamo caratteri opposti.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nフォガート\nCosì ho pensato che magari le differenze\npotessero dipendere da come siamo stati\ncresciuti.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nスタルーク\nHo capito. Allora vi racconterò i dettagli, ma\nvi avverto che non sono interessanti.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nフォガート\nNon ha importanza. Tu raccontami tutto, io\nti ascolto.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nスタルーク\nSono il secondo principe di Brodia. Tra me e\nmio fratello c'è una differenza di età\nconsiderevole.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nスタルーク\nDa che ne ho memoria, mio fratello è sempre\nstato lodato per le sue doti.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nスタルーク\n"Non si potrebbe desiderare un erede al trono\nmigliore di lui", dicevano tutti.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nスタルーク\nMa le parole che rivolgevano a me erano ben\ndiverse: "Diamant lo avrebbe fatto meglio".\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nフォガート\nAhia. Sei cresciuto nella sua ombra. Brutta\ncosa.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nスタルーク\nMa è solo colpa mia: sono una causa persa.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nフォガート\nMa non ti è mai venuto da dire: "Lasciate\nperdere LUI e guardate ME"?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nスタルーク\nNo, mai. Non mi permetterei neanche di\npensarla una cosa così.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nスタルーク\nMio fratello è perfetto. Non c'è neanche da\ndiscutere. Non è colpa sua se io non sono\nall'altezza.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nスタルーク\nMa naturalmente sono consapevole che sono\nquesti pensieri alla radice della mia personalità\ncupa.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nフォガート\nE quindi invece di provare risentimento nei\nsuoi confronti, accetti semplicemente di essere\ninferiore?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nフォガート\nSai cosa sei? Una persona dal cuore buono.\nÈ questo ciò che più ammiro in te.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nスタルーク\nOh... Sob...\x0E\x04\x00\x00
