MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x06\x04エル\nCi ritroviamo. Sento una certa nostalgia...\nNe è passato di tempo.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x08\x06クロム\nDal castello di Lythos a oggi è trascorso\nparecchio tempo, eh? Sono contento che ci\nsiamo riuniti.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nRicordo di essermi sentito calmo e al sicuro,\nquando mi facesti cadere nel mio sonno.\nHai ancora quel potere?\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x06\x04エル\nIn questo mondo, purtroppo no. Però potrei\ncantarti una ninnananna, se desideri.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06ルフレ\x022\n\x0E\x03\x00\x0C\x06クロム\x023\n\x0E\x03\x02\x06\x04エル\nDaraen, non ti fai vedere spesso. Di solito\nsei troppo assorto nei tuoi studi.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x08\x06ルフレ\nSperavo che mi cantassi una ninnananna, a dire\nil vero. Chrom mi ha detto che a lui ne hai\ncantata una.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x08\x06クロム\nIl sonno più saporito di sempre, se posso dirlo.\nFacci addormentare, così saremo freschi e\nriposati per la prossima battaglia.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x06\x04エル\nEheh. E va bene, ma senza esagerare. Non vi\nvoglio neanche troppo apatici sul campo di\nbattaglia.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0C\nラファール\nE così anche tu sei venuto in questo mondo. Ti\ndevo le mie scuse. Non avrei dovuto costringerti\na combattere quelle battaglie.\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x08\x06クロム\nNon pensiamoci più. Abbiamo voltato pagina,\nsono pronto a combattere al tuo fianco.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nParli in modo... diverso. Forse dovrei usare un\nregistro più autorevole anche io?\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x0C\nラファール\nNon devo più farmi passare per Nil. Non bisogna\nfingersi qualcuno che non si è.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06ルフレ\x022\n\x0E\x03\x00\x0C\x06クロム\x023\n\x0E\x03\x02\x0C\nラファール\nNon mi aspettavo di vederti, Daraen. Credevo\nche preferissi evitarmi.\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x08\x06ルフレ\nNon ti odio, lord Rafal. In un certo senso, sono\nun Drago Maligno io stesso e capisco molto\nbene cosa provi.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x08\x06クロム\nLasciamoci il passato alle spalle e uniamo le\nforze per forgiare un futuro migliore.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\nAvete ragione. Non ha senso aggrapparsi al\npassato. Devo guardare avanti. Vi ringrazio\nentrambi.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nMettiti al caldo e riposati. Se ti buscassi un\nmalanno, non riusciresti a combattere nel pieno\ndelle forze.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nNoi Draghi Magici abbiamo una temperatura\ncorporea elevata, quindi non prendiamo mai\nfreddo. Grazie ugualmente per le premure.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\n\x0E\x03\x02\x08\x06クロム\nZelestia, sbaglio o stavi mangiando per un\nreggimento, in mensa?\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nBeh, noi Draghi Magici abbiamo lo stomaco\n10 volte più grande del normale!\nScherzo, avevo solo molta fame.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nVoglio essere degna dei Quattro Venti.\nHai qualche consiglio da darmi per diventare\nuna brava comandante come te?\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x08\x06クロム\nI Pastori erano pieni di valorosi alleati senza\ni quali non avrei potuto fare niente. Non c'è\nnulla di speciale in me.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x08\x06クロム\nC'era persino un cavaliere così protettivo che\ntoglieva i sassi davanti al mio cammino. Anche\nse sono un comandante, resto sempre io.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nÈ un segno di forza riuscire a rivelare le proprie\ndebolezze. Grazie dei consigli. Spero di\ndiventare come te, un giorno.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0C\nグレゴリー\nCon te accanto, non ho tempo di avere paura.\nCi buttiamo nella mischia a testa bassa...\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x08\x06クロム\nÈ Daraen lo stratega. E poi, se è vero che le\nbattaglie ti rendono più forte, magari ti rendono\nanche più coraggioso.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0C\nグレゴリー\nAbbiamo proprio mangiato bene! Ma... ho del\nsangue sui vestiti? Sto morendo?\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x08\x06クロム\nCalmati, Gregory. Non è sangue, è solo la salsa\ndi pomodoro di prima.\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0C\nグレゴリー\nVorrei tanto avere il tuo coraggio. E invece,\ncontinuo a scappare e a rendermi ridicolo...\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x08\x06クロム\nNon devi vergognarti. È normale volersi mettere\nin salvo, l'importante è sapere che a volte\nbisogna superare questo istinto.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x08\x06クロム\nCapita anche a me di avere paura. Ma il timore\ndi perdere i miei amici è più forte di tutto ed è\nquello che mi aiuta a mantenere la motivazione.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x0C\nグレゴリー\nIl timore ti dà la motivazione... Ci proverò\nanch'io la prossima volta. Non ti deluderò,\nvedrai.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nUn'ape? Starà cercando dei fiori... Ah, è volata\ndritta verso di te, Madeline.\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x0C\nマデリーン\nU-U-Un'apeee?! Non ne avevo mai viste prima,\nnel mio mondo... Non ho paura... ma nel dubbio\nspostiamoci da un'altra parte!\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nHai la fobia degli insetti? A saperlo, avrei\nchiesto a Daraen un piano per tenerli lontani.\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x0C\nマデリーン\nSi può fare un piano?! Beh, n-non ce n'è\nbisogno. Un'aspirante cavaliera non ha paura\ndi qualche misero insettino.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nI tuoi genitori sarebbero orgogliosi di vedere\nla determinazione che hai ereditato da loro.\nSono un padre anch'io, so cosa dico.\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x0C\nマデリーン\nSei padre?! Ma sembri così giovane!\nChe sorpresa, non me l'avevi detto!\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x08\x06クロム\nAh no? Beh, ora lo sai. Ti starò accanto\ne assisterò al giorno in cui diventerai una\ncavaliera!\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x0C\nマデリーン\nNon trattarmi come una bambina! Però... grazie.\nSono contenta di poter contare su di te.\x0E\x04\x00\x00
