MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nFantastico, che racconto meraviglioso.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04エル\nSalve principino, hai finito di leggere?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nLady Nel. Che sorpresa.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x06\x04エル\nSorpresa, dici? Pensare che stavo solo\naspettando l'occasione di parlare con te.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nDi cosa?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x06\x04エル\nSei consapevole che sono la figlia del Drago\nMaligno, immagino.\x0E\x04\x02\x00
MID_RELIANCE_C_#007	Nonostante le nostre differenze, appartieni\nanche tu a una famiglia reale. Abbiamo almeno\nquesto punto in comune.\x0E\x04\x02\x00
MID_RELIANCE_C_#008	Non ho mai compreso mio padre, e pensavo che\ntu potessi parlarmi del tuo rapporto con il tuo.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cディアマンド\nIo ho sempre aspirato a diventare come mio\npadre, ma anche io a volte non lo capivo.\x0E\x04\x02\x00
MID_RELIANCE_C_#010	È sempre stato considerato un grande sovrano\nper le sue doti militari, ma non è così che\nambisco a regnare io.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x06\x04エル\nDifferenti punti di vista.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cディアマンド\nPuoi ben dirlo. Ci siamo spesso scontrati\nparlando del futuro della Brodia.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x06\x04エル\nE non fosti condannato a morte per\ninsubordinazione? Com'è possibile?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cディアマンド\nChe intendi? In Brodia non condanniamo a\nmorte la gente solo per qualche semplice\ndisaccordo.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x06\x04エル\nCapisco. Diversamente da tuo padre, lord\nSombron preferiva tenere a bada ogni dissenso\ncon la pena capitale.\x0E\x04\x02\x00
MID_RELIANCE_C_#016	Opporsi a una sua decisione era impensabile.\nPer sopravvivere, non vi era altra scelta che\nobbedire.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nNon riesco nemmeno a immaginare come si\npossa vivere sotto una tale vile dittatura.\nMi dispiace.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x06\x04エル\nTu non hai alcuna colpa. E ormai è tutto\npassato.\x0E\x04\x02\x00
MID_RELIANCE_C_#019	Ho imparato tanto, ascoltando la tua storia.\nSpero che avremo presto altre occasioni di\nparlare.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nMa certo.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x06\x04エル\nCi incontriamo di nuovo, principino.\nVorresti concedermi un'altra conversazione?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nCon piacere.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x06\x04エル\nI tuoi discorsi sulla Brodia mi hanno incuriosita.\nVorrei conoscere meglio il tuo regno.\x0E\x04\x02\x00
MID_RELIANCE_B_#004	Così mi sono presa la briga di recarmi al borgo\ndel castello per raccogliere informazioni.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nSei andata fino al castello di Brodia?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x06\x04エル\nPer un drago, non è poi così lontano.\nIl problema maggiore è stata la discrezione,\nma sono riuscita a passare inosservata.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nNon ne dubito. Che cosa hai appreso?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x06\x04エル\nHo sentito parlare del giovane principe Diamant,\nche un giorno diventerà uno straordinario\nsovrano.\x0E\x04\x02\x00
MID_RELIANCE_B_#009	Tutti pensano che il tuo regno possa diventare\nancor più grande di quello di tuo padre.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cディアマンド\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x06\x04エル\nForse non dovrei dirlo, ma mi ha fatto molto\npiacere sentire queste opinioni.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cディアマンド\nGrazie, lady Nel, ma non posso accettare questi\ncomplimenti.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x06\x04エル\nPerché?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cディアマンド\nMi rallegra sapere che godo di una buona\nreputazione, ma prova a immaginare se così\nnon fosse.\x0E\x04\x02\x00
MID_RELIANCE_B_#015	Se tutto ciò che hai sentito a mio riguardo\nfossero critiche, se ti avessero esternato solo\ndubbi sulle mie capacità governative.\x0E\x04\x02\x00
MID_RELIANCE_B_#016	Se così fosse, accetteresti tutte queste voci\ncome pura verità?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x06\x04エル\nCerto che no. Dunque, intendi dire che queste\nvoci non sono da prendere sul serio.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nEsattamente. Vuoi sapere se diventerò un bravo\nre? Allora dovresti giudicarlo con i tuoi occhi.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x06\x04エル\nHai ragione. Sono giunta a conclusioni troppo\naffrettate.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nSo che avevi buone intenzioni. Spero di non\naverti offesa.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x06\x04エル\nAssolutamente no. Ciò che hai detto\ncorrispondeva al vero.\x0E\x04\x02\x00
MID_RELIANCE_B_#022	Ma, visto che l'hai proposto tu, ho deciso di\ncominciare a valutarti personalmente.\x0E\x04\x02\x00
MID_RELIANCE_B_#023	Ti avverto, questi occhi giudicheranno se\nsarai in grado di diventare un grande re.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0E\x0Cディアマンド\nAhahah! È così che mi piace.\x0E\x04\x02\x00
MID_RELIANCE_B_#025	Fino ad allora, lady Nel, farò del mio meglio\nper impressionarti.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nSalve, lady Nel.\x0E\x04\x00\x00
