MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x08\x06メリン\nDrago, siete un dragooo! Un drago in carne\ne ossa!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06メリン\nNon ci credo! È troppo bello per essere vero!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ヴェイル\nUhm...\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ヴェイル\nSono un drago, è vero, ma maligno. Non\nhai paura di me?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06メリン\nNeanche un po'! Sono solo contentissima di\npoter parlare con voi, lady Veyle!\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ヴェイル\nAh, capito...\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ヴェイル\nStrano, però. Di solito la gente ha paura di me.\nO in generale non mi ama.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06メリン\nMa io sono diversa. Vengo da un villaggio\ndi campagna e ho la passione per tutto ciò\nche è strano o inusuale.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06メリン\nE voi siete senz'altro inusuale. Non posso\nfare altro che apprezzarvi e ammirarvi.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ヴェイル\nInusuale, sono inusuale. Questo è poco ma\nsicuro.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06メリン\nMa piuttosto... non vi sto mica infastidendo,\nspero?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ヴェイル\nNo, non preoccuparti. Anche io ti trovo\ninusuale, in un certo senso.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06メリン\nInusuale io? Forse. Beh, allora abbiamo\nqualcosa in comune.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ヴェイル\nOh!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06メリン\nScusate l'impudenza. Forse non avrei dovuto\nparagonarmi a voi, lady Veyle.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ヴェイル\nNo, tranquilla... ero solo un po' sorpresa.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08ヴェイル\nMi fa piacere sentirmi paragonare... a un'umana.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08ヴェイル\nMerrin, ti va di diventare mia amica? Detto\nda una persona inusuale a un'altra.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x08\x06メリン\nSiete uno spettacolo per gli occhi, lady Veyle.\nVi starei a guardare per ore.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06メリン\nNon c'è nulla che non sia perfetto in voi: capelli,\npelle, viso... tutto. Ma non mi stupisce, visto che\nsiete un drago!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ヴェイル\nAh... dici?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06メリン\nAnche io presto molta attenzione al mio\naspetto, ma non potrei mai competere con voi.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06メリン\nMa ditemi, fate qualcosa di particolare nella\nvostra cura quotidiana? O siete così di natura?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ヴェイル\nNon me ne intendo molto di queste cose. Non\nfaccio nulla di speciale, direi.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06メリン\nMa davvero?! I draghi sono proprio tostissimi!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ヴェイル\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ヴェイル\nUhm, Merrin.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ヴェイル\nPensi che io sia... tostissima... solo perché sono\nun drago?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06メリン\nOh, no, mi avete fraintesa, lady Veyle. Il vostro\nfascino è parte di quella che siete, drago o non\ndrago.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06メリン\nÈ da un po' che volevo chiedervelo... non è\nche per caso vi vergognate di essere un drago?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ヴェイル\nBeh, direi. Sono sempre stata disprezzata\nper esserlo.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06メリン\nNon dovete farvene una colpa. Non siete voi,\nsono quelli che vi odiano a essere in torto.\nNon vi conoscono neanche!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ヴェイル\nMa forse... non hanno tutti i torti. Magari ho\nqualche grosso difetto, altrimenti non\nmi odierebbero così.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06メリン\nNessuno è perfetto. E comunque la realtà è\nquella che è: siete un drago e tale resterete.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06メリン\nDovete essere a vostro agio nella vostra pelle.\nSiete un drago, e se questo non è fantastico,\nnon so cosa sia.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08ヴェイル\nFantastico?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06メリン\nMa certo. I draghi sono creature uniche\ne inusuali, dovreste essere orgogliosa di quello\nche siete!\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08ヴェイル\nLe tue parole sono molto convincenti.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08ヴェイル\nVisto che sei così convinta, proverò a crederci\nanch'io.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nGrazie, Merrin.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06メリン\nEh?!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06メリン\nPer cosa mi state ringraziando?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ヴェイル\nMi hai detto che dovrei essere orgogliosa\ndi essere un drago.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08ヴェイル\nAncora non ci riesco del tutto...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ヴェイル\n... ma grazie alle tue parole ho ritrovato un po'\ndi ottimismo e forse un giorno riuscirò ad\namarmi per quella che sono.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ヴェイル\nCi tenevo a ringraziarti.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06メリン\nLady Veyle...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06メリン\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ヴェイル\nMerrin, ma che ti prende?!\x0E\x04\x00\x00
