MID_SORTIE_START	Combatti!
MID_SORTIE_START_HELP	Termina i preparativi e inizia\nla battaglia.
MID_SORTIE_START_CONFIRM	Tutto pronto?
MID_SORTIE_START_CONFIRM_YES	Inizia
MID_SORTIE_BACK	Indietro
MID_SORTIE_SELECT_UNIT	Formazione
MID_SORTIE_SELECT_UNIT_SELECT	Seleziona un'unità.
MID_SORTIE_SELECT_UNIT_HELP	Scegli quali unità portare\nin battaglia.
MID_SORTIE_EQUIP_GOD	Emblemi
MID_SORTIE_EQUIP_GOD_HELP	Assegna anelli\x0E\x01\x0B\x00\ndegli emblemi alle unità.
MID_SORTIE_INVENTORY	Inventario
MID_SORTIE_INVENTORY_HELP	Gestisci equipaggiamento\ne abilità.
MID_SORTIE_CHANGE_POSITION	Scambia posto
MID_SORTIE_CHANGE_POSITION_HELP	Posiziona gli alleati sul campo.
MID_SORTIE_SHOP	Acquisti
MID_SORTIE_SHOP_HELP	Compra armi e strumenti.
MID_SORTIE_WEAPON_SHOP	Armeria
MID_SORTIE_H_WEAPON_SHOP	Compra armi.
MID_SORTIE_ITEM_SHOP	Emporio
MID_SORTIE_H_ITEM_SHOP	Compra strumenti.
MID_SORTIE_RELIANCE	Sostegno
MID_SORTIE_RELIANCE_UNIT_SELECT	Seleziona un alleato.
MID_SORTIE_RELIANCE_NONE	Nessuna conversazione.
MID_SORTIE_BONDS_RELIANCE	Legame
MID_SORTIE_BONDS_RELIANCE_NONE	Nessun emblema.
MID_SORTIE_RELIANCE_ATTENTION	Puoi effettuare conversazioni di sostegno con\ni personaggi e conversazioni di legame con gli\nemblemi nel Somniel e nella mappa del mondo.
MID_SORTIE_SAVE	Salva
MID_SORTIE_SAVE_HELP	Salva i progressi attuali.
MID_SORTIE_BACK_CONFIRM_HELP	Torna alla mappa del mondo.
MID_SORTIE_BACK_CONFIRM	Vuoi tornare alla mappa del mondo?
MID_SORTIE_BACK_CONFIRM_HELP_M026	Ritorna al Somniel.
MID_SORTIE_BACK_CONFIRM_M026	Vuoi tornare al Somniel?
MID_SORTIE_CONTINUEBATTLE_NOSELECT	Non selezionabile durante\nuna serie di battaglie.
MID_SORTIE_COMMON_TRADE	Scambia
MID_SORTIE_UNIT_ITEM	Gestisci strumenti
MID_SORTIE_UNIT_ITEM_LIST	Strumenti
MID_SORTIE_UNIT_TRADE	Scambia
MID_SORTIE_UNIT_ENTRUST	Ottimizza equipaggiamento
MID_SORTIE_UNIT_ENTRUST_WARNING1	Non ci sono abbastanza strumenti nei\nrifornimenti per ottimizzare l'equipaggiamento\ndi questa unità.
MID_SORTIE_UNIT_ENTRUST_WARNING2	Impossibile ottimizzare l'equipaggiamento\nperché non c'è spazio tra i rifornimenti.
MID_SORTIE_UNIT_STORE	Invia
MID_SORTIE_UNIT_STORE_ALL	Invia tutto
MID_SORTIE_UNIT_STORE_ALL_WARNING	Non c'è spazio tra i rifornimenti oppure ci sono\nstrumenti che non possono essere inviati.
MID_SORTIE_UNIT_SKILL_OPEN	Ora puoi gestire le tue abilità.
MID_SORTIE_UNIT_SKILL	Gestisci abilità
MID_SORTIE_UNIT_CLASSCHANGE	Cambia classe
MID_SORTIE_ALL_UNITS_ENTRUST	Ottimizza tutto
MID_SORTIE_ALL_UNITS_ENTRUST_CONFIRM	Vuoi ottimizzare l'equipaggiamento\ndelle unità sul campo di battaglia?\n(Gli strumenti in mano alle altre unità\nverranno inviati ai rifornimenti.)
MID_SORTIE_ALL_UNITS_ENTRUST_ERROR	Puoi usare "Ottimizza tutto" dopo aver\nselezionato le unità che scenderanno in\ncampo durante i preparativi per la battaglia.
MID_SORTIE_ALL_UNITS_ENTRUST_Yes	Ottimizza
MID_SORTIE_ALL_UNITS_ENTRUST_WARNING1	Non ci sono abbastanza strumenti\nnei rifornimenti per ottimizzare\nl'equipaggiamento di tutte le unità\nsul campo di battaglia.
MID_SORTIE_ALL_UNITS_ENTRUST_WARNING2	Impossibile ottimizzare l'equipaggiamento\nperché non c'è spazio tra i rifornimenti.
MID_SORTIE_ALL_UNITS_STORE_ALL	Svuota
MID_SORTIE_ALL_UNITS_STORE_ALL_CONFIRM	Vuoi inviare tutti gli\nstrumenti ai rifornimenti?
MID_SORTIE_ALL_UNITS_STORE_ALL_WARNING	Non tutti gli strumenti sono stati\ninviati ai rifornimenti poiché non\nc'è più spazio.
MID_SORTIE_ALL_UNITS_ENTRUST_GOD	Ottimizza tutto
