MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0C\nブシュロン\nMmmh, sarà una buona idea?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nQualche *problema*?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nブシュロン\nGuarda. Ho ricevuto un invito da un certo\n"saggio della foresta".\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nNon ho mai sentito nominare tale *individuo*.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nブシュロン\nNeanch'io. Ma vorrebbe che io andassi nella\nsua capanna.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ゼルコバ\nAh sì?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nブシュロン\nVedi? C'è una mappa della montagna.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nブシュロン\nDice che, se riesco a trovare la capanna, potrò\nbere una speciale medicina che aiuta\na migliorare il senso dell'orientamento.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nブシュロン\nNon sapevo neanche che esistesse una pozione\nsimile, ma a quanto pare c'è e si trova lì.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nUna cura contro la mancanza di orientamento?\nIl mondo non fa che riservare *meraviglie*...\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nブシュロン\nSperiamo. Il problema è che il mio senso\ndell'orientamento è persino più scarso di quanto\nsembri.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nブシュロン\nL'altro giorno sono andato a fare una\npasseggiata. Avevo una bussola con me,\nma sono riuscito lo stesso a perdermi.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ゼルコバ\nPiuttosto *preoccupante*. Cosa pensi di fare?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nブシュロン\nHo forse delle alternative? Penso che ci andrò.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nブシュロン\nAlla fine questo problema si ripercuote anche\nsugli altri. Se davvero posso risolverlo con una\npozione, ben venga.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nAllora buona *fortuna*.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nブシュロン\nGrazie. Ne ho proprio bisogno!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nAh, Boucheron. Che ne è della *faccenda* del\nsaggio della foresta?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nブシュロン\nL'ho cercato in lungo e in largo... ma mi sono\nperso strada facendo.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ゼルコバ\nUn esito del tutto *imprevedibile*.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nブシュロン\nPerò è successa una cosa strana.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nブシュロン\nMi sono appisolato in una grotta e al mio\nrisveglio ho trovato una lettera del saggio\ndella foresta.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ゼルコバ\nNon mi dire...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nブシュロン\nConteneva degli incoraggiamenti come\n"Ci sei quasi", "Forza" e "Non arrenderti".\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ゼルコバ\n*Straordinario*.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nブシュロン\nE non è tutto. Spiegava anche a quale bivio\navevo preso la strada sbagliata.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nブシュロン\nLa prossima volta saprò cosa non devo fare.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nMi *domando* quali siano le intenzioni di questo\nfantomatico saggio della foresta.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nAvrebbe semplicemente potuto lasciarti la\n*medicina* assieme al biglietto.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nブシュロン\nForse è importante che io trovi quella capanna.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ゼルコバ\nUn saggio piuttosto *inusuale*, a dir poco.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nブシュロン\nGià. Comunque ho deciso: troverò quella\ncapanna.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nAmmiro la tua *determinazione*. Ti auguro\ndi nuovo buona fortuna.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nブシュロン\nGrazie. Incrociamo le dita, potrei tornare con\ndelle buone notizie.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x02\x0C\nブシュロン\nCe l'ho fatta...! Ho trovato la capanna!\nSaggio della foresta, sono qui!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nEccellente. Eccoti *giunto*. Sono io il saggio\ndella foresta.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nブシュロン\nEh? Ma tu sei... Zelkov?!\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nブシュロン\nN-Non capisco. Che sta succedendo?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08ゼルコバ\nCome promesso, ecco la *medicina*. Bevila\ntutta.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nブシュロン\nUh... D'accordo.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nブシュロン\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nブシュロン\nÈ dolce. Sa di... zucchero.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ゼルコバ\nNon sbagli. È acqua e *zucchero*. Magari ti\ndarà una marcia in più.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nE per il tuo *senso* dell'orientamento... in fondo\nsei riuscito a raggiungere questa capanna\nsperduta con pochissimo aiuto.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nE questo *indica* pur qualcosa, riguardo al tuo\nsenso dell'orientamento.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nブシュロン\nOooh! Ho fatto dei progressi senza neanche\naccorgermene!\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ゼルコバ\n*Esatto*.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ゼルコバ\nMi è giunta voce che avessi questa debolezza e\n*correggerla* mi è sembrato un passatempo\ninteressante.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nE così è nato il *saggio della foresta*, un utile\nstratagemma per condurti fino a qui.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nブシュロン\nDeve essere stato un lavoraccio per te.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08ゼルコバ\nHo la passione per gli *obiettivi* intricati.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ゼルコバ\nIn principio pensavo solo di *allenarti* a\norientarti meglio. Ma sarebbe stato troppo\nsemplice.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ゼルコバ\nCosì, tra un piano e l'altro, è venuto fuori\ntutto *questo*. Spero che l'esperienza sia stata\ndi tuo *gradimento*.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nブシュロン\nSai cosa? Mi sono divertito, sì. Grazie per aver\nideato tutto questo per me.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08ゼルコバ\nÈ vero quel che si dice. Sei proprio un\n*gentiluomo*. Altri, al posto tuo, si sarebbero\nalterati per questo inganno.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nブシュロン\nE perché dovrei arrabbiarmi?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nブシュロン\nMi piace questo "saggio della foresta". Quasi\nquasi vorrei diventare suo amico.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08ゼルコバ\nPer quale *motivo*?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nブシュロン\nNon posso non pensare alla lettera piena di\ngentili incoraggiamenti e alla coperta che mi\nha messo addosso.\x0E\x04\x00\x00
