MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x10\nスタルーク\x022\n\x0E\x03\x02\x0C\nスタルーク\nSalve, Boucheron. Posso disturbarvi un attimo?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nブシュロン\nCosa posso fare per voi, principe Alcryst?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nスタルーク\nEcco, uh... Vorrei diventare un vostro allievo!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nブシュロン\nCome?!\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nスタルーク\nAh, non importa. Chi mai vorrebbe un allievo\ncome me, in fondo...\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nブシュロン\nMa no, vi sbagliate... Mi stavo solo domandando\ncosa mai potrei insegnarvi.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nスタルーク\nEcco io... vorrei un fisico come il vostro...! Se\npoteste aiutarmi, ve ne sarei grato!\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nブシュロン\nAh, volete farvi i muscoli, mh?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nスタルーク\nNon sono molto sicuro di me, sapete... e reputo\nparte del problema il mio fisico troppo asciutto.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nスタルーク\nQuindi pensavo che con un fisico più muscoloso\nle cose potrebbero prendere un'altra piega...\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nブシュロン\nHo capito. Volete aumentare la massa\nmuscolare e la fiducia in voi.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nブシュロン\nD'accordo, allora. Vi aiuterò con piacere.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nスタルーク\nGrazie...! Siete una persona fantastica,\nBoucheron!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nスタルーク\nAccettare di occuparsi di un caso disperato\ncome il mio... La cosa mi onora.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nスタルーク\nAl confronto sono proprio...\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nブシュロン\nConsiglio numero uno: smettete di dire queste\ncose! Schiena dritta e petto in fuori!\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nスタルーク\nVa tutto bene. Non c'è bisogno di consolarmi.\nMi affido a voi, ma sono una nullità, sappiatelo.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nブシュロン\nSembrano esserci più ostacoli del previsto...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x10\nスタルーク\x022
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nブシュロン\nSette! Otto! Nove!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nスタルーク\nN-Non ce la faccio più...!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nブシュロン\nQual è il problema, principe? Erano appena nove\nflessioni.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nブシュロン\nNe mancano ancora 91!\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nスタルーク\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nブシュロン\nForse per la prima lezione sono troppe?\nFacciamo dieci?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nスタルーク\nNo, no! Non vale togliere uno zero!\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nスタルーク\nPovero zero, non merita di essere mandato via\nper una nullità come me...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nブシュロン\nD'accordo. Le flessioni possiamo continuarle\ndopo. Ora passiamo agli addominali.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nスタルーク\nA-Agli ordini. Quanti addominali devo fare...?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nブシュロン\nCento.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nスタルーク\nAvete detto cento?!\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nスタルーク\nNo, non posso tirarmi indietro! Devo diventare\nmuscoloso e sicuro di me!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nブシュロン\nCosì si fa! Cominciamo!\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nブシュロン\nUno! Due! Tre!\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nスタルーク\nQ-Quattro! Argh... Non ci riesco. Ho male ai\nfianchi!\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nブシュロン\nEhm... principe. Ne mancano 96.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nスタルーク\nVoglio davvero arrivare a cento... ma il mio\ncorpo non ce la fa...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nブシュロン\nMmmh. Capisco. Bel problema.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nブシュロン\nPerché non ci prendiamo una pausa? Ditemi\nquando vi è passato il crampo.\x0E\x04\x00\x00
