MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0E\x08セリーヌ\x022\n\x0E\x03\x02\x0C\nエーティエ\nNe è passato di tempo dal nostro ultimo tè,\nprincipessa Céline.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08セリーヌ\nNon c'è bisogno di fare tante cerimonie, Etie.\nSiamo amiche da troppo tempo.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nエーティエ\nCome preferite, Céline. Com'è il tè?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08セリーヌ\nDelizioso, grazie. Hai fatto un ottimo lavoro.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08セリーヌ\nA giudicare dall'aroma e dal gusto pungente\ndirei che è una varietà del nord, giusto?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nエーティエ\nVi basta un sorso per capire l'origine?\nSapete davvero il fatto vostro.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08セリーヌ\nAssaggialo, Etie. Un aroma così è facile da\nriconoscere.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nエーティエ\nGrazie. Adesso lo assaggio.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nエーティエ\nMmmh...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08セリーヌ\nChe te ne pare?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nエーティエ\nSa di tè... Potreste dirmi che proviene da\nqualsiasi regione e vi crederei.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08セリーヌ\nIhihih. Lo immaginavo. Non hai mai avuto\nil dono di riconoscere i tè.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nエーティエ\nNon si tratta di questo. È solo che nessuno può\nuguagliarvi in quanto a conoscenza del tè.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08セリーヌ\nOh...\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08セリーヌ\nC'è qualcosa che non va, Etie?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nエーティエ\nPerché?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08セリーヌ\nTi tremava la mano. Ecco, trema di nuovo.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nエーティエ\nOh, uh, vi sbagliate. Ve lo sarete immaginato.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08セリーヌ\nDici? Sarà...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0E\x08セリーヌ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nAnche oggi il tè è sopraffino. Questi momenti\ndi riposo sono una benedizione.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nエーティエ\nGià. Con tutto quello che sta succedendo,\nritagliarsi questi momenti è di grande sollievo.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08セリーヌ\nConcordo.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nエーティエ\nVi ricordate i nostri primi incontri?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08セリーヌ\nFaccio un po' fatica a distinguerli da tutte\nle altre volte.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08セリーヌ\nLa salute di mio fratello era così precaria a quei\ntempi. Le giornate erano sfibranti.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nエーティエ\nQuelle fatiche e preoccupazioni vi hanno resa\npiù forte.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08セリーヌ\nSapevo di dover essere pronta a sostenerlo,\nin caso fosse successo qualcosa.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08セリーヌ\nMa quando finalmente mi sono sentita\nabbastanza forte, la salute di mio fratello è\nmigliorata molto grazie agli allenamenti.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nエーティエ\nEheh. Ricordo la gioia nel vedervi scoppiare di\nsalute, fianco a fianco.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nエーティエ\nQuando entrai al servizio del principe Alfred,\nlui mi spronò ad allenarmi. E guardatemi ora!\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08セリーヌ\nEhm... Etie?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nエーティエ\nSì?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08セリーヌ\nGiurerei di aver visto tremare la tua mano.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nエーティエ\nOh...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08セリーヌ\nNon stai bene? Sei malata?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nエーティエ\nNiente di tutto ciò. È colpa della tazza, è troppo\npesante.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08セリーヌ\nQuesto lo sapevo già.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08セリーヌ\nDa quando sei al servizio di Alfred, hai sempre\nusato una tazza con i pesi.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08セリーヌ\nMa non è mai stato un problema, e ora invece\nfai fatica a sollevarla!\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nエーティエ\nEcco... Vedete, Céline...\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nエーティエ\nHo cambiato tazza.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08セリーヌ\nCome?\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0C\nエーティエ\nProvate a sollevarla.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0A\x08セリーヌ\nPant... M-Ma che razza...! Ho maneggiato palle\ndi cannone più leggere, in vita mia!\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0C\nエーティエ\nL'ho fatta costruire apposta. L'altra non mi\nbastava più per allenarmi.\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x0A\x08セリーヌ\nEhhh... Non mi stupisco se ti tremava la mano,\nallora. Con una tazza del genere!\x0E\x04\x00\x00
MID_RELIANCE_B_#028	\x0E\x03\x02\x0C\nエーティエ\nOra sapete il motivo.\x0E\x04\x00\x00
MID_RELIANCE_B_#029	\x0E\x03\x02\x0A\x08セリーヌ\nGrazie al cielo. Se dovesse succederti qualcosa,\nEtie, non so come farei.\x0E\x04\x00\x00
MID_RELIANCE_B_#030	\x0E\x03\x02\x0C\nエーティエ\nOh, Céline. Chiedo scusa se vi ho fatta\npreoccupare.\x0E\x04\x00\x00
MID_RELIANCE_B_#031	\x0E\x03\x02\x0A\x08セリーヌ\nAlmeno ora so che non è niente di serio.\nQuando ci troviamo per un altro tè?\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0E\x08セリーヌ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nEtie! Guarda qui!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08セリーヌ\nHo aggiunto del miele al tè dell'altra volta.\nCredo di aver creato qualcosa di speciale.\x0E\x04\x00\x00
