MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08パンドロ\nLouis! Stai di nuovo spiando la gente?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04ルイ\nPerdonami, Pandreo, ma non mi permetterei\nmai di "spiare".\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x06\x04ルイ\nPreferisco considerarla "osservazione da\nlontano".\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08パンドロ\nAhahah! Beh, certo, niente a che vedere con\nlo spiare.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08パンドロ\nContento tu... comunque se ti stufi di... non\nspiare, puoi venire a divertirti un po' con me.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x06\x04ルイ\nDivertirmi?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08パンドロ\nSì!\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08パンドロ\nPossiamo rilassarci un po' e fare cose da\nuomini, per conoscerci meglio!\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x06\x04ルイ\nUhm, conoscerci meglio...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x06\x04ルイ\nProprio in questi giorni stavo considerando\nla possibilità di osservare una cosa del genere.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08パンドロ\nBeh, allora è proprio l'occasione giusta.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x06\x04ルイ\nIn effetti.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x06\x04ルイ\nPandreo, sarei straordinariamente felice di\naccettare il tuo invito.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x06\x04ルイ\nEsploriamo tutte le sfaccettature di una\nconoscenza più intima.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08パンドロ\nCome fai a far suonare tutto così allusivo?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08パンドロ\nBeh, sono contento che tu abbia accettato.\nMa sappi che prendo sul serio il divertimento.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08パンドロ\nBivaccheremo alla grande fino all'alba, ti\ndimenticherai pure di dormire!\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x06\x04ルイ\nCercherò di essere alla tua altezza, Pandreo!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08パンドロ\nAhi ahi... Che male...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x06\x04ルイ\nAhahah! L'altra sera forse abbiamo un po'\nesagerato, oserei dire.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08パンドロ\nSì... mi fa male la testa e anche tutto il resto.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x06\x04ルイ\nPerò, devo ammettere che è stato piacevole.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x06\x04ルイ\nÈ bello poter stare tra maschi, ogni tanto, eh?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08パンドロ\nSono contento che la vedi così! Vuol dire che\nè valsa la pena di questo mal di testa.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x06\x04ルイ\nTrovo che i festeggiamenti mettano anche un\ncerto appetito. Ti piace l'uva, Pandreo?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08パンドロ\nSì che mi piace.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x06\x04ルイ\nAllora ti porto dei dolcetti. Il ripieno è fatto\ncon l'uva del mio paese.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08パンドロ\nUna specialità locale?! Porta, porta tutto\nquello che hai!!!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x06\x04ルイ\nTutto? Non c'è problema, ma vorrei metterti\nin guardia dal rischio di mangiare troppo.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08パンドロ\nBeh, ma non li mangerò tutti da solo.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08パンドロ\nMi piacerebbe portare qualcosa al mio gregge.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x06\x04ルイ\nOh... allevi animali?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08パンドロ\nIntendo la mia congrega. Ci piace pregare\nin un ambiente rilassato, sai?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08パンドロ\nSono sicuro che un bel vassoio di dolcetti\nporterà ancora più fedeli a bussare alla porta.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08パンドロ\nInoltre, tra i miei fedeli c'è anche un mercante.\nMagari è interessato a importare la tua uva.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x06\x04ルイ\nUn pensiero molto gentile da parte tua!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x06\x04ルイ\nSei sempre pronto a pensare al bene del tuo\ngregge, vero?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08パンドロ\nAhahah! In fondo è il mio lavoro!\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08パンドロ\nAnche se non mi comporto sempre in modo\nadeguato, resto comunque un uomo di chiesa.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x06\x04ルイ\nDirei che ora hai messo a tacere ogni dubbio.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08パンドロ\nMa non ho intenzione di rinunciare alle feste.\nVerrai ancora a divertirti con me, Louis?\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x06\x04ルイ\nCerto, ai tuoi ordini, Pandreo.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08パンドロ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x02\x06\x04ルイ\nAhem.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08パンドロ\nOh! Scusa, Louis. Non ti avevo visto.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08パンドロ\nSono molto concentrato quando prego.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x06\x04ルイ\nNon ti preoccupare, speravo di non disturbarti.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08パンドロ\nVolevi chiedermi qualcosa?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08パンドロ\nTi ho già indicato tutti i migliori punti\ndi osservazione che conosco.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x06\x04ルイ\nNo... è un'altra cosa.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x06\x04ルイ\nVorrei che dicessi una preghiera per mia madre.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08パンドロ\nUhm, scusa, non ricordo bene, ma...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08パンドロ\nCredevo che tua madre fosse morta.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x06\x04ルイ\nSì, è così.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x06\x04ルイ\nEro molto giovane e fui così devastato da\nriuscire a malapena a portare avanti la mia\nvita quotidiana.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x06\x04ルイ\nMi imbarazza ammettere di averci messo\ncosì tanto a capirlo...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x06\x04ルイ\nMa credo di non aver mai potuto salutare mia\nmadre nel modo giusto, in mezzo a tutto quel\ntumulto.\x0E\x04\x00\x00
