MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nマデリーン\x022\n\x0E\x03\x02\x0A\x08リュール\nGrazie per esserti allenata con me, Madeline.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nマデリーン\nNo, sono io a ringraziarti. È un onore potermi\nallenare con qualcuno del tuo talento.\x0E\x04\x02\x00
MID_RELIANCE_C_#003	Posso dirti una cosa, prima di salutarci?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リュール\nMa certo. Di che si tratta?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nマデリーン\nCi tenevo a dirti quanto ti ammiro.\nSei così sincer\x0E\x0A\x00\x08\x02o\x02a e ottimista.\x0E\x04\x02\x00
MID_RELIANCE_C_#006	Per non parlare di come hai accolto noi che\nveniamo da un altro mondo.\x0E\x04\x02\x00
MID_RELIANCE_C_#007	Ciò che ti contraddistingue nel ruolo di guida,\nnon sono le tue origini di Drago Divino, ma il\ntuo buon cuore...\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\nOh! Che gentile che sei, ma ora stai esagerando\ncon i complimenti.\x0E\x04\x02\x00
MID_RELIANCE_C_#009	E comunque anche tu sei fantastica.\nSei una guerriera leale e senza paura.\x0E\x04\x02\x00
MID_RELIANCE_C_#010	Sono content\x0E\x0A\x00\x08\x02o\x02a che tu sia venuta nel nostro\nmondo.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nマデリーン\nCombattere con coraggio in battaglia è\nsemplicemente il mio dovere.\x0E\x04\x02\x00
MID_RELIANCE_C_#012	Non ho bisogno di complimenti per aver\nadempiuto il mio compito. Dopotutto, per me\nnon conta il riconoscimento.\x0E\x04\x02\x00
MID_RELIANCE_C_#013	Conta solo servire la mia causa e aiutarti\na ottenere la vittoria.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リュール\nLe tue parole mi rassicurano molto.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nマデリーン\nOra devo lasciarti.\x0E\x04\x02\x00
MID_RELIANCE_C_#016	Ma se dovesse servirti di nuovo qualcuno con\ncui allenarti, chiamami pure.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nマデリーン\x022\n\x0E\x03\x02\x0C\nマデリーン\nUn colpo netto ed è fatta.\nDevo solo avvicinarmi un po'...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nMadeline, come mai hai sfoderato le armi?\x0E\x04\x02\x00
MID_RELIANCE_B_#003	Ah, una coccinella... che carina!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nマデリーン\nCarina? Questa creatura ha invaso il Somniel!\x0E\x04\x02\x00
MID_RELIANCE_B_#005	Se non la elimino al più presto, potrebbe portare\nsventura e distruzione su di te e tutti i tuoi\nalleati!\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リュール\nNon dirmi che hai paura degli insetti.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nマデリーン\nNon l'ho detto! Una cavaliera non ammette mai\nle proprie paure, per quanto forte sia il nemico!\x0E\x04\x02\x00
MID_RELIANCE_B_#008	E va bene, lo ammetto. Nutro una certa...\nantipatia nei confronti degli insetti.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リュール\nNon c'è niente di male. Tutti noi abbiamo\nqualcosa che ci fa paura. Ma che ne dici di\nmettere via le armi, prima di tutto?\x0E\x04\x02\x00
MID_RELIANCE_B_#010	Quell'insetto non ti farà del male, te lo assicuro.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nマデリーン\nCome fai a esserne cert\x0E\x0A\x00\x08\x02o\x02a?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リュール\nStai a vedere... Sciò! Sciò!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nマデリーン\nLa bestia si sta muovendo!\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リュール\nNon ti preoccupare. Guarda, sta uscendo fuori.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nマデリーン\nL'hai lasciato scappare... e se ora scatenasse\nla sua furia omicida?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nNon mi sembra molto probabile. E poi, penso\nsia sempre meglio risolvere le situazioni senza\nviolenza, quando possibile.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nマデリーン\nUhm... capisco cosa intendi dire. Grazie per\navermi tolta dai guai.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リュール\nÈ stato un piacere. Ma devo ammettere che\nmi sorprende vederti così.\x0E\x04\x02\x00
MID_RELIANCE_B_#019	Sei così coraggiosa in battaglia. Chi avrebbe\nmai detto che un insetto potesse scombussolarti\ncosì?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nマデリーン\nScombussolarmi?! I cavalieri non si\nscombussolano mai! E non fare quel sorrisino,\nper favore!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nマデリーン\x022\n\x0E\x03\x02\x0C\nマデリーン\nFacciamo una pausa, Drago Divino?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nSono d'accordo. E grazie per esserti allenata\ndi nuovo con me, Madeline.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nマデリーン\nIl piacere è tutto mio. Cerco di sfruttare ogni\noccasione di fare un po' di movimento.\x0E\x04\x02\x00
MID_RELIANCE_A_#004	...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リュール\nC'è qualcosa che non va?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nマデリーン\nNo, anzi. Stavo pensando a quanto sono\ncontenta di essere qui nel tuo mondo.\x0E\x04\x02\x00
MID_RELIANCE_A_#007	Mentirei se ti dicessi di non aver avuto alcun\ndubbio, all'inizio.\x0E\x04\x02\x00
MID_RELIANCE_A_#008	Ma qui con voi sento di essere la cavaliera\nche ho sempre sognato di diventare.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リュール\nMi fa piacere che la pensi così.\x0E\x04\x02\x00
MID_RELIANCE_A_#010	Però mi dispiace averti chiesto di abbandonare\nil tuo mondo.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nマデリーン\nNon dispiacerti. Da quando sono qui, sono\ncresciuta tanto e ora...\x0E\x04\x02\x00
MID_RELIANCE_A_#012	...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nUn insetto! Non temere, Madeline.\nMe ne occupo io.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nマデリーン\nNo... Ci penso io.\x0E\x04\x02\x00
MID_RELIANCE_A_#015	Posso farcela. Posso farcela.\nVia! Sciò! Sciò!\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リュール\nBen fatto! Sei stata grande.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nマデリーン\nAaah... Che paura che ho avuto...\x0E\x04\x02\x00
MID_RELIANCE_A_#018	Ma non come l'altra volta... e già questo vale\ntanto.\x0E\x04\x02\x00
MID_RELIANCE_A_#019	Sono contenta di essere qui, dove imparo a\nsuperare le mie debolezze insieme ad alleati\nche adoro e rispetto.\x0E\x04\x02\x00
MID_RELIANCE_A_#020	Se non fossi venuta qui nel tuo mondo, non\nsarei cresciuta così tanto.\x0E\x04\x02\x00
MID_RELIANCE_A_#021	È questo che stavo per dirti, prima.\nInsomma, grazie... Drago Divino.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08リュール\nGrazie a te per essere una cavaliera così\nvalorosa, nonché ottima compagna di\nallenamento.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nマデリーン\nCercherò di dare il massimo in entrambi i\ncompiti.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08リュール\nNon ne ho alcun dubbio.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nマデリーン\x022\n\x0E\x03\x02\x0A\x08リュール\nMadeline, che ci fai in piedi così tardi?\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0C\nマデリーン\nDrago Divino, salve. Non riesco a prendere\nsonno.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\nMi dispiace... c'è qualche problema che ti\nangustia?\x0E\x04\x02\x00
MID_RELIANCE_S_#004	Non voglio forzarti, ma quando io mi sento\ngiù, mi aiuta molto parlarne con qualcuno.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0C\nマデリーン\nSì, hai ragione.\x0E\x04\x02\x00
MID_RELIANCE_S_#006	Vedi, non riesco a smettere di pensare a\nMauvier. Quello del mio mondo.\x0E\x04\x00\x00
