MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nL'audacia del tuo cuore non è inferiore alla tua\nforza fisica, a quanto pare. Non vedo l'ora di\ncollaborare con te, Nel.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x06\x04エル\nLo stesso vale per me, emblema Sigurd.\nMi hanno parlato di te, so che sei un cavaliere\ndi grandi abilità e nobiltà d'animo.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nIl legame che possiedi con i Quattro Venti mi\nricorda molte delle mie amicizie.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x06\x04エル\nSarei curiosa di scoprire di più sui tuoi amici\ne alleati, se possibile.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nHai superato delle terribili avversità, senza mai\nscoraggiarti. Meriti tutto il mio rispetto.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x06\x04エル\nPer mio fratello sarei disposta a tutto. Non\nle considero neanche delle avversità, quelle.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x0A\x08シグルド\nI legami familiari sono solidi e duraturi.\nLo so fin troppo bene.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x06\x04エル\nFaremo in modo che anche il nostro legame sia\naltrettanto solido e duraturo, emblema Sigurd.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nMi hanno detto che sei un drago di un altro\nmondo. Ti ringrazio per esserti unito alla nostra\ncausa.\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x0C\nラファール\nNon sono un eroe. Farò del mio meglio, ma solo\nper ringraziarti di quello che hai fatto per mia\nsorella.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nPenso spesso al figlio che avevo nel mio mondo.\nIl mio più grande rimpianto è non averlo\naccompagnato nella sua infanzia.\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x0C\nラファール\nE così sei padre. Non temere, avrà sicuramente\nseguito le tue eroiche orme.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nIn questo mondo, come anche nel mio, ho visto\nfratelli trovarsi su fronti opposti della guerra.\nNon v'è tragedia più grande.\x0E\x04\x00\x00
