MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リンデン\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\nChiedo scusa, Lindon. Potrei farvi una domanda\nun po' scomoda?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リンデン\nChiedi pure, Saphir.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nザフィーア\nEcco...\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nザフィーア\nDunque... Ah, non importa. Dimenticatevi\ncosa ho detto.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リンデン\nMmmh. Sembrava qualcosa di serio.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08リンデン\nE vedo anche molto dolore. Come se avessi\nun peso al cuore.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リンデン\nPenso proprio che faresti meglio a togliertelo.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nザフィーア\nD'accordo.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nザフィーア\nPiù o meno una trentina di anni fa, voi eravate\ngià al servizio dell'esercito elusiano, dico bene?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リンデン\nNon ti sbagli.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リンデン\nDiventai un soldato reale appena terminata\nl'accademia nazionale.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nザフィーア\nAllora avrete sicuramente partecipato a qualche\ncampagna militare contro la Brodia.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リンデン\nSì... Ho partecipato a quelle campagne.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nザフィーア\nSe ora vi dicessi il nome di una città o\nun villaggio in Brodia... riuscireste a ricordare\nse...\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nザフィーア\nNo, meglio di no. Non dovrei farvi certe\ndomande.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リンデン\nSaphir, ehm...\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nザフィーア\nScusatemi, spero di non avervi offeso.\x0E\x04\x00\x00
