MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ジェーデ\x022\n\x0E\x03\x02\x0A\x08リュール\nJade! Tutto bene?!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ジェーデ\nOh. Drago Divino.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nHo sentito che eri in balia di un gruppo di\nbanditi! Sono cors\x0E\x0A\x00\x08\x02o\x02a qui appena ho potuto.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ジェーデ\nVi ringrazio, ma ho già risolto. Li ho cacciati via.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リュール\nCome mai ti hanno attaccata?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ジェーデ\nNon è la prima volta che li incontro.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ジェーデ\nQuando lavoravo a guardia della miniera del mio\nvillaggio, impedii che la assaltassero.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ジェーデ\nE ora credo che volessero vendicarsi.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リュール\nDopo tutto questo tempo?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ジェーデ\nEro piuttosto famigerata presso i banditi locali.\nMi chiamavano "Muro di Ferro".\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ジェーデ\nA quanto pare hanno covato rancore a lungo.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ジェーデ\nMa non sono una grande minaccia. Posso\ncavarmela.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nSo che sei forte, Jade, ma sono comunque\npreoccupat\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リュール\nSe hai bisogno di aiuto, conta pure su di me.\nFarò del mio meglio per assisterti.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ジェーデ\nOh, Drago Divino... Non mi permetterei mai di\ndarvi questo peso... ma grazie lo stesso.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ジェーデ\x022\n\x0E\x03\x02\x0A\x08リュール\nCiao, Jade. Che bella giornata, eh?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ジェーデ\nProprio vero, Drago Divino.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リュール\nE hai visto il tramonto ieri sera? Spettacolare.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ジェーデ\nSì, avete ragione.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ジェーデ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ジェーデ\nDrago Divino... Di recente ci imbattiamo spesso\nl'un\x0E\x0A\x00\x08\x02o\x02a nell'altra, non trovate?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08リュール\nImmagino di sì. Non ti dà fastidio, vero?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ジェーデ\nForse ho capito cosa sta succedendo.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ジェーデ\nPreferite essere nei paraggi in caso i banditi\nmi attacchino di nuovo. Ho ragione?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リュール\nAh. Mi hai scopert\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ジェーデ\nSiete gentile a preoccuparvi per me, ma posso\nbenissimo farcela senza il vostro aiuto.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ジェーデ\nNon serve che mi facciate da scorta. Avrete\nsicuramente di meglio da fare.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リュール\nBeh... a dire il vero ora ho un po' di tempo\nlibero a disposizione.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リュール\nSe per te non è un problema, vorrei rilassarmi\nda queste parti. Posso?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ジェーデ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\nSo che sei forte, Jade.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リュール\nNon sono qui perché non ho fiducia nelle tue\ncapacità. Sono qui perché ci tengo ad aiutarti.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08ジェーデ\nCome preferite, Drago Divino.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ジェーデ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nJade! Tutto a posto?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08ジェーデ\nSì, Drago Divino. Sono appena tornata.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リュール\nGrazie al cielo non ti sei fatta niente... ma non\nposso credere che tu abbia fatto un gesto così\navventato.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リュール\nUn agguato nel covo dei banditi... e da sola, poi!\nRobe da matti!\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ジェーデ\nConoscevo i rischi a cui andavo incontro. Ma\nvolevo risolvere la faccenda una volta per\ntutte.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ジェーデ\nAltrimenti avrebbero continuato per chissà\nquanto tempo, con quei loro piani di vendetta!\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ジェーデ\nAdesso è tutto sistemato. I banditi sono stati\narrestati.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ジェーデ\nMi sono accertata di lasciar loro un ricordo\nindelebile... e qualche livido. Vedrete che non\ntorneranno più.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ジェーデ\nOra non dovrete più temere per la mia\nincolumità. Grazie di tutto.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リュール\nTe ne sei occupata da sola, proprio come avevi\ndetto. Incredibile.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nIn realtà sono un po' delus\x0E\x0A\x00\x08\x02o\x02a. Speravo di poterti\naiutare.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ジェーデ\nOh, non vi trascinerei mai in qualche guaio,\nDrago Divino. Non me lo perdonerei mai.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08リュール\nE perché? Siamo amic\x0E\x0A\x00\x0A\x02i\x04he, Jade.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ジェーデ\nAmic\x0E\x0A\x00\x0A\x02i\x04he...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08ジェーデ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リュール\nChe ti prende?\x0E\x04\x00\x00
