MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x06\x04ボネ\nDrago Divino, devo dire che avete due occhioni\ndeliziosi. Questo sembra un pomodorino.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04ボネ\nOh! E quest'altro un mirtillo maturo.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nMh? Non so se prenderlo come un complimento\no cosa...\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x06\x04ボネ\nMa è un complimento, ovviamente!\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x06\x04ボネ\nPomodori e mirtilli sono tra i tesori più\npreziosi della natura.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x06\x04ボネ\nAffondo in tradizioni culinarie da tutto il mondo,\nper questo mi piace fare queste analogie.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x06\x04ボネ\nMmmh, interessante...\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\nCapisco che un cuoco veda il mondo come un\ncrogiolo di ingredienti.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リュール\nGrazie per i complimenti.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x06\x04ボネ\nNo, no. Sono io a dovervi ringraziare.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x06\x04ボネ\nPerché mi permettete di trarre ispirazione\ndai vostri occhi succulenti.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リュール\nDavvero ammirevole. Conosci così tanti piatti\nda ogni parte del globo.\x0E\x04\x00\x00
