MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06セピア\x022\n\x0E\x03\x00\x0C\x06モーヴ\x024\n\x0E\x03\x00\x0A\x04グリ\x023\n\x0E\x03\x00\x0C\x06マロン\x021\n\x0E\x03\x02\x08\x06セピア\nSono tornata.\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x08\x06マロン\nEhilà, Zephia! Com'è andata con lord Sombron?\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x06\x04グリ\nSi è arrabbiato perché abbiamo perso gli anelli,\neh?\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x08\x06セピア\nEsatto.\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x06\x04グリ\nAhahah, lo sapevo! Allora ci punirà?!\nFinalmente, sì!\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x08\x06セピア\nNiente di tutto questo. Mi ha rimproverata, nulla\npiù. Si è premurato di farmi comprendere\nl'importanza della nostra missione.\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x08\x06マロン\nTutto qui? Aha! Allora ci vuole proprio bene!\x0E\x04\x02\x00
MID_OP1_#008	È bello sentirsi apprezzati!\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x08\x06セピア\nLady Veyle si è svegliata?\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x02\x08\x06モーヴ\nNo. Con quell'incantesimo che continui a\nlanciarle... forse stiamo esagerando.\x0E\x04\x02\x00
MID_OP1_#011	Dovremmo andarci piano con la magia per\nun po'. Lasciamola tornare alla normalità.\x0E\x04\x00\x00
MID_OP1_#012	\x0E\x03\x02\x08\x06セピア\nL'incantesimo avrà presto un effetto più stabile.\nLord Sombron mi ha dato un... elmo magico.\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x08\x06モーヴ\nCosa?\x0E\x04\x00\x00
MID_OP1_#014	\x0E\x03\x02\x08\x06セピア\nÈ per lei. Un elmo imbevuto del suo potere, in\ngrado di amplificare la magia che uso con Veyle.\x0E\x04\x02\x00
MID_OP1_#015	Finalmente potrò cancellare il suo difetto.\nHo intenzione di provarlo subito.\x0E\x04\x02\x00
MID_OP1_#016	Mi servono buone notizie da portare\na lord Sombron, alla prossima udienza.\x0E\x04\x00\x00
MID_OP1_#017	\x0E\x03\x02\x06\x04グリ\nA proposito di notizie... La nostra flotta si è\nscontrata con le forze del Drago Divino.\x0E\x04\x02\x00
MID_OP1_#018	Non siamo riusciti a fermarli. Stanno\nveleggiando verso l'Elusia proprio\nin questo momento.\x0E\x04\x00\x00
MID_OP1_#019	\x0E\x03\x02\x08\x06セピア\nUhm. Non mi aspettavo questa rapidità.\x0E\x04\x00\x00
MID_OP1_#020	\x0E\x03\x02\x06\x04グリ\nGià. Busseranno alla nostra porta da\nun momento all'altro.\x0E\x04\x00\x00
MID_OP1_#021	\x0E\x03\x02\x08\x06マロン\nOooh, serve che guadagniamo tempo?\nCi penso io! Io!\x0E\x04\x00\x00
MID_OP1_#022	\x0E\x03\x02\x08\x06セピア\nMa certo, mia cara. Sei gentile a offrirti\nvolontaria. Ma non posso lasciarti andare\nda sola.\x0E\x04\x02\x00
MID_OP1_#023	Mauvier, la accompagnerai tu, d'accordo?\x0E\x04\x00\x00
MID_OP1_#024	\x0E\x03\x00\x0C\x06モーヴ\x024\n\x0E\x03\x02\x08\x06モーヴ\nVa bene.\x0E\x04\x00\x00
MID_OP1_#025	\x0E\x03\x02\x08\x06マロン\nEh? E perché? Posso farcela anche da sola!\x0E\x04\x00\x00
MID_OP1_#026	\x0E\x03\x02\x08\x06セピア\nLo so che puoi farcela, ma con Mauvier\nal tuo fianco il successo sarà assicurato.\x0E\x04\x00\x00
MID_OP1_#027	\x0E\x03\x02\x08\x06マロン\nE va bene! Ma quando torno voglio tanti\ncomplimenti, d'accordo?\x0E\x04\x00\x00
