MID_BGM_Evt_Amb_Lithos_ST_Play	Il giardino della luce
MID_BGM_Evt_Amb_Lithos_Black_ST_Play	La sala dell'oscurità
MID_BGM_Evt_Amb_Lithos2_ST_Play	La terra sacra di Lythos
MID_BGM_Evt_Amb_Lithos2_Black_ST_Play	La terra bruciata di Gradlon
MID_BGM_Evt_Ring_ST_Play	Le dodici stelle
MID_BGM_Evt_Tutorial_ST_Play	Con mia madre
MID_BGM_Evt_Advent_Sigurd_ST_Play	Intercedi, emblema della Guerra Santa
MID_BGM_Evt_Lumiere_Die_ST_Play	Una promessa
MID_BGM_Evt_Amb_Filene_ST_Play	Il prospero Firene
MID_BGM_Evt_Danger1_ST_Play	Crisi
MID_BGM_Evt_Danger2_ST_Play	Attacco a sorpresa
MID_BGM_Evt_Advent_Cellica_ST_Play	Proteggici, emblema degli Echi
MID_BGM_Evt_Brave_ST_Play	Un faro di speranza
MID_BGM_Evt_Veyre_ST_Play	Cuore d'argento bianco
MID_BGM_Evt_Determination_Filene_ST_Play	Lottare per la pace
MID_BGM_Evt_Disturb1_ST_Play	Ombre oscure
MID_BGM_Evt_Disturb2_ST_Play	Trame e intrighi
MID_BGM_Evt_Funny_ST_Play	Piacere piacerino!
MID_BGM_Evt_Advent_Micaiah_ST_Play	Curaci, emblema della Luce
MID_BGM_Evt_Tension1_ST_Play	Confronto
MID_BGM_Evt_Tension2_ST_Play	Battaglia imminente
MID_BGM_Evt_Amb_Brodia_ST_Play	La belligerante Brodia
MID_BGM_Evt_Collide_ST_Play	Scontro
MID_BGM_Evt_Appear_Diamand_ST_Play	Il principe guerriero
MID_BGM_Evt_Advent_Roy_ST_Play	Insorgi, emblema del Sigillo
MID_BGM_Evt_Appear_Ivy_ST_Play	Una principessa contemplativa
MID_BGM_Evt_Advent_Leif_ST_Play	Liberaci, emblema della Genealogia
MID_BGM_Evt_Determination_Brodia_ST_Play	L'orgoglio di un guerriero
MID_BGM_Evt_Amb_Ircion_ST_Play	La saggia Elusia
MID_BGM_Evt_Danger_Church_ST_Play	Tragedia
MID_BGM_Evt_Veyre_Exposed_ST_Play	Devastazione d'argento nero
MID_BGM_Evt_Advent_Lucina_ST_Play	Divampa, emblema del Risveglio
MID_BGM_Evt_Amb_Solum_ST_Play	Il libero Solm
MID_BGM_Mov_Vigilante_ST_Play	Rosa del deserto
MID_BGM_Evt_Vigilante_ST_Play	Le sentinelle
MID_BGM_Evt_4ku_ST_Play	I Segugi del Drago Maligno
MID_BGM_Evt_4ku_Sad_ST_Play	Sognando una famiglia
MID_BGM_Evt_Misutira_Song_ST_Play	La principessa libera
MID_BGM_Evt_Advent_Ike_ST_Play	Combatti, emblema della Fiamma
MID_BGM_Evt_Determination_Solum_ST_Play	Tenacia e libertà
MID_BGM_Evt_Determination_Ircion_ST_Play	Un patto per la fede
MID_BGM_Evt_Advent_Eirika_ST_Play	Riporta la calma, emblema della Sacralità
MID_BGM_Evt_Veyre_Truth_ST_Play	Ali cadenti
MID_BGM_Evt_Veyre_Sad_ST_Play	Sentimenti grigi
MID_BGM_Evt_Determination_ST_Play	Il predominio della forza
MID_BGM_Evt_Past_ST_Play	Due incontri
MID_BGM_Evt_BlackLumiere_ST_Play	Mille anni di solitudine
MID_BGM_Evt_BlackLumiere_Die_ST_Play	Grazie... madre
MID_BGM_Evt_Determination_Last_ST_Play	Quando rinascerai
MID_BGM_Evt_26OP_ST_Play	Una luce svanita
MID_BGM_Evt_26ED_ST_Play	Le loro storie
MID_BGM_Evt_Advent_Lyn_ST_Play	Soffia, emblema del Fuoco Devastante
MID_BGM_Evt_Advent_Byleth_ST_Play	Insegnaci, emblema dell'Accademia
MID_BGM_Evt_Advent_Corrin_ST_Play	Mostra le zanne, emblema dei Destini
MID_BGM_Evt_Restart_ST_Play	Un drago che salva il mondo
MID_BGM_Evt_Daily1_ST_Play	Conversazioni amichevoli
MID_BGM_Evt_Daily2_ST_Play	Un giorno come tanti
MID_BGM_Evt_Daily3_ST_Play	Tranquillità
MID_BGM_Evt_Warm_ST_Play	Momento sentimentale
MID_BGM_Evt_Engage_ST_Play	Unione
MID_BGM_Evt_Consultation_ST_Play	Comunicare
MID_BGM_Evt_Kindness_ST_Play	Affetto
MID_BGM_Evt_P05_OP_ST_Play	Pioggia fredda
MID_BGM_Evt_NewEmblem_ST_Play	Il miracolo degli emblemi
MID_BGM_Evt_Advent_Marth_ST_Play	Risplendi, emblema dell'Inizio
MID_BGM_Evt_Veyre_Truth_CS19_ST_Play	Il rintocco delle campane
