MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nSigh... E ora che faccio?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06ラピス\nCosa vi cruccia, principe Fogado?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nフォガート\nOh, ciao Lapis. Sai che sono a capo delle\nsentinelle, no?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nフォガート\nCi è capitato un bel grattacapo. Un gruppo di\nfurfanti sta creando scompiglio in un'oasi del\nSolm.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nフォガート\nSi tratta di un gruppetto subdolo. Non siamo\nancora riusciti a liberarcene, nonostante siamo\nin vantaggio numerico.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ラピス\nAvete provato a creare un marchingegno in\ngrado di aiutarvi?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06ラピス\nQualcosa che riesca a farli andare via senza\ndover alzare un dito.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nフォガート\nNon sembra un'idea malvagia. Peccato che non\nconosca nessuno in grado di creare qualcosa\ndel genere.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06ラピス\nPotrei farlo io!\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nフォガート\nTu?!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06ラピス\nMe la cavo coi lavori manuali. Mi sono sempre\ncostruita tutto da sola, sin da quando ero\npiccola.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06ラピス\nQuindi credo proprio che potrei inventarmi\nqualcosa.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nフォガート\nD'accordo... Prova pure. E dimmi se ti servono\nmateriali.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06ラピス\nDovrebbe bastare qualche ramo e alcuni\nscarti.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nフォガート\nMa davvero?! Wow!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06ラピス\nCerto! Prima mi procurate i materiali, prima\nriusciremo a sbarazzarci di quei furfanti.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nフォガート\nUhm, va bene. Vado in cerca di pezzi utili,\nallora.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nフォガート\nSarò disperato a cercare di risolvere i miei\nproblemi scavando in una montagna di\nspazzatura?\x0E\x04\x00\x00
