MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x00\x0A\x04チキ\x023\n\x0E\x03\x02\x0A\x08リュール\nChe posto soffocante. Sei sicura che qui ci sia\nun bracciale degli emblemi?\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x06\x04チキ\nUhm... Sì, trovato! È il bracciale dello Stratega!\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x0A\x08リュール\nAh, che sollievo. Grazie, Tiki. Procedo subito\na evocare l'emblema.\x0E\x04\x02\x00
MID_OP1_#004	Consigliaci, emblema dell'Acume!\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08セネリオ\nPrima o poi doveva succedere.\nNon posso dire che morissi dalla voglia.\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x03\x02\x0A\x08リュール\nSalve. Grazie per aver risposto all'evocazione.\nLascia che mi presenti: sono il Drago Divino\n\x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x02\x0A\x08セネリオ\nIo mi chiamo Soren. Immagino che tu sia qui\nper chiedere il mio aiuto.\x0E\x04\x02\x00
MID_OP2_#004	Non potresti importunare qualcun altro?\x0E\x04\x00\x00
MID_OP2_#005	\x0E\x03\x02\x0A\x08リュール\nEh?\x0E\x04\x00\x00
MID_OP2_#006	\x0E\x03\x02\x0A\x08セネリオ\nLa mia lealtà è rivolta a una persona sola\ne quella persona non sei tu.\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x02\x0A\x08リュール\nNon dire così. Abbiamo davvero bisogno del\ntuo aiuto.\x0E\x04\x00\x00
MID_OP2_#008	\x0E\x03\x02\x0A\x08セネリオ\nPerò non arriveresti a costringermi, vero?\x0E\x04\x02\x00
MID_OP2_#009	Se sei davvero così disperat\x0E\x0A\x00\x08\x02o\x02a come dici,\nsarebbe la cosa più logica da fare.\x0E\x04\x00\x00
MID_OP2_#010	\x0E\x03\x02\x0A\x08リュール\nHai ragione, certo, ma preferirei raggiungere\nun accordo.\x0E\x04\x00\x00
MID_OP2_#011	\x0E\x03\x02\x0A\x08セネリオ\n...\x0E\x04\x02\x00
MID_OP2_#012	E va bene. Dimostrami con la forza di essere\ndegn\x0E\x0A\x00\x08\x02o\x02a del mio tempo, e io prenderò in\nconsiderazione la tua offerta.\x0E\x04\x00\x00
MID_OP2_#013	\x0E\x03\x02\x0A\x08リュール\nLo farai? Davvero?\x0E\x04\x00\x00
MID_OP2_#014	\x0E\x03\x02\x0A\x08セネリオ\nNon ho scelta. Non mi sembri \x0E\x0A\x00 \x0Eil tipo\x0Ela tipa da\naccettare un rifiuto.\x0E\x04\x00\x00
MID_OP2_#015	\x0E\x03\x02\x0A\x08リュール\nGrazie. Te ne sono grat\x0E\x0A\x00\x08\x02o\x02a, emblema Soren.\x0E\x04\x00\x00
MID_OP2_#016	\x0E\x03\x02\x0A\x08セネリオ\nHo solo detto che considererò la tua offerta.\nHai problemi di comprensione?\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セネリオ\x02b\n\x0E\x05\x01\x16\x08セネリオ\nAngry\n\x0E\x03\x02\x0A\x08セネリオ\nForza, togliamoci il pensiero.\x0E\x04\x00\x00
